scanner_run_id,candidate_id,market_state_hash,scanner_version,publication_name,ingestion_run_id,publication_status,published_at,market_as_of_date,market_intelligence_snapshot_timestamp,option_snapshot_timestamp,option_snapshot_id,option_snapshot_completeness_pct,published_state_degraded,symbol,sector,signal,strategy,ai_score,base_ai_score,dealer_score_adjustment,base_trend_score_adjustment,transition_score_adjustment,combined_trend_score_adjustment,transition_context_status,transition_snapshot_date,transition_snapshot_age_days,transition_state,transition_direction,breakout_state,channel_position_pct,momentum_acceleration_score,volatility_state,volatility_percentile,reversal_risk_score,exhaustion_risk_score,transition_confirmation_score,transition_context_warning,forecast_context_status,forecast_snapshot_date,forecast_snapshot_age_days,forecast_direction,forecast_horizon_days,forecast_requested_horizon_days,forecast_resolved_horizon_days,forecast_horizon_distance_days,forecast_horizon_resolution,continuation_probability,reversal_probability,forecast_confidence_score,forecast_confidence_grade,forecast_expected_return_pct,forecast_expected_volatility_pct,forecast_persistence_days,forecast_score_adjustment,forecast_context_warning,institutional_context_status,institutional_snapshot_date,institutional_snapshot_age_days,participation_score,participation_grade,participation_state,leadership_score,leadership_grade,leadership_state,institutional_trend_quality_score,institutional_conviction_score,deterioration_risk_score,deterioration_state,breadth_confirmation_score,cross_asset_confirmation_score,institutional_score_adjustment,institutional_context_warning,dealer_context_status,dealer_snapshot_date,institutional_positioning_score,positioning_label,gamma_regime,gamma_flip,primary_call_wall,primary_put_wall,range_probability,breakout_probability,market_structure_confidence,technical_score,greeks_score,regime_score,volatility_score,risk_score,ranking_reason,adjusted_score,final_score,portfolio_penalty,portfolio_notes,score,call_score,put_score,market_regime,close,strike,expiry,spread_pct,option_volume,open_interest,quote_timestamp,option_data_source,price_source,last_price,ask,bid,contract_ticker,option_price,delta,gamma,theta,vega,rho,volatility,dte
scanner-20260810T210831333759Z-c1f4eb7913,cand-b9ceaaa5d77c5ea782313a7af77e740e,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,APH,Information Technology,CALL,LONG_CALL,96.70582812705482,85.01070830243607,5.695119824618742,6.0,0.12,6.0,FRESH,2026-08-10,0,CONTINUATION,NEUTRAL,IN_CHANNEL,84.91,52.76,NORMAL,30.95,5.65,0.0,52.93,,FRESH,2026-08-10,0,BULLISH,10,10,10,0,EXACT,75.1929,24.8071,71.5823,B,2.754319,8.62628,15,1.5,,FRESH,2026-08-10,0,41.333,D,MIXED,99.457,A,LEADER,54.9594,57.1539,44.207,STABLE,50.0,50.0,0.5154239999999999,,FRESH,2026-08-10,46.76891127502057,NEUTRAL,NEGATIVE_GAMMA,151.67154662262794,175.0,120.0,35.0,75.0,99.50000000000001,80.0,72.04283320974427,100.0,100.0,100.0,"Technical=80.0 | Greeks=72.0 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=170.00; spot=167.70; target |delta|=0.45; resolved delta=0.5441; Greek source=PERSISTED; moneyness=1.37%. | expiration_mode=automatic; selected_dte=39. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.70, confidence=99.50. | Trend STRONG_BULLISH/STRONG_BULLISH/STRONG_BULLISH; signal alignment=98.1, base adjustment=+6.00, total trend adjustment=+6.00, RS=A+. | Transition CONTINUATION/IN_CHANNEL; confirmation=52.9, reversal risk=5.7, exhaustion risk=0.0, adjustment=+0.12. | Forecast BULLISH; confidence=71.6, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+1.50. | Institutional MIXED; participation=41.3, conviction=57.2, adjustment=+0.52.",77.84660545536366,77.84660545536366,0.0,,80.0,80.0,0.0,BULL_TREND,167.7,170.0,2026-09-18,0.08333333333333341,132,1069,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,10.2,10.0,9.2,O:APH260918C00170000,9.6,0.5441055657068092,0.017637851058980875,-0.1252327376798203,0.21941276090304312,0.0,0.41105833089211197,39
scanner-20260810T210831333759Z-c1f4eb7913,cand-af54c35f8989579cbc872a243e3776e0,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,VZ,Communication Services,CALL,LONG_CALL,95.53147553654235,86.15968531309397,4.878472223448362,4.2,-0.02,4.493318,FRESH,2026-08-10,0,CONTINUATION,NEUTRAL,IN_CHANNEL,77.54,38.5,NORMAL,68.25,16.24,0.0,49.48,,FRESH,2026-08-10,0,NEUTRAL,10,10,10,0,EXACT,49.1297,50.8703,36.5938,D,0.236986,6.150168,10,0.0,,FRESH,2026-08-10,0,47.6658,D,MIXED,65.5982,B,LEADER,54.6993,56.409,36.6315,STABLE,50.0,50.0,0.313318,,FRESH,2026-08-10,45.99608357041149,NEUTRAL,NEGATIVE_GAMMA,44.005806332625426,50.0,45.0,45.0,65.0,99.5,80.0,76.63874125237588,100.0,100.0,100.0,"Technical=80.0 | Greeks=76.6 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=47.00; spot=47.03; target |delta|=0.45; resolved delta=0.5077; Greek source=PERSISTED; moneyness=2.06%. | expiration_mode=automatic; selected_dte=39. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.88, confidence=99.50. | Trend BULLISH/BULLISH/BULLISH; signal alignment=96.0, base adjustment=+4.20, total trend adjustment=+4.49, RS=C. | Transition CONTINUATION/IN_CHANNEL; confirmation=49.5, reversal risk=16.2, exhaustion risk=0.0, adjustment=-0.02. | Forecast NEUTRAL; confidence=36.6, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+0.00. | Institutional MIXED; participation=47.7, conviction=56.4, adjustment=+0.31.",79.67172051749301,79.67172051749301,0.0,,80.0,80.0,0.0,BULL_TREND,47.03,47.0,2026-09-18,0.07119741100323632,1226,33547,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,1.55,1.6,1.49,O:VZ260918C00047000,1.545,0.5076971682084417,0.10218054261427538,-0.019529014241513248,0.06055784044355562,0.0,0.26179531218274604,39
scanner-20260810T210831333759Z-c1f4eb7913,cand-7885c0c9b2db5d6c9567798fd4709671,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,AMZN,Consumer Discretionary,CALL,LONG_CALL,93.8623006133735,82.08704632248714,5.775254290886367,4.88,0.33,6.0,FRESH,2026-08-10,0,CONTINUATION,NEUTRAL,IN_CHANNEL,89.66,30.68,EXPANSION,98.41,18.78,0.0,58.35,,FRESH,2026-08-10,0,BULLISH,10,10,10,0,EXACT,75.9852,24.0148,73.5629,B,4.014714,10.07412,15,1.5,,FRESH,2026-08-10,0,50.9097,C,MIXED,76.3531,B,LEADER,60.6112,64.633,37.341,STABLE,50.0,50.0,0.50533,,FRESH,2026-08-10,47.67938439764863,NEUTRAL,NEGATIVE_GAMMA,231.62102971596013,300.0,250.0,45.0,65.0,99.5,80.0,60.34818528994856,100.0,100.0,100.0,"Technical=80.0 | Greeks=60.3 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=280.00; spot=278.09; target |delta|=0.45; resolved delta=0.4576; Greek source=PERSISTED; moneyness=0.69%. | expiration_mode=automatic; selected_dte=11. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.78, confidence=99.50. | Trend STRONG_BULLISH/STRONG_BULLISH/STRONG_BULLISH; signal alignment=98.0, base adjustment=+4.88, total trend adjustment=+6.00, RS=C. | Transition CONTINUATION/IN_CHANNEL; confirmation=58.4, reversal risk=18.8, exhaustion risk=0.0, adjustment=+0.33. | Forecast BULLISH; confidence=73.6, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+1.50. | Institutional MIXED; participation=50.9, conviction=64.6, adjustment=+0.51.",73.6011487723076,73.6011487723076,0.0,,80.0,80.0,0.0,BULL_TREND,278.09,280.0,2026-08-21,0.029556650246305487,5584,43206,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,5.1,5.15,5.0,O:AMZN260821C00280000,5.075,0.45762506873436626,0.026804114515366812,-0.28003117906602143,0.19320486743109813,0.0,0.30761422248475045,11
scanner-20260810T210831333759Z-c1f4eb7913,cand-e088f5aca6285ffcadbcc0dc327c3355,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,CSCO,Information Technology,CALL,LONG_CALL,93.22769802288738,83.93476281364198,3.2929352092453947,6.0,0.39,6.0,FRESH,2026-08-10,0,CONTINUATION,NEUTRAL,IN_CHANNEL,77.77,67.92,NORMAL,37.3,17.0,0.0,59.66,,FRESH,2026-08-10,0,BULLISH,10,10,10,0,EXACT,72.5579,27.4421,64.9947,C,0.361826,6.485774,15,1.3535,,FRESH,2026-08-10,0,56.1309,C,MIXED,68.2155,B,LEADER,51.8932,53.1343,34.9551,STABLE,50.0,50.0,0.412845,,FRESH,2026-08-10,44.12254290248711,NEUTRAL,NEGATIVE_GAMMA,,120.0,110.0,35.0,75.0,90.0,80.0,67.7390512545679,100.0,100.0,100.0,"Technical=80.0 | Greeks=67.7 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=130.00; spot=122.57; target |delta|=0.45; resolved delta=0.4227; Greek source=PERSISTED; moneyness=1.98%. | expiration_mode=automatic; selected_dte=67. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+3.29, confidence=90.00. | Trend STRONG_BULLISH/STRONG_BULLISH/STRONG_BULLISH; signal alignment=98.3, base adjustment=+6.00, total trend adjustment=+6.00, RS=A+. | Transition CONTINUATION/IN_CHANNEL; confirmation=59.7, reversal risk=17.0, exhaustion risk=0.0, adjustment=+0.39. | Forecast BULLISH; confidence=65.0, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+1.35. | Institutional MIXED; participation=56.1, conviction=53.1, adjustment=+0.41.",76.05364825614319,76.05364825614319,0.0,,80.0,80.0,0.0,BULL_TREND,122.57,130.0,2026-10-16,0.06451612903225812,252,3519,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,6.25,6.4,6.0,O:CSCO261016C00130000,6.2,0.4227179582887114,0.01795824811249666,-0.06783824542404142,0.21429181556662924,0.0,0.41802341006268456,67
scanner-20260810T210831333759Z-c1f4eb7913,cand-e356f5bfe7e15269b53e02ed51a01234,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,SCHW,Financials,CALL,LONG_CALL,91.98491641870888,79.70907530708678,6.275841111622107,6.0,0.44,6.0,FRESH,2026-08-10,0,COILED_TRANSITION,UP,BREAKOUT_WATCH,99.87,52.26,COMPRESSION,8.73,4.67,9.2,60.9,,FRESH,2026-08-10,0,BULLISH,10,10,10,0,EXACT,76.5211,23.4789,82.031,A,5.047551,4.824978,15,1.5,,FRESH,2026-08-10,0,53.0769,C,MIXED,74.0569,B,LEADER,64.4373,69.8045,52.9718,STABLE,50.0,50.0,0.3859929999999999,,FRESH,2026-08-10,45.822864074918996,NEUTRAL,NEGATIVE_GAMMA,93.20226704722154,105.0,100.0,35.0,75.0,99.5,65.0,74.83630122834714,100.0,100.0,100.0,"Technical=65.0 | Greeks=74.8 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=110.00; spot=107.99; target |delta|=0.45; resolved delta=0.4485; Greek source=PERSISTED; moneyness=1.86%. | expiration_mode=automatic; selected_dte=67. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+6.28, confidence=99.50. | Trend STRONG_BULLISH/STRONG_BULLISH/STRONG_BULLISH; signal alignment=98.4, base adjustment=+6.00, total trend adjustment=+6.00, RS=A+. | Transition COILED_TRANSITION/BREAKOUT_WATCH; confirmation=60.9, reversal risk=4.7, exhaustion risk=9.2, adjustment=+0.44. | Forecast BULLISH; confidence=82.0, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+1.50. | Institutional MIXED; participation=53.1, conviction=69.8, adjustment=+0.39.",70.79928778205186,70.79928778205186,0.0,,65.0,65.0,0.0,BULL_TREND,107.99,110.0,2026-10-16,0.07594936708860756,22,2542,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,4.1,4.1,3.8,O:SCHW261016C00110000,3.9499999999999997,0.4485305472901658,0.03216061563477421,-0.039257997283616335,0.18446218729356237,0.0,0.26916279495345474,67
scanner-20260810T210831333759Z-c1f4eb7913,cand-dcc3629ba89d51bb969d7d3c6e710723,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,KO,Consumer Staples,CALL,LONG_CALL,91.40610761721744,79.60731219930605,5.7987954179113945,6.0,0.09,6.0,FRESH,2026-08-10,0,CONTINUATION,NEUTRAL,IN_CHANNEL,81.97,47.0,EXPANSION,92.86,6.38,0.0,52.24,,FRESH,2026-08-10,0,BULLISH,10,10,10,0,EXACT,63.4168,36.5832,55.8186,C,1.405924,4.996346,13,0.805,,FRESH,2026-08-10,0,47.2908,D,MIXED,54.6916,C,NEUTRAL,55.4468,57.2188,40.4153,STABLE,50.0,50.0,0.17013899999999998,,FRESH,2026-08-10,47.44218915925736,NEUTRAL,NEGATIVE_GAMMA,79.20530328669768,90.0,75.0,35.0,75.0,99.49999999999999,65.0,74.42924879722419,100.0,100.0,100.0,"Technical=65.0 | Greeks=74.4 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=87.50; spot=86.87; target |delta|=0.45; resolved delta=0.4686; Greek source=PERSISTED; moneyness=1.30%. | expiration_mode=automatic; selected_dte=39. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.80, confidence=99.50. | Trend STRONG_BULLISH/STRONG_BULLISH/BULLISH; signal alignment=97.8, base adjustment=+6.00, total trend adjustment=+6.00, RS=A. | Transition CONTINUATION/IN_CHANNEL; confirmation=52.2, reversal risk=6.4, exhaustion risk=0.0, adjustment=+0.09. | Forecast BULLISH; confidence=55.8, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+0.81. | Institutional MIXED; participation=47.3, conviction=57.2, adjustment=+0.17.",70.65720724662287,70.65720724662287,0.0,,65.0,65.0,0.0,BULL_TREND,86.87,87.5,2026-09-18,0.027397260273972626,208,7497,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,1.8,1.85,1.8,O:KO260918C00087500,1.8250000000000002,0.4685808335188633,0.07701983722567783,-0.027158810467248457,0.1126618317531063,0.0,0.18291280020645895,39
scanner-20260810T210831333759Z-c1f4eb7913,cand-55965856042656b699d4b6fcf4c43e66,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,MRK,Health Care,CALL,LONG_CALL,90.82031166719091,78.78380537370893,6.036506293481974,6.0,0.49,6.0,FRESH,2026-08-10,0,CONTINUATION,UP,BREAKOUT_WATCH,95.62,53.75,NORMAL,27.78,6.29,0.0,62.32,,FRESH,2026-08-10,0,BULLISH,10,10,10,0,EXACT,61.7446,38.2554,54.84,C,2.185529,5.736222,12,0.0,,FRESH,2026-08-10,0,55.2137,C,MIXED,70.6233,B,LEADER,61.9699,66.5643,32.4931,STABLE,50.0,50.0,0.5531380000000001,,FRESH,2026-08-10,45.67460682943928,NEUTRAL,NEGATIVE_GAMMA,117.63804721724397,140.0,110.0,35.0,75.0,99.5,65.0,71.13522149483569,100.0,100.0,100.0,"Technical=65.0 | Greeks=71.1 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=135.00; spot=130.92; target |delta|=0.45; resolved delta=0.4046; Greek source=PERSISTED; moneyness=1.21%. | expiration_mode=automatic; selected_dte=67. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+6.04, confidence=99.50. | Trend STRONG_BULLISH/STRONG_BULLISH/STRONG_BULLISH; signal alignment=98.2, base adjustment=+6.00, total trend adjustment=+6.00, RS=A. | Transition CONTINUATION/BREAKOUT_WATCH; confirmation=62.3, reversal risk=6.3, exhaustion risk=0.0, adjustment=+0.49. | Forecast BULLISH; confidence=54.8, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+0.00. | Institutional MIXED; participation=55.2, conviction=66.6, adjustment=+0.55.",69.46348128155576,69.46348128155576,0.0,,65.0,65.0,0.0,BULL_TREND,130.92,135.0,2026-10-16,0.06896551724137928,658,2003,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,4.31,4.5,4.2,O:MRK261016C00135000,4.35,0.40458255730871895,0.024523383949698652,-0.0467694529834917,0.22357080958520584,0.0,0.2863799187653275,67
scanner-20260810T210831333759Z-c1f4eb7913,cand-f6ac81a8be425754816cc6a70b05f791,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,HD,Consumer Discretionary,CALL,LONG_CALL,83.24861540195988,72.58838923030711,5.952879171652761,3.94,-0.32,4.707347,FRESH,2026-08-10,0,CONTINUATION,NEUTRAL,IN_CHANNEL,88.21,57.62,NORMAL,54.76,23.28,0.0,42.05,,FRESH,2026-08-10,0,BULLISH,10,10,10,0,EXACT,65.7269,34.2731,59.5424,C,2.00355,5.867759,13,0.9436,,FRESH,2026-08-10,0,41.7694,D,MIXED,66.7739,B,LEADER,51.156,51.5193,45.3246,STABLE,50.0,50.0,0.14374699999999996,,FRESH,2026-08-10,48.09419489911537,NEUTRAL,NEGATIVE_GAMMA,337.2626599929758,400.0,320.0,35.0,75.0,99.5,55.0,62.353556921228474,100.0,100.0,100.0,"Technical=55.0 | Greeks=62.4 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=355.00; spot=350.78; target |delta|=0.45; resolved delta=0.4418; Greek source=PERSISTED; moneyness=1.20%. | expiration_mode=automatic; selected_dte=11. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.95, confidence=99.50. | Trend PULLBACK/BULLISH/BULLISH; signal alignment=76.5, base adjustment=+3.94, total trend adjustment=+4.71, RS=A. | Transition CONTINUATION/IN_CHANNEL; confirmation=42.0, reversal risk=23.3, exhaustion risk=0.0, adjustment=-0.32. | Forecast BULLISH; confidence=59.5, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+0.94. | Institutional MIXED; participation=41.8, conviction=51.5, adjustment=+0.14.",60.73225426900033,60.73225426900033,0.0,,55.0,55.0,0.0,BULL_TREND,350.78,355.0,2026-08-21,0.14420062695924768,1083,1146,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,7.79,8.55,7.4,O:HD260821C00355000,7.9750000000000005,0.4418336998982125,0.015936933966012305,-0.44843078813595433,0.2436302091023943,0.0,0.4075483475093464,11
scanner-20260810T210831333759Z-c1f4eb7913,cand-030cb9d8c77f551398e6bd26f16d1dc9,fd4fbb4e962fe663d03e450beb806b5371043e12175261c73320067a60ab6000,m47.phase6.v1,current_market_state,market-ingestion-20260810T203831164620Z,DEGRADED,2026-08-10T20:38:36.267092+00:00,2026-08-10,2026-08-10T20:38:08.111814+00:00,2026-08-10T20:31:46.596986+00:00,options-20260810T202412477812Z,99.8371335504886,True,AAPL,Information Technology,CALL,LONG_CALL,78.28980241399314,70.03844140913075,5.861165004862386,2.95,-0.24,2.390196,FRESH,2026-08-10,0,CONTINUATION,NEUTRAL,IN_CHANNEL,50.99,57.93,EXPANSION,96.83,22.14,0.0,44.09,,FRESH,2026-08-10,0,BEARISH,10,10,10,0,EXACT,39.1068,60.8932,51.3599,C,1.302793,7.110057,8,0.0,,FRESH,2026-08-10,0,50.6611,C,MIXED,30.6932,F,LAGGARD,47.6216,46.5401,60.9563,WATCH,50.0,50.0,-0.319804,,FRESH,2026-08-10,49.95732404235722,NEUTRAL,NEGATIVE_GAMMA,289.1655888253062,320.0,300.0,35.0,75.0,99.5,50.0,60.153765636523005,100.0,100.0,100.0,"Technical=50.0 | Greeks=60.2 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=310.00; spot=308.26; target |delta|=0.45; resolved delta=0.4420; Greek source=PERSISTED; moneyness=0.56%. | expiration_mode=automatic; selected_dte=11. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.86, confidence=99.50. | Trend STRONG_BULLISH/STRONG_BULLISH/BEARISH; signal alignment=73.8, base adjustment=+2.95, total trend adjustment=+2.39, RS=C. | Transition CONTINUATION/IN_CHANNEL; confirmation=44.1, reversal risk=22.1, exhaustion risk=0.0, adjustment=-0.24. | Forecast BEARISH; confidence=51.4, requested horizon=10D, resolved horizon=10D, resolution=EXACT, adjustment=+0.00. | Institutional MIXED; participation=50.7, conviction=46.5, adjustment=-0.32.",57.10172461970048,57.10172461970048,0.0,,50.0,50.0,20.0,BULL_TREND,308.26,310.0,2026-08-21,0.011299435028248546,7519,26161,2026-08-10,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,4.45,4.45,4.4,O:AAPL260821C00310000,4.425000000000001,0.4419563269817458,0.02921532116834066,-0.2544811514151142,0.21411571801435472,0.0,0.25350687704295,11
