date,equity,peak_equity,drawdown_dollars,drawdown_pct
2026-01-22,95402.79112302615,95402.79112302615,0.0,0.0
2026-01-22,96001.39112301427,96001.39112301427,0.0,0.0
2026-01-22,96524.48317440847,96524.48317440847,0.0,0.0
2026-01-25,97458.29198540593,97458.29198540593,0.0,0.0
2026-01-25,97074.86019510333,97458.29198540593,-383.4317903025949,-0.003934316747106676
2026-01-26,98001.11478755562,98001.11478755562,0.0,0.0
2026-01-26,102704.58672334786,102704.58672334786,0.0,0.0
2026-01-27,99308.98828501203,102704.58672334786,-3395.59843833583,-0.03306179934770048
2026-01-28,100168.66074390036,102704.58672334786,-2535.9259794475074,-0.0246914579022498
2026-01-29,98659.79074539058,102704.58672334786,-4044.795977957285,-0.039382817330764645
2026-02-01,94454.94645913839,102704.58672334786,-8249.640264209476,-0.08032397118184482
2026-02-02,85686.91849417659,102704.58672334786,-17017.66822917128,-0.16569530896425533
2026-02-02,84763.93092781302,102704.58672334786,-17940.65579553484,-0.17468212830514593
2026-02-03,85378.37406123005,102704.58672334786,-17326.212662117818,-0.16869950228015518
2026-02-03,84436.24941957898,102704.58672334786,-18268.337303768887,-0.17787265288333945
2026-02-04,68137.68851977985,102704.58672334786,-34566.89820356801,-0.33656625576693844
2026-02-05,69082.76494177835,102704.58672334786,-33621.82178156951,-0.32736436467180924
2026-02-08,70069.14353823345,102704.58672334786,-32635.443185114418,-0.31776032820251243
2026-02-09,69975.86744803541,102704.58672334786,-32728.719275312455,-0.31866852610461094
2026-02-10,71006.08336508696,102704.58672334786,-31698.503358260903,-0.30863766039627977
2026-02-10,65838.36091051514,102704.58672334786,-36866.22581283272,-0.35895403495598616
2026-02-11,64933.29942724008,102704.58672334786,-37771.28729610778,-0.3677663140581162
2026-02-11,64053.727794180486,102704.58672334786,-38650.85892916738,-0.3763304070662393
2026-02-12,63882.85084497594,102704.58672334786,-38821.735878371925,-0.3779941784191666
2026-02-16,61800.09916710953,102704.58672334786,-40904.48755623833,-0.398273230643744
2026-02-16,62549.77576968332,102704.58672334786,-40154.81095366454,-0.39097388183673143
2026-02-17,63130.31614298431,102704.58672334786,-39574.270580363554,-0.3853213555784371
2026-02-17,64044.53428672753,102704.58672334786,-38660.05243662033,-0.376419921154619
2026-02-18,63648.02812402219,102704.58672334786,-39056.558599325675,-0.3802805682333459
2026-02-18,63676.954573167815,102704.58672334786,-39027.63215018005,-0.3799989211319993
2026-02-19,62946.994795752384,102704.58672334786,-39757.59192759548,-0.3871062938473163
2026-02-19,63911.56483395391,102704.58672334786,-38793.02188939395,-0.37771459997097795
2026-02-22,47622.5372922221,102704.58672334786,-55082.049431125764,-0.5363153797551278
2026-02-23,48546.114952315285,102704.58672334786,-54158.47177103258,-0.5273228148701631
2026-02-24,49503.06267357629,102704.58672334786,-53201.52404977157,-0.5180053369289033
2026-02-24,50248.58010953695,102704.58672334786,-52456.00661381091,-0.5107464845276094
2026-02-25,50682.94015326571,102704.58672334786,-52021.64657008216,-0.5065172669474952
2026-02-25,47809.74456652894,102704.58672334786,-54894.84215681892,-0.5344926055219661
2026-02-26,48607.420896035546,102704.58672334786,-54097.16582731232,-0.5267258995261055
2026-03-01,49573.577143187205,102704.58672334786,-53131.00958016066,-0.5173187612669919
2026-03-02,50484.28212049432,102704.58672334786,-52220.30460285355,-0.5084515333625532
2026-03-03,50989.95567190258,102704.58672334786,-51714.631051445285,-0.5035279601557365
2026-03-09,51551.68088284857,102704.58672334786,-51152.9058404993,-0.4980586308018383
2026-03-12,38956.23443423968,102704.58672334786,-63748.35228910818,-0.6206962544022023
2026-03-15,39878.493339531786,102704.58672334786,-62826.09338381608,-0.6117165297889642
2026-03-16,40631.10398878202,102704.58672334786,-62073.48273456584,-0.6043886131567935
2026-03-17,30412.474223290825,102704.58672334786,-72292.11250005703,-0.7038839725317043
2026-03-18,29082.161263544964,102704.58672334786,-73622.42545980291,-0.7168367821596647
2026-03-18,25873.24464629827,102704.58672334786,-76831.3420770496,-0.748080923435365
2026-03-19,24403.846538504506,102704.58672334786,-78300.74018484337,-0.762387958346589
2026-03-22,25339.440429084156,102704.58672334786,-77365.14629426372,-0.7532783954689365
2026-03-22,25895.783088435885,102704.58672334786,-76808.80363491198,-0.7478614742086394
2026-03-23,25997.266908073463,102704.58672334786,-76707.3198152744,-0.7468733604069554
2026-03-23,695.1146512702253,102704.58672334786,-102009.47207207764,-0.9932319025522917
2026-03-24,1344.776586131401,102704.58672334786,-101359.81013721647,-0.9869063629090512
2026-03-24,-765.0777709254089,102704.58672334786,-103469.66449427327,-1.0074493048006343
2026-03-24,171.58501221148242,102704.58672334786,-102533.00171113638,-0.9983293344758432
2026-03-25,386.806439077796,102704.58672334786,-102317.78028427006,-0.996233795866199
2026-03-25,-9629.927223839091,102704.58672334786,-112334.51394718696,-1.0937633608300177
2026-03-25,-20240.439320498885,102704.58672334786,-122945.02604384675,-1.1970743465919387
2026-03-26,-31827.280391752152,102704.58672334786,-134531.86711510003,-1.3098915190368694
2026-03-26,-50988.99183224251,102704.58672334786,-153693.57855559036,-1.4964626552618332
2026-03-26,-74932.66040812287,102704.58672334786,-177637.24713147074,-1.7295940989467846
2026-03-29,-79717.63481991591,102704.58672334786,-182422.22154326376,-1.77618378461177
2026-03-29,-78896.49754180676,102704.58672334786,-181601.0842651546,-1.7681886472541657
2026-03-29,-78068.397027332,102704.58672334786,-180772.98375067988,-1.7601257112072553
2026-03-30,-77127.06726951695,102704.58672334786,-179831.65399286483,-1.7509603001204974
2026-03-30,-76177.17555852036,102704.58672334786,-178881.76228186823,-1.7417115241767775
2026-03-30,-75233.97622730747,102704.58672334786,-177938.56295065535,-1.7325279096829715
2026-03-31,-74388.05672859697,102704.58672334786,-177092.64345194484,-1.7242914761827897
2026-03-31,-75034.99699283684,102704.58672334786,-177739.58371618472,-1.730590515835055
2026-04-01,-74094.53195953817,102704.58672334786,-176799.11868288604,-1.7214335242799264
2026-04-05,-74547.56011443281,102704.58672334786,-177252.14683778066,-1.725844506976492
2026-04-06,-75029.05568800573,102704.58672334786,-177733.6424113536,-1.7305326673492114
2026-04-07,-74262.00324935663,102704.58672334786,-176966.58997270447,-1.723064135873443
2026-04-08,-75315.03214884065,102704.58672334786,-178019.6188721885,-1.7333171239149658
2026-04-09,-77475.58793375171,102704.58672334786,-180180.1746570996,-1.754353728548125
2026-04-12,-76549.91444490626,102704.58672334786,-179254.50116825412,-1.7453407572838628
2026-04-13,-69628.14873918319,102704.58672334786,-172332.73546253104,-1.6779458538374565
2026-04-15,-69027.38815443142,102704.58672334786,-171731.97487777928,-1.672096450184531
2026-04-16,-68620.72497677388,102704.58672334786,-171325.31170012173,-1.6681369076691324
2026-04-19,-69347.04351230655,102704.58672334786,-172051.63023565442,-1.6752088268375445
2026-04-20,-70355.98627301109,102704.58672334786,-173060.57299635897,-1.6850325629811143
2026-04-20,-69492.82374065425,102704.58672334786,-172197.4104640021,-1.6766282398647385
2026-04-21,-66018.20620541374,102704.58672334786,-168722.7929287616,-1.6427970581610432
2026-04-22,-66174.00441611238,102704.58672334786,-168878.59113946024,-1.6443140129112561
2026-04-23,-66928.28006312378,102704.58672334786,-169632.86678647163,-1.6516581410663418
2026-04-23,-61023.35839363596,102704.58672334786,-163727.9451169838,-1.5941639058245047
2026-04-26,-61985.63734211659,102704.58672334786,-164690.22406546446,-1.603533292131201
2026-04-26,-62810.535131246,102704.58672334786,-165515.12185459386,-1.6115650443191674
2026-04-27,-63363.577874001865,102704.58672334786,-166068.16459734974,-1.6169498354020193
2026-04-28,-61333.508367067734,102704.58672334786,-164038.0950904156,-1.5971837317478321
2026-04-29,-60015.09870980467,102704.58672334786,-162719.68543315254,-1.5843468205705893
2026-04-30,-58108.061989963404,102704.58672334786,-160812.64871331127,-1.565778645762796
2026-05-03,-55822.51391619692,102704.58672334786,-158527.10063954478,-1.5435250332739694
2026-05-04,-50995.30633033461,102704.58672334786,-153699.89305368246,-1.496524137404876
2026-05-04,-50207.29953968472,102704.58672334786,-152911.8862630326,-1.4888515804549856
2026-05-05,-49462.53790878664,102704.58672334786,-152167.1246321345,-1.4816000870732515
2026-05-06,-49528.700400815054,102704.58672334786,-152233.28712416292,-1.4822442889939178
2026-05-06,-50451.14978816478,102704.58672334786,-153155.73651151266,-1.4912258682668524
2026-05-07,-46634.9846667583,102704.58672334786,-149339.57139010617,-1.4540691526501879
2026-05-07,-45847.45032921037,102704.58672334786,-148552.03705255824,-1.4464011958171665
2026-05-10,-46160.33435478906,102704.58672334786,-148864.92107813692,-1.4494476422862175
2026-05-10,-47067.595045453985,102704.58672334786,-149772.18176880185,-1.4582813343306515
2026-05-11,-45847.84604533948,102704.58672334786,-148552.43276868734,-1.446405048771954
2026-05-11,-46707.67731751396,102704.58672334786,-149412.26404086183,-1.45477693652893
2026-05-12,-44125.14840425059,102704.58672334786,-146829.73512759845,-1.42963172154238
2026-05-12,-41460.47125353008,102704.58672334786,-144165.05797687796,-1.403686656811257
2026-05-13,-41786.01368697818,102704.58672334786,-144490.60041032603,-1.4068563539380754
2026-05-13,-42625.45171199777,102704.58672334786,-145330.03843534563,-1.415029679509997
2026-05-14,-41468.23346370546,102704.58672334786,-144172.82018705332,-1.4037622348396879
2026-05-17,-42259.3739209327,102704.58672334786,-144963.96064428057,-1.411465303246538
2026-05-17,-41926.84508003467,102704.58672334786,-144631.43180338253,-1.408227581821362
2026-05-18,-41338.25991323895,102704.58672334786,-144042.84663658682,-1.4024967261159478
2026-05-18,-42281.71737548482,102704.58672334786,-144986.30409883268,-1.4116828539447586
2026-05-19,-40272.398312215555,102704.58672334786,-142976.9850355634,-1.392118790377844
2026-05-20,-38619.13662145984,102704.58672334786,-141323.7233448077,-1.3760215376309044
2026-05-21,-36159.039292808375,102704.58672334786,-138863.62601615622,-1.3520683977845005
2026-05-25,-36424.21077970409,102704.58672334786,-139128.79750305196,-1.3546502833200513
2026-05-26,-34860.09771543715,102704.58672334786,-137564.684438785,-1.339421040749998
2026-05-27,-33734.73178601672,102704.58672334786,-136439.3185093646,-1.3284637313899808
2026-05-28,-34026.00480952824,102704.58672334786,-136730.5915328761,-1.331299758804181
2026-05-31,-35013.3841212791,102704.58672334786,-137717.97084462695,-1.3409135389015638
