symbol,sector,signal,strategy,ai_score,technical_score,greeks_score,regime_score,volatility_score,risk_score,ranking_reason,adjusted_score,final_score,portfolio_penalty,portfolio_notes,score,call_score,put_score,market_regime,close,strike,expiry,option_price,delta,gamma,theta,vega,rho,volatility,dte
JNJ,Unknown,CALL,LONG_CALL,66.36612909432725,70.0,37.46451637730898,100.0,40.0,100.0,Technical=70.0 | Greeks=37.5 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=255.00; spot=249.97; target |delta|=0.45; estimated delta=0.0102; moneyness=2.01%.,56.474907455349296,56.474907455349296,0.0,,70.0,70.0,0.0,BULL_TREND,249.97,255.0,30DTE_PROXY,0.0062018612865917255,0.010218263593825772,0.015164648591539182,-0.0010899095574301507,0.01946328036974351,0.002094293826790714,0.02499076307152036,30
AMT,Unknown,PUT,LONG_PUT,65.04289158302302,65.0,40.1715663320921,100.0,40.0,100.0,Technical=65.0 | Greeks=40.2 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=167.50; spot=168.92; target |delta|=0.45; estimated delta=-0.0583; moneyness=-0.84%.,55.13730366266509,55.13730366266509,0.0,,65.0,0.0,65.0,BEAR_TREND,168.92,167.5,30DTE_PROXY,0.03171947943257969,-0.058310530765241286,0.09202823456856965,-0.0013744100781390317,0.05641078132897839,-0.008121809043531894,0.02613668408114339,30
RTX,Unknown,CALL,LONG_CALL,64.55095432627053,65.0,38.20381730508212,100.0,40.0,100.0,Technical=65.0 | Greeks=38.2 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=197.50; spot=194.36; target |delta|=0.45; estimated delta=0.0236; moneyness=1.62%.,54.014955822079564,54.014955822079564,0.0,,65.0,65.0,0.0,BULL_TREND,194.36,197.5,30DTE_PROXY,0.010996254427853458,0.023594884894729273,0.044698036886751655,-0.0016571099953287918,0.031022227387081314,0.003760196361954845,0.02235333651540647,30
GD,Unknown,CALL,LONG_CALL,64.55063633019218,65.0,38.20254532076871,100.0,40.0,100.0,Technical=65.0 | Greeks=38.2 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=375.00; spot=368.82; target |delta|=0.45; estimated delta=0.0109; moneyness=1.68%.,54.016338070322675,54.016338070322675,0.0,,65.0,65.0,0.0,BULL_TREND,368.82,375.0,30DTE_PROXY,0.007988323459988678,0.01092412243723434,0.013443329304143832,-0.0014680057984806426,0.030437955005691363,0.003304969737403381,0.020251225812669017,30
USB,Unknown,CALL,LONG_CALL,64.19114579618694,65.0,36.764583184747764,100.0,40.0,100.0,Technical=65.0 | Greeks=36.8 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=65.00; spot=64.01; target |delta|=0.45; estimated delta=0.0178; moneyness=1.55%.,53.45191157410837,53.45191157410837,0.0,,65.0,65.0,0.0,BULL_TREND,64.01,65.0,30DTE_PROXY,0.002354774296698947,0.017776617240817694,0.11942206688734436,-0.00039216997907326603,0.008037619067189942,0.0009333094481819521,0.019985673648697105,30
NFLX,Unknown,PUT,LONG_PUT,64.14050248431317,65.0,36.562009937252704,100.0,40.0,100.0,Technical=65.0 | Greeks=36.6 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=73.00; spot=74.35; target |delta|=0.45; estimated delta=-0.0081; moneyness=-1.82%.,53.37300362600425,53.37300362600425,0.0,,65.0,0.0,65.0,BEAR_TREND,74.35,73.0,30DTE_PROXY,0.0017898625640122567,-0.008054511621560234,0.032961902778701424,-0.00018003488968390782,0.004700237165754492,-0.0004936790150359033,0.03138464077685269,30
SCHW,Unknown,CALL,LONG_CALL,64.10857457467323,65.0,36.43429829869291,100.0,40.0,100.0,Technical=65.0 | Greeks=36.4 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=105.00; spot=102.80; target |delta|=0.45; estimated delta=0.0033; moneyness=2.14%.,53.32224737593431,53.32224737593431,0.0,,65.0,65.0,0.0,BULL_TREND,102.8,105.0,30DTE_PROXY,0.0006659350480233694,0.0032512285233534666,0.014574288214646618,-0.00014719435428556314,0.002898893712095466,0.0002741591976597641,0.02289972774150838,30
MMC,Unknown,PUT,LONG_PUT,64.06444616750554,65.0,36.25778467002214,100.0,40.0,100.0,Technical=65.0 | Greeks=36.3 | Regime=100.0 | Volatility=40.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=180.00; spot=182.70; target |delta|=0.45; estimated delta=-0.0001; moneyness=-1.48%.,53.253094221282936,53.253094221282936,0.0,,65.0,15.0,65.0,BEAR_TREND,182.7,180.0,30DTE_PROXY,1.005637560326858e-05,-5.086065989856614e-05,0.0002449404776108399,-1.9646725922278215e-06,0.00010968961807188775,-7.64572515540107e-06,0.01632298114663282,30
GILD,Unknown,CALL,LONG_CALL,59.18304978112825,60.0,54.732199124512974,50.0,40.0,100.0,Technical=60.0 | Greeks=54.7 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=137.50; spot=136.30; target |delta|=0.45; estimated delta=0.2506; moneyness=0.88%.,61.294364755088985,61.294364755088985,0.0,,60.0,60.0,0.0,VOLATILE,136.3,137.5,30DTE_PROXY,0.1643615941362171,0.25055449196437163,0.288388055725445,-0.009574243489435365,0.12432031418192176,0.02793387588543093,0.028232200392372665,30
V,Unknown,CALL,LONG_CALL,56.62433326770179,60.0,44.497333070807166,50.0,40.0,100.0,Technical=60.0 | Greeks=44.5 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=370.00; spot=365.14; target |delta|=0.45; estimated delta=0.0651; moneyness=1.33%.,54.327940916086916,54.327940916086916,0.0,,60.0,60.0,0.0,VOLATILE,365.14,370.0,30DTE_PROXY,0.06788983887168598,0.06514103374855379,0.053088443680020664,-0.007663366217809508,0.1329545395975241,0.01949400593759609,0.02285367062212445,30
WM,Unknown,CALL,LONG_CALL,56.34263122414396,60.0,43.370524896575844,50.0,40.0,100.0,Technical=60.0 | Greeks=43.4 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=245.00; spot=242.25; target |delta|=0.45; estimated delta=0.0915; moneyness=1.14%.,54.94252951260559,54.94252951260559,0.0,,60.0,60.0,0.0,VOLATILE,242.25,245.0,30DTE_PROXY,0.061602224767646874,0.09145749678232723,0.11318664806164969,-0.00639803173178371,0.11413442714969571,0.018159432633494076,0.020905737979139288,30
PM,Unknown,CALL,LONG_CALL,55.90759227469309,60.0,41.630369098772334,50.0,40.0,100.0,Technical=60.0 | Greeks=41.6 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=192.50; spot=189.84; target |delta|=0.45; estimated delta=0.0922; moneyness=1.40%.,54.280730728670775,54.280730728670775,0.0,,60.0,60.0,0.0,VOLATILE,189.84,192.5,30DTE_PROXY,0.06490715917895074,0.09223686792802122,0.1091151453881463,-0.006089162795900724,0.09000574303799999,0.014338635491734189,0.02784718789714903,30
GS,Unknown,CALL,LONG_CALL,55.5766997257801,60.0,40.30679890312042,50.0,40.0,100.0,Technical=60.0 | Greeks=40.3 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=1125.00; spot=1095.46; target |delta|=0.45; estimated delta=0.0080; moneyness=2.70%.,52.07477976731622,52.07477976731622,0.0,,60.0,60.0,0.0,VOLATILE,1095.46,1125.0,30DTE_PROXY,0.027734104291173622,0.007951419777781299,0.0020618301141630234,-0.0047939793931948554,0.06847259022119022,0.0071364889360085995,0.03366994754526975,30
SBUX,Unknown,CALL,LONG_CALL,55.08194651673686,60.0,38.32778606694745,50.0,40.0,100.0,Technical=60.0 | Greeks=38.3 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=110.00; spot=108.37; target |delta|=0.45; estimated delta=0.0536; moneyness=1.50%.,51.45485217434995,51.45485217434995,0.0,,60.0,60.0,0.0,VOLATILE,108.37,110.0,30DTE_PROXY,0.01765465273451028,0.053607043160505796,0.13949652587669997,-0.002054397884926354,0.03386700788074512,0.00476033475170096,0.025151674273062308,30
MO,Unknown,CALL,LONG_CALL,55.0095269455573,60.0,38.038107782229204,50.0,40.0,100.0,Technical=60.0 | Greeks=38.0 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=74.00; spot=73.03; target |delta|=0.45; estimated delta=0.0730; moneyness=1.33%.,52.1178478928859,52.1178478928859,0.0,,60.0,60.0,0.0,VOLATILE,73.03,74.0,30DTE_PROXY,0.016109468345864464,0.0729975852085416,0.2792703312415847,-0.001729862834744284,0.02903102560062229,0.004368414394055284,0.02371409673199388,30
KO,Unknown,CALL,LONG_CALL,54.95830964402531,60.0,37.83323857610125,50.0,40.0,100.0,Technical=60.0 | Greeks=37.8 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=86.00; spot=84.92; target |delta|=0.45; estimated delta=0.0496; moneyness=1.27%.,51.12047436620418,51.12047436620418,0.0,,60.0,60.0,0.0,VOLATILE,84.92,86.0,30DTE_PROXY,0.009935512663642676,0.04961826971611927,0.21319851653410277,-0.0012821064236319764,0.024956166952245937,0.003455053110928114,0.019749010585160463,30
MRK,Unknown,CALL,LONG_CALL,54.938715343395714,60.0,37.75486137358284,50.0,40.0,100.0,Technical=60.0 | Greeks=37.8 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=130.00; spot=127.63; target |delta|=0.45; estimated delta=0.0298; moneyness=1.86%.,51.0862579692293,51.0862579692293,0.0,,60.0,60.0,0.0,VOLATILE,127.63,130.0,30DTE_PROXY,0.011756146849087656,0.029817014699135447,0.0662525924700968,-0.0015686580203837532,0.024770792375589167,0.0031181831007136185,0.02792563732659802,30
ABBV,Unknown,CALL,LONG_CALL,54.769462737299165,60.0,37.07785094919667,50.0,40.0,100.0,Technical=60.0 | Greeks=37.1 | Regime=50.0 | Volatility=40.0 | Risk=100.0 | Target-delta strike=260.00; spot=254.39; target |delta|=0.45; estimated delta=0.0065; moneyness=2.21%.,50.82357111631091,50.82357111631091,0.0,,60.0,60.0,0.0,VOLATILE,254.39,260.0,30DTE_PROXY,0.003982375224010459,0.0064986384787620866,0.009632317021522011,-0.0007569263367762795,0.01330879166628449,0.001355512000593104,0.025976426011245477,30
