symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,entry_delta,entry_gamma,entry_theta,entry_vega,entry_rho,entry_volatility,entry_dte,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-04-20,2026-04-21,LONG_CALL,CALL,266.17,BS_ENTRY_PROXY_EXIT,3.495952840500877,8.437228564175996,0.5513255237452326,0.05184687716117526,-0.0660160419846502,0.3019042331803828,0.11774002340939811,0.1,30,14,6898.186013145167,1.4094228236125668,6917.786013145167,19.6,6898.186013145167,6917.786013145167,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-04-20,2026-04-21,LONG_CALL,CALL,249.91,BS_ENTRY_PROXY_EXIT,3.2823893540578126,6.9860285304650915,0.5513255237452326,0.05522021245244296,-0.06198320266139661,0.28346127254803116,0.11054742927543554,0.1,30,15,5534.4587646109185,1.1240711501351932,5555.4587646109185,21.000000000000004,5534.4587646109185,5555.4587646109185,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-04-21,2026-04-23,LONG_CALL,CALL,273.17,BS_ENTRY_PROXY_EXIT,3.587892840814618,2.4083365851485325,0.5513255237452326,0.050518297375224286,-0.0677521966748578,0.30984400713034965,0.12083646614849636,0.1,30,13,-1551.623132365911,-0.33266218045550455,-1533.423132365911,18.200000000000003,-1551.623132365911,99.66778063441666,-1533.423132365911,2,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AMZN,2026-04-21,2026-04-22,LONG_CALL,CALL,255.36,BS_ENTRY_PROXY_EXIT,3.3539712114449287,3.138257285645807,0.5513255237452326,0.05404167956606368,-0.06333492309877252,0.2896429536947911,0.11295823112230492,0.1,30,14,-321.5994961187706,-0.06849013045051108,-301.9994961187706,19.6,-321.5994961187706,0.0,-301.9994961187706,1,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AAPL,2026-04-22,2026-04-23,LONG_CALL,CALL,273.43,BS_ENTRY_PROXY_EXIT,3.5913077551119557,2.3638130027668893,0.5513255237452326,0.05047026037373375,-0.06781668242049409,0.31013891301991986,0.12095147687880572,0.1,30,13,-1613.9431780485863,-0.3456943367156135,-1595.7431780485863,18.200000000000003,-1613.9431780485863,0.0,-1595.7431780485863,1,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AMZN,2026-04-22,2026-04-23,LONG_CALL,CALL,255.08,BS_ENTRY_PROXY_EXIT,3.35029361143242,10.030642803471835,0.5513255237452326,0.05410100083891336,-0.06326547691116421,0.28932536273679244,0.11283437341274098,0.1,30,14,9332.888868855181,1.989780587973367,9352.488868855182,19.6,9332.888868855181,9352.488868855182,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-04-23,2026-04-26,LONG_CALL,CALL,271.06,BS_ENTRY_PROXY_EXIT,3.5601794978628902,1.903608572743579,0.5513255237452326,0.050911544654283256,-0.06722887004680951,0.30745073241114534,0.11990310983713959,0.1,30,14,-2338.799295167036,-0.4692378364973238,-2319.199295167036,19.6,-2338.799295167036,0.0,-2319.199295167036,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-04-23,2026-04-26,LONG_CALL,CALL,263.99,BS_ENTRY_PROXY_EXIT,3.4673200975460077,2.0422678127867613,0.5513255237452326,0.05227502289476882,-0.06547535380969985,0.2994315607216788,0.11677570267065036,0.1,30,14,-2014.6731986629447,-0.4150330065510058,-1995.0731986629448,19.6,-2014.6731986629447,0.0,-1995.0731986629448,3,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AAPL,2026-04-26,2026-04-27,LONG_CALL,CALL,267.61,BS_ENTRY_PROXY_EXIT,3.5148662119939615,5.398013472832986,0.5513255237452326,0.051567890938268454,-0.06637319380663578,0.30353755810723315,0.11837700591572688,0.1,30,14,2616.8061651746343,0.5317833306032633,2636.406165174634,19.6,2616.8061651746343,2636.406165174634,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-04-26,2026-04-27,LONG_CALL,CALL,261.12,BS_ENTRY_PROXY_EXIT,3.4296246974174096,2.6373637308438305,0.5513255237452326,0.05284958369328286,-0.06476353038671474,0.2961762534021924,0.11550616114762007,0.1,30,14,-1128.7653532030108,-0.2350872289847671,-1109.165353203011,19.6,-1128.7653532030108,0.0,-1109.165353203011,1,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
