expiry,dte,strike,option_type,moneyness,delta,implied_volatility,bid,ask,mid,spread_pct
2026-08-03,8,18000.0,PUT,0.6399239593244649,-0.0016962590966949527,1.032665720172616,0.0,8.8,4.4,2.0
2026-08-03,8,19000.0,PUT,0.6754752903980463,-0.0018218059042448978,0.9115905493951537,0.0,9.2,4.6,2.0
2026-08-03,8,20000.0,PUT,0.7110266214716277,-0.00225626547461508,0.8099041322743046,0.05,5.0,2.525,1.9603960396039606
2026-08-03,8,21000.0,PUT,0.7465779525452091,-0.00283804420882148,0.7150265904221765,0.05,5.6,2.8249999999999997,1.9646017699115046
2026-08-03,8,23000.0,PUT,0.8176806146923719,-0.0061683398905623245,0.5372804235751802,1.4,8.5,4.95,1.4343434343434343
2026-08-03,8,24000.0,PUT,0.8532319457659532,-0.011460945866210992,0.47109439891215804,4.7,12.2,8.45,0.8875739644970414
2026-08-03,8,24500.0,PUT,0.8710076113027438,-0.01653553741119128,0.43148244625350196,7.9,15.6,11.75,0.6553191489361702
2026-08-03,8,25000.0,PUT,0.8887832768395346,-0.022879028003073912,0.3940184863220211,10.1,20.5,15.3,0.6797385620915033
2026-08-03,8,25400.0,PUT,0.9030038092689672,-0.03596822508508358,0.3783813620735454,21.1,28.2,24.65,0.2880324543610547
2026-08-03,8,25500.0,PUT,0.9065589423763253,-0.03987290110042102,0.3726184429976704,23.7,31.0,27.35,0.26691042047531993
2026-08-03,8,25600.0,PUT,0.9101140754836834,-0.04425741581988268,0.3677306973381522,26.7,34.1,30.4,0.24342105263157904
2026-08-03,8,25800.0,PUT,0.9172243416983997,-0.054800913926164,0.36151823799081656,34.2,41.7,37.95,0.1976284584980237
2026-08-03,8,26000.0,PUT,0.924334607913116,-0.06808849373898229,0.3555699437941075,44.7,51.4,48.05,0.13943808532778348
2026-08-03,8,26200.0,PUT,0.9314448741278323,-0.08415718620414034,0.34422001499693217,55.5,65.0,60.25,0.15767634854771784
2026-08-03,8,26400.0,PUT,0.9385551403425485,-0.10424466687539799,0.3378574590783323,70.8,81.2,76.0,0.13684210526315796
2026-08-03,8,26500.0,PUT,0.9421102734499066,-0.11501979810167945,0.3354892990959858,80.0,88.9,84.45,0.10538780343398467
2026-08-03,8,26600.0,PUT,0.9456654065572648,-0.1280618087344813,0.33432465930518884,90.2,101.3,95.75,0.11592689295039159
2026-08-03,8,26800.0,PUT,0.952775672771981,-0.15592283591909736,0.32235485542066616,114.1,124.1,119.1,0.08396305625524769
2026-08-03,8,27000.0,PUT,0.9598859389866974,-0.19050979399634915,0.3173042076337851,144.5,155.5,150.0,0.07333333333333333
2026-08-03,8,27200.0,PUT,0.9669962052014136,-0.2289231716237544,0.3120561722470514,180.3,191.7,186.0,0.06129032258064504
2026-08-03,8,27400.0,PUT,0.9741064714161299,-0.27362821442487373,0.30157993897908836,223.4,235.4,229.4,0.05231037489102005
2026-08-03,8,27500.0,PUT,0.977661604523488,-0.2981295312130851,0.29814975958660184,246.9,260.5,253.7,0.05360662199448165
2026-08-03,8,27600.0,PUT,0.9812167376308462,-0.32417951248129295,0.2968327543897498,274.5,287.7,281.1,0.04695837780149409
2026-08-03,8,27750.0,PUT,0.9865494372918834,-0.3651546252410017,0.2901549902696968,319.0,333.0,326.0,0.04294478527607362
2026-08-03,8,27800.0,PUT,0.9883270038455625,-0.37972727133015294,0.2871462620363729,335.0,349.6,342.3,0.04265264387963781
2026-08-03,8,27900.0,PUT,0.9918821369529206,-0.41011729885855047,0.2823862039813315,369.0,385.0,377.0,0.042440318302387266
2026-08-03,8,27975.0,PUT,0.9945484867834392,-0.43376171116402396,0.2798430680431005,398.8,410.7,404.75,0.02940086473131557
2026-08-03,8,28000.0,PUT,0.9954372700602787,-0.4417383451133622,0.2789982436408688,408.0,420.0,414.0,0.028985507246376812
2026-08-03,8,28100.0,PUT,0.9989924031676368,-0.47418821294598634,0.27749158458007844,448.2,460.2,454.2,0.026420079260237782
2026-08-03,8,28200.0,PUT,1.002547536274995,-0.5073521429002474,0.2717752879998546,491.4,503.5,497.45,0.024324052668609958
2026-08-03,8,28225.0,PUT,1.0034363195518345,-0.5158774612659816,0.2702165190500248,502.4,515.7,509.05,0.02612709949906702
2026-08-03,8,28300.0,PUT,1.0061026693823532,-0.5420642277667069,0.2654993428001796,537.5,550.0,543.75,0.022988505747126436
2026-08-03,8,28375.0,PUT,1.0087690192128718,-0.568786746829766,0.26204404764389616,573.8,587.4,580.5999999999999,0.023424044092318335
2026-08-03,8,28400.0,PUT,1.0096578024897114,-0.5777431127164089,0.2611932851046347,586.6,600.2,593.4000000000001,0.022918773171553792
2026-08-03,8,28450.0,PUT,1.0114353690433904,-0.5956321108876933,0.2599551111059918,612.2,627.4,619.8,0.02452404001290728
2026-08-03,8,28475.0,PUT,1.0123241523202298,-0.6042790691062356,0.26011096206634404,602.9,665.8,634.3499999999999,0.0991566170095373
2026-08-03,8,28500.0,PUT,1.0132129355970694,-0.613647650119351,0.2588073505740833,638.7,654.0,646.35,0.023671385472267277
2026-08-03,8,28550.0,CALL,1.0149905021507484,0.37078443878859574,0.26217409020122345,277.0,291.5,284.25,0.051011433597185574
2026-08-03,8,28575.0,PUT,1.015879285427588,-0.640692734722851,0.25483463591309913,653.6,721.1,687.35,0.09820324434422055
2026-08-03,8,28600.0,CALL,1.0167680687044276,0.35322699339296776,0.25782431482337587,256.2,269.7,262.95,0.0513405590416429
2026-08-03,8,28625.0,CALL,1.017656851981267,0.34444146296187367,0.25601381900281606,246.0,259.7,252.85,0.05418232153450658
2026-08-03,8,28650.0,PUT,1.0185456352581066,-0.6672145428427422,0.25001352866237786,724.1,741.7,732.9000000000001,0.02401419020330198
2026-08-03,8,28675.0,PUT,1.0194344185349462,-0.6768277430460303,0.2476447512031386,713.4,780.4,746.9,0.08970411032266702
2026-08-03,8,28675.0,CALL,1.0194344185349462,0.32662693559582046,0.25259843977044516,226.3,239.6,232.95,0.05709379695213558
2026-08-03,8,28700.0,PUT,1.0203232018117856,-0.6855014489375293,0.24677241242857637,753.0,773.4,763.2,0.026729559748427643
2026-08-03,8,28750.0,PUT,1.0221007683654648,-0.7033551609527147,0.2446446917919495,784.8,805.6,795.2,0.02615694164989948
2026-08-03,8,28775.0,PUT,1.0229895516423042,-0.7125956458118348,0.24335784073904682,778.3,843.4,810.8499999999999,0.080286119504224
2026-08-03,8,28900.0,PUT,1.027433468026502,-0.7561759402953314,0.24075699584463775,815.8,974.2,895.0,0.1769832402234638
2026-08-03,8,28900.0,CALL,1.027433468026502,0.2481316485459557,0.24486232299053945,149.2,160.8,155.0,0.0748387096774195
2026-08-03,8,28925.0,PUT,1.0283222513033414,-0.7641479195559929,0.23933131078332223,833.9,992.3,913.0999999999999,0.17347497535866827
2026-08-03,8,28950.0,PUT,1.029211034580181,-0.7725479991280805,0.23704200292510222,852.0,1009.6,930.8,0.16931671680275034
2026-08-03,8,28950.0,CALL,1.029211034580181,0.23172530743363953,0.2418992965151201,134.6,145.9,140.25,0.08057040998217477
2026-08-03,8,28975.0,CALL,1.0300998178570206,0.22358603036579053,0.2398419869723566,127.6,138.9,133.25,0.08480300187617269
2026-08-03,8,29000.0,CALL,1.03098860113386,0.2154648473453823,0.23795680203614158,120.9,132.0,126.45,0.08778173190984574
2026-08-03,8,29000.0,PUT,1.03098860113386,-0.7889337922823179,0.23339972344721252,888.6,1046.0,967.3,0.16272097591233328
2026-08-03,8,29025.0,PUT,1.0318773844106996,-0.7969330657680254,0.23196089544141862,907.4,1064.6,986.0,0.1594320486815415
2026-08-03,8,29050.0,PUT,1.0327661676875393,-0.8049427333636534,0.2306088049978108,926.2,1083.4,1004.8000000000001,0.1564490445859873
