expiry,dte,strike,option_type,moneyness,delta,implied_volatility,bid,ask,mid,spread_pct
2026-08-03,8,2535.0,PUT,0.8651880676538161,-0.007925009341557395,0.4002938114001574,0.35,0.65,0.5,0.6000000000000001
2026-08-03,8,2565.0,PUT,0.8754269796970564,-0.01044085720489656,0.3888644273340553,0.5,0.8,0.65,0.46153846153846156
2026-08-03,8,2575.0,PUT,0.8788399503781366,-0.011316013268069393,0.38231162759583964,0.55,0.85,0.7,0.4285714285714285
2026-08-03,8,2705.0,PUT,0.9232085692321784,-0.03915133920761376,0.3018119317078901,2.05,2.45,2.25,0.17777777777777792
2026-08-03,8,2715.0,PUT,0.9266215399132586,-0.043660002677786455,0.2960795463872507,2.3,2.7,2.5,0.16000000000000014
2026-08-03,8,2720.0,PUT,0.9283280252537986,-0.04628544951442181,0.2938025628588367,2.45,2.85,2.6500000000000004,0.15094339622641503
2026-08-03,8,2725.0,PUT,0.9300345105943387,-0.048951563168169024,0.29153218371929973,2.6,3.0,2.8,0.14285714285714282
2026-08-03,8,2735.0,PUT,0.9334474812754189,-0.055292106645406,0.28873672640352815,2.95,3.4,3.175,0.14173228346456684
2026-08-03,8,2745.0,PUT,0.936860451956499,-0.06175521399376102,0.2859587472942419,3.3,3.8,3.55,0.14084507042253522
2026-08-03,8,2750.0,PUT,0.9385669372970391,-0.0657502247130747,0.2834699650935189,3.5,4.1,3.8,0.15789473684210517
2026-08-03,8,2755.0,CALL,0.9402734226375792,0.9058439340257183,0.3123776762219514,177.7,190.1,183.89999999999998,0.06742794997281135
2026-08-03,8,2760.0,PUT,0.9419799079781193,-0.07402329625449837,0.27678860843339276,4.0,4.6,4.3,0.13953488372093015
2026-08-03,8,2765.0,PUT,0.9436863933186593,-0.0788591118693447,0.2741230475899017,4.3,4.9,4.6,0.1304347826086958
2026-08-03,8,2770.0,CALL,0.9453928786591993,0.8927640343272324,0.3034325142629546,163.4,176.1,169.75,0.07481590574374072
2026-08-03,8,2770.0,PUT,0.9453928786591993,-0.08378949945912331,0.27146551247994627,4.6,5.2,4.9,0.12244897959183683
2026-08-03,8,2775.0,PUT,0.9470993639997394,-0.08881682652328918,0.26881606096171073,4.9,5.5,5.2,0.11538461538461531
2026-08-03,8,2780.0,PUT,0.9488058493402795,-0.0944687479534757,0.2668330857040298,5.3,5.8,5.55,0.0900900900900901
2026-08-03,8,2785.0,PUT,0.9505123346808195,-0.10071716033663318,0.26551382912752614,5.7,6.2,5.95,0.08403361344537814
2026-08-03,8,2790.0,PUT,0.9522188200213596,-0.10652820300215123,0.2635427625917491,6.0,6.6,6.3,0.09523809523809519
2026-08-03,8,2790.0,CALL,0.9522188200213596,0.8719190205067029,0.29283048565035724,145.3,157.0,151.15,0.07740654978498172
2026-08-03,8,2795.0,PUT,0.9539253053618997,-0.11340058706146304,0.26288871560609456,6.5,7.0,6.75,0.07407407407407407
2026-08-03,8,2800.0,PUT,0.9556317907024398,-0.12030696985364296,0.2622369859781625,6.9,7.5,7.2,0.08333333333333329
2026-08-03,8,2805.0,PUT,0.9573382760429798,-0.1277268128963539,0.2603967079851399,7.4,8.0,7.7,0.07792207792207788
2026-08-03,8,2810.0,PUT,0.9590447613835199,-0.13532577735846632,0.2569082516735274,7.9,8.5,8.2,0.07317073170731704
2026-08-03,8,2815.0,PUT,0.96075124672406,-0.1431332229709239,0.2534306511084282,8.4,9.0,8.7,0.06896551724137928
2026-08-03,8,2820.0,PUT,0.9624577320646001,-0.1520256113234613,0.2508315080200612,9.0,9.6,9.3,0.06451612903225802
2026-08-03,8,2825.0,PUT,0.9641642174051401,-0.16110346537900125,0.24824107036532336,9.6,10.2,9.899999999999999,0.06060606060606058
2026-08-03,8,2830.0,PUT,0.9658707027456802,-0.17078088517221515,0.24609183722609124,10.2,10.9,10.55,0.06635071090047404
2026-08-03,8,2830.0,CALL,0.9658707027456802,0.810986277920292,0.26703724175717547,110.5,120.4,115.45,0.0857514075357298
2026-08-03,8,2835.0,PUT,0.9675771880862203,-0.18102181845937476,0.24438183207536787,10.9,11.6,11.25,0.06222222222222216
2026-08-03,8,2840.0,PUT,0.9692836734267604,-0.19140605734283844,0.2426780251981617,11.6,12.3,11.95,0.058577405857740676
2026-08-03,8,2845.0,PUT,0.9709901587673004,-0.20265696724848714,0.24184076617856765,12.4,13.1,12.75,0.05490196078431367
2026-08-03,8,2850.0,PUT,0.9726966441078405,-0.21398535270080685,0.2410066956973476,13.2,13.9,13.55,0.05166051660516613
2026-08-03,8,2855.0,PUT,0.9744031294483806,-0.22614314720011894,0.23820694037898232,14.1,14.8,14.45,0.04844290657439454
2026-08-03,8,2860.0,CALL,0.9761096147889207,0.7525803883876852,0.24408379563234328,88.2,90.4,89.30000000000001,0.02463605823068312
2026-08-03,8,2860.0,PUT,0.9761096147889207,-0.2386659939143594,0.23459864911228562,15.0,15.7,15.35,0.04560260586319214
2026-08-03,8,2865.0,PUT,0.9778161001294607,-0.2515786247827588,0.23100321291543835,15.9,16.6,16.25,0.043076923076923145
2026-08-03,8,2870.0,PUT,0.9795225854700008,-0.26603901915368494,0.22872581065947054,17.0,17.7,17.35,0.04034582132564837
2026-08-03,8,2875.0,PUT,0.9812290708105409,-0.2807889694603655,0.22645722498999463,18.1,18.8,18.450000000000003,0.037940379403793995
2026-08-03,8,2875.0,CALL,0.9812290708105409,0.7116497599693645,0.23613434638344497,76.4,78.5,77.45,0.027114267269205863
2026-08-03,8,2880.0,PUT,0.982935556151081,-0.2958355237194537,0.224197551175798,19.2,19.9,19.549999999999997,0.035805626598465444
2026-08-03,8,2885.0,CALL,0.9846420414916209,0.6815694970187467,0.23282819894957435,68.9,70.8,69.85,0.027201145311381413
2026-08-03,8,2885.0,PUT,0.9846420414916209,-0.3118633591354878,0.22292003865561058,20.4,21.2,20.799999999999997,0.0384615384615385
2026-08-03,8,2890.0,PUT,0.986348526832161,-0.3280743793773061,0.2216478006410971,21.7,22.4,22.049999999999997,0.031746031746031717
2026-08-03,8,2895.0,PUT,0.9880550121727011,-0.3450343823615323,0.2202148911181374,23.1,23.8,23.450000000000003,0.02985074626865668
2026-08-03,8,2900.0,PUT,0.9897614975132412,-0.3626490647317785,0.21643426935111226,24.5,25.3,24.9,0.03212851405622493
2026-08-03,8,2900.0,CALL,0.9897614975132412,0.6326842158629296,0.22498024728846577,58.2,59.7,58.95,0.02544529262086514
2026-08-03,8,2905.0,PUT,0.9914679828537812,-0.38102736551612,0.21295079667881664,26.0,26.8,26.4,0.03030303030303033
2026-08-03,8,2910.0,PUT,0.9931744681943213,-0.4004754289102617,0.21060613374504594,27.7,28.5,28.1,0.028469750889679738
2026-08-03,8,2915.0,PUT,0.9948809535348614,-0.4201801740128043,0.20771101012791648,29.3,30.1,29.700000000000003,0.026936026936026956
2026-08-03,8,2920.0,PUT,0.9965874388754015,-0.4406909079242808,0.20594790550226882,31.1,31.9,31.5,0.025396825396825307
2026-08-03,8,2925.0,PUT,0.9982939242159415,-0.4616230720348323,0.2047511237163801,33.0,33.8,33.4,0.023952095808383148
2026-08-03,8,2930.0,PUT,1.0000004095564816,-0.4827989839701091,0.20355893029505803,34.9,35.7,35.3,0.02266288951841372
2026-08-03,8,2930.0,CALL,1.0000004095564816,0.5170106477692419,0.212685401870364,39.0,40.0,39.5,0.02531645569620253
2026-08-03,8,2935.0,CALL,1.0017068948970218,0.4961444649571296,0.2080001895402795,36.1,36.9,36.5,0.021917808219178006
2026-08-03,8,2935.0,PUT,1.0017068948970218,-0.5045611877423934,0.1994749974632062,37.0,37.8,37.4,0.021390374331550728
2026-08-03,8,2940.0,PUT,1.0034133802375618,-0.5271747274283347,0.19568805442331225,39.1,40.0,39.55,0.022756005056889978
2026-08-03,8,2945.0,PUT,1.0051198655781017,-0.5506766309614246,0.1919202009435696,41.2,42.2,41.7,0.023980815347721823
2026-08-03,8,2945.0,CALL,1.0051198655781017,0.4521514151855623,0.2009072883764698,30.5,31.3,30.9,0.02588996763754048
2026-08-03,8,2950.0,CALL,1.006826350918642,0.4294428593999062,0.19848974025332045,27.9,28.7,28.299999999999997,0.028268551236749144
2026-08-03,8,2950.0,PUT,1.006826350918642,-0.5742259954939258,0.19010138123543144,43.7,44.7,44.2,0.02262443438914027
2026-08-03,8,2955.0,PUT,1.0085328362591819,-0.5985510250351436,0.1877422781590764,46.0,47.2,46.6,0.02575107296137345
2026-08-03,8,2960.0,PUT,1.010239321599722,-0.6222929951899883,0.18704059666694892,48.7,49.9,49.3,0.024340770791074967
2026-08-03,8,2960.0,CALL,1.010239321599722,0.3834426094768317,0.19533696645585882,23.0,23.8,23.4,0.03418803418803422
2026-08-03,8,2965.0,CALL,1.011945806940262,0.360405219931947,0.19242888718542472,20.7,21.5,21.1,0.03791469194312799
2026-08-03,8,2965.0,PUT,1.011945806940262,-0.6465485386398742,0.18300266723757055,51.3,52.7,52.0,0.026923076923077032
2026-08-03,8,2970.0,CALL,1.0136522922808022,0.33730563200515207,0.18859575192647038,18.6,19.4,19.0,0.04210526315789459
2026-08-03,8,2970.0,PUT,1.0136522922808022,-0.6709794555653096,0.17922652920130547,54.1,55.7,54.900000000000006,0.029143897996357037
2026-08-03,8,2975.0,PUT,1.0153587776213422,-0.6961171208831757,0.17578372357291777,56.9,58.8,57.849999999999994,0.032843560933448555
2026-08-03,8,2975.0,CALL,1.0153587776213422,0.31386495490698446,0.1854059075299132,16.6,17.4,17.0,0.0470588235294116
2026-08-03,8,2980.0,PUT,1.0170652629618824,-0.7203058703651621,0.17390854659514235,60.0,62.1,61.05,0.034398034398034426
2026-08-03,8,2980.0,CALL,1.0170652629618824,0.2906596813426947,0.1831639176222298,14.8,15.5,15.15,0.04620462046204616
