expiry,dte,strike,call_open_interest,put_open_interest,call_volume,put_volume,call_gamma_exposure,put_gamma_exposure,net_gamma_exposure,call_delta_exposure,put_delta_exposure,net_delta_exposure,vanna_exposure,charm_exposure,call_spread_pct,put_spread_pct,liquidity_score,dealer_pressure_score,pin_score,market_structure_eligible,trade_eligible
2026-08-03,8,18000.0,0.0,2.0,0.0,1.0,0.0,-1887.6686954365493,-1887.6686954365493,0.0,9542.591208099451,9542.591208099451,683.5768479301156,-3654.73923892881,,2.0,0.025560920193126953,64.99831596552316,0.03130529559021194,True,False
2026-08-03,8,19000.0,0.0,2.0,0.0,2.0,0.0,-2283.0835281615823,-2283.0835281615823,0.0,10248.87591676534,10248.87591676534,823.7011276617096,-3893.8965479584713,,2.0,0.025560920193126953,64.9984007449774,0.03131873763626347,True,False
2026-08-03,8,20000.0,0.0,6.0,0.0,2.0,0.0,-9401.173251252425,-9401.173251252425,0.0,38079.00418600761,38079.00418600761,3348.108992925873,-14213.109766414564,,1.9603960396039606,0.07668276057938087,64.99904680831004,0.09404296499588402,True,False
2026-08-03,8,21000.0,0.0,3.0,0.0,1.0,0.0,-6603.428952535418,-6603.428952535418,0.0,23948.843459173302,23948.843459173302,2384.831412161797,-9063.96330131719,,1.9646017699115046,0.03834138028969043,64.99898084723469,0.04708616923215189,True,False
2026-08-03,8,23000.0,0.0,3.0,0.0,3.0,0.0,-17484.427233666658,-17484.427233666658,0.0,52051.55225661375,52051.55225661375,5601.936069829609,-16594.033961670244,,1.4343434343434343,0.03834138028969043,64.998671665543,0.04745606653462206,True,False
2026-08-03,8,24000.0,0.0,1.0,0.0,1.0,0.0,-11631.376476563992,-11631.376476563992,0.0,32237.740529292747,32237.740529292747,3612.053448600161,-9744.164957692501,,0.8875739644970414,3.9242191528441857,64.99884276033124,0.5546735962542643,True,False
2026-08-03,8,24500.0,0.0,2.0,0.0,1.0,0.0,-34470.30755525649,-34470.30755525649,0.0,93023.45038483824,93023.45038483824,9750.104443369068,-24458.573086455497,,0.6553191489361702,13.867255002565331,64.99778808277193,3.5336814861656656,True,False
2026-08-03,8,25000.0,0.0,23.0,0.0,1.0,0.0,-576677.8315254612,-576677.8315254612,0.0,1480162.9873761283,1480162.9873761283,155782.4856184084,-363176.2907206526,,0.6797385620915033,16.365673192731624,64.96568278815008,6.842756451560046,True,False
2026-08-03,8,25400.0,0.0,3.0,0.0,3.0,0.0,-113843.15677167803,-113843.15677167803,0.0,303517.96120352857,303517.96120352857,28274.045191759444,-64817.35461551292,,0.2880324543610547,30.23133596095257,64.99317794889868,8.884699973255321,True,True
2026-08-03,8,25500.0,0.0,5.0,0.0,4.0,0.0,-209252.07688489728,-209252.07688489728,0.0,560779.2999071566,560779.2999071566,50608.5141899267,-114777.34367923753,,0.26691042047531993,31.483080082277432,64.98752465912453,9.511706689145297,True,True
2026-08-03,8,25600.0,0.0,4.0,0.0,6.0,0.0,-184714.31372010947,-184714.31372010947,0.0,497955.0917886266,497955.0917886266,43546.59447927261,-97958.36336347609,,0.24342105263157904,32.76750284205278,64.98898105781605,10.087774155144071,True,True
2026-08-03,8,25800.0,0.0,5.0,0.0,4.0,0.0,-280983.3414451372,-280983.3414451372,0.0,770729.4251900348,770729.4251900348,63026.17197030801,-141008.74278351187,,0.1976284584980237,35.33910549527538,64.98326458869116,11.29171173243516,True,True
2026-08-03,8,26000.0,0.0,45.0,0.0,8.0,0.0,-3055150.5900581283,-3055150.5900581283,0.0,8618473.980376745,8618473.980376745,646627.9996075534,-1438425.8483961564,,0.13943808532778348,38.781079463364506,64.81824462976331,13.195885841186259,True,True
2026-08-03,8,26200.0,0.0,8.0,0.0,6.0,0.0,-653570.096137869,-653570.096137869,0.0,1893761.6941533543,1893761.6941533543,128797.17807357533,-279513.2587460075,,0.15767634854771784,38.94609891231301,64.96111061211451,13.721328167920568,True,True
2026-08-03,8,26400.0,0.0,5.0,0.0,3.0,0.0,-489794.13145018864,-489794.13145018864,0.0,1466114.8222501217,1466114.8222501217,88701.86646547854,-190595.40083744586,,0.13684210526315796,40.71782919967949,64.97085147975082,14.85394331972629,True,True
2026-08-03,8,26500.0,0.0,4.0,0.0,3.0,0.0,-426412.2102663169,-426412.2102663169,0.0,1294126.4884132796,1294126.4884132796,73734.95355297888,-157965.09617280646,,0.10538780343398467,42.24119997901782,64.97462076698993,15.428690286548724,True,True
2026-08-03,8,26600.0,0.0,5.0,0.0,2.0,0.0,-578610.146235394,-578610.146235394,0.0,1801083.1784248662,1801083.1784248662,94814.38886217382,-203212.47944941194,,0.11592689295039159,42.530329938181865,64.96556963872213,16.042006971032507,True,True
2026-08-03,8,26800.0,0.0,6.0,0.0,1.0,0.0,-812997.5646957122,-812997.5646957122,0.0,2631510.5152554833,2631510.5152554833,120588.23813217007,-250157.71053572083,,0.08396305625524769,44.687069868252124,64.95162835060273,17.250639854658044,True,True
2026-08-03,8,27000.0,0.0,26.0,0.0,22.0,0.0,-4086435.2009991803,-4086435.2009991803,0.0,13932684.077716293,13932684.077716293,524983.5789713927,-1075161.8115766195,,0.07333333333333333,46.4466151269602,64.75689325354726,18.859375310923117,True,True
2026-08-03,8,27200.0,0.0,5.0,0.0,4.0,0.0,-895749.5331677105,-895749.5331677105,0.0,3219614.6348212254,3219614.6348212254,96664.86106102867,-194472.97557543442,,0.06129032258064504,47.7245601566324,64.94670640349696,19.607921166734048,True,True
2026-08-03,8,27400.0,0.0,7.0,0.0,1.0,0.0,-1412242.7808395538,-1412242.7808395538,0.0,5387695.602760344,5387695.602760344,124959.83882935351,-240992.23805937672,,0.05231037489102005,49.20456387663366,64.91598163497854,20.841764742441633,True,True
2026-08-03,8,27500.0,0.0,3.0,0.0,1.0,0.0,-639434.3827996999,-639434.3827996999,0.0,2515766.8268119674,2515766.8268119674,49362.03006301325,-93371.73359276487,,0.05360662199448165,49.707076807703245,64.9619535166361,21.345533214822737,True,True
2026-08-03,8,27600.0,0.0,1.0,0.0,1.0,0.0,-223780.99753274312,-223780.99753274312,0.0,911863.220565023,911863.220565023,14514.65109537348,-26994.56551770498,,0.04695837780149409,50.47348539785943,64.98667061932017,21.892684223212136,True,True
2026-08-03,8,27750.0,0.0,1.0,0.0,1.0,0.0,-238619.56353860267,-238619.56353860267,0.0,1027119.4192004597,1027119.4192004597,11399.933559859075,-19998.419258237947,,0.04294478527607362,51.48267645046158,64.98578970569426,22.78197193405637,True,True
2026-08-03,8,27800.0,0.0,4.0,0.0,2.0,0.0,-972983.1116259268,-972983.1116259268,0.0,4272439.426183205,4272439.426183205,40951.83344206539,-69651.08062787681,,0.04265264387963781,51.82604316492419,64.94211285719066,23.150059251393955,True,True
2026-08-03,8,27900.0,0.0,1.0,0.0,2.0,0.0,-251852.43241731153,-251852.43241731153,0.0,1153591.965402706,1153591.965402706,7536.13885996007,-11722.316647760565,,0.042440318302387266,52.38659373651171,64.98500407162025,23.671205059556453,True,True
2026-08-03,8,27975.0,0.0,1.0,0.0,1.0,0.0,-257678.27485365834,-257678.27485365834,0.0,1220099.7770414213,1220099.7770414213,5229.21323346493,-7076.202049361821,,0.02940086473131557,53.22216898206362,64.9846581958515,24.115794746293677,True,True
2026-08-03,8,28000.0,0.0,6.0,0.0,1.0,0.0,-1557931.9550433,-1557931.9550433,0.0,7455220.355025579,7455220.355025579,26546.493243261975,-32861.91821972253,,0.028985507246376812,53.446662553234525,64.90731522834994,24.38622996102355,True,True
2026-08-03,8,28100.0,0.0,1.0,0.0,1.0,0.0,-265960.0874824334,-265960.0874824334,0.0,1333812.8239546036,1333812.8239546036,1022.4305382686463,1131.649728797556,,0.026420079260237782,54.05224527689557,64.9841665515608,24.856729015513174,True,True
2026-08-03,8,28200.0,0.0,3.0,0.0,8.0,0.0,-811905.3830206718,-811905.3830206718,0.0,4281292.381290895,4281292.381290895,-7624.112009798421,23802.610857753745,,0.024324052668609958,53.88403042106557,64.9516955219953,24.649872864649506,True,True
2026-08-03,8,28225.0,0.0,1.0,0.0,1.0,0.0,-271354.8099761908,-271354.8099761908,0.0,1451077.7675194733,1451077.7675194733,-3478.2842317863797,9670.662741711289,,0.02612709949906702,53.6562475498188,64.98384652352496,24.4521252880848,True,True
2026-08-03,8,28300.0,0.0,6.0,0.0,3.0,0.0,-1641270.7155306218,-1641270.7155306218,0.0,9148420.799965851,9148420.799965851,-38336.25988853243,89559.77116844663,,0.022988505747126436,53.369916024440066,64.90235770364532,24.13240647130315,True,True
