feature_id,present_count,missing_count,coverage_pct
F020,303689,0,1.0
F021,303689,0,1.0
F030,303689,0,1.0
F031,303689,0,1.0
F070,303689,0,1.0
F080,303689,0,1.0
F081,303689,0,1.0
