column_name,source_path,monotonic_sign,sign_meaning,authority_reason,outcomes_used
F051__evidence__cmf_20d,evidence.cmf_20d,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F051__evidence__dry_up_ratio_5d_vs_20d,evidence.dry_up_ratio_5d_vs_20d,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F051__evidence__elevated_volume_sessions_10d,evidence.elevated_volume_sessions_10d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__evidence__price_change_1d,evidence.price_change_1d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__evidence__price_return_20d,evidence.price_return_20d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__evidence__range_ratio_vs_20d_median,evidence.range_ratio_vs_20d_median,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__evidence__signed_volume_flow_20d,evidence.signed_volume_flow_20d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__evidence__version,evidence.version,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F051__evidence__volume_1d,evidence.volume_1d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__institutional_participation_score,institutional_participation_score,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__persistence_score,persistence_score,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__regime,regime,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F051__relative_volume_1d,relative_volume_1d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__relative_volume_20d,relative_volume_20d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__relative_volume_5d,relative_volume_5d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__signal,signal,0,UNCONSTRAINED,UNCONSTRAINED_NO_DEFENSIBLE_SIGN,False
F051__up_down_volume_ratio_20d,up_down_volume_ratio_20d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__volume_percentile_60d,volume_percentile_60d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
F051__volume_zscore_20d,volume_zscore_20d,0,UNCONSTRAINED,UNCONSTRAINED_AMBIGUOUS_SEMANTICS,False
