symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask
AAPL,1,CALL,290.0,2026-09-18,79.2551110940752,85.82402017104582,0.85,68.01899999999999,99.27708068418328,100.0,100.0,35.0,-1.0,0.4572291931581673,0.27352460992524097,9717,0,0.0,0.0
AAPL,2,CALL,295.0,2026-09-18,79.18681150527874,85.33965728232498,0.85,70.0,95.35862912929993,100.0,100.0,35.0,-1.0,0.4035862912929994,0.27407638353582914,12179,0,0.0,0.0
AAPL,3,CALL,285.0,2026-09-18,78.9878700331735,84.97794551486089,0.85,70.0,93.91178205944355,100.0,100.0,35.0,-1.0,0.5108821794055646,0.2715314979671385,36629,0,0.0,0.0
AAPL,4,CALL,300.0,2026-10-16,78.90795874763631,84.83265226842964,0.85,70.0,93.33060907371855,100.0,100.0,35.0,-1.0,0.3833060907371856,0.26642806776985095,11810,0,0.0,0.0
AAPL,5,CALL,300.0,2026-09-18,78.45303133513522,84.00551151842768,0.85,70.0,90.0220460737107,100.0,100.0,35.0,-1.0,0.350220460737107,0.26524148080479415,30798,0,0.0,0.0
AAPL,6,CALL,280.0,2026-08-21,78.09884752596835,83.53081368357881,0.85,69.069,89.05425473431525,100.0,100.0,35.0,-1.0,0.5594574526568475,0.29001099967781535,9867,0,0.0,0.0
AAPL,7,CALL,300.0,2026-08-21,77.80077183078546,82.81958514688266,0.85,70.0,85.27834058753064,100.0,100.0,35.0,-1.0,0.3027834058753063,0.27018623010885023,15996,0,0.0,0.0
AAPL,8,CALL,305.0,2026-09-18,77.79486203936645,82.80884007157535,0.85,70.0,85.23536028630137,100.0,100.0,35.0,-1.0,0.30235360286301377,0.26608888349677084,22818,0,0.0,0.0
AAPL,9,CALL,300.0,2026-12-18,77.60283070252427,86.0960558227714,0.85,70.0,98.3842232910856,100.0,90.0,35.0,-1.0,0.433842232910856,0.2739086279539601,25951,0,0.0,0.0
AAPL,10,CALL,290.0,2026-12-18,77.02162105595922,85.03931101083494,0.85,70.0,94.15724404333976,100.0,90.0,35.0,-1.0,0.5084275595666023,0.27932746234993633,14387,0,0.0,0.0
