family,implementation_certified,development_scoring_authorized,retirement_authorized,reason
MF2_MONOTONIC_GAM_DIRECTION,False,False,False,MONOTONIC_SIGN_MAP_NOT_YET_AUTHORIZED
MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,False,False,False,NO_CERTIFIED_SOLVER_IMPLEMENTING_PREREGISTERED_ALPHA_X_L1_RATIO_QUANTILE_OBJECTIVE
