candidate_id,regime_id,horizon_sessions,count,accuracy,mean,median,candidate_unconditioned_count,candidate_unconditioned_accuracy,candidate_unconditioned_median,accuracy_delta_vs_unconditioned_candidate,median_delta_vs_unconditioned_candidate,eligible_for_interpretation,positive_edge_cell
H2_BREAKDOWN_INITIATION,RC1_DOWNTREND_HIGH_VOL,5,284,0.6056338028169014,0.032039214293950326,0.021920772602262606,737,0.5169606512890095,0.0024075012671058715,0.0886731515278919,0.019513271335156734,False,False
H2_BREAKDOWN_INITIATION,RC1_DOWNTREND_HIGH_VOL,10,284,0.5563380281690141,0.027270532675413493,0.026028776395570274,737,0.5128900949796472,0.0019438355597832802,0.043447933189366905,0.024084940835786994,False,False
H2_BREAKDOWN_INITIATION,RC2_BEAR_MARKET_WEAK_BREADTH,5,225,0.6355555555555555,0.040433732664553516,0.03764517420905078,737,0.5169606512890095,0.0024075012671058715,0.11859490426654606,0.03523767294194491,False,False
H2_BREAKDOWN_INITIATION,RC2_BEAR_MARKET_WEAK_BREADTH,10,225,0.5955555555555555,0.03897225672814731,0.053395240858966964,737,0.5128900949796472,0.0019438355597832802,0.08266546057590829,0.05145140529918368,False,False
H2_BREAKDOWN_INITIATION,RC3_DOWN_DRIFT_HIGH_VOL,5,223,0.6188340807174888,0.03738421063786293,0.028494623655914042,737,0.5169606512890095,0.0024075012671058715,0.10187342942847932,0.02608712238880817,False,False
H2_BREAKDOWN_INITIATION,RC3_DOWN_DRIFT_HIGH_VOL,10,223,0.5605381165919282,0.026434018241147213,0.03796191196872245,737,0.5128900949796472,0.0019438355597832802,0.04764802161228099,0.03601807640893917,False,False
H2_BREAKDOWN_INITIATION,RC4_DOWNTREND_WEAK_BREADTH,5,312,0.5801282051282052,0.028924431975250506,0.015487050117726164,737,0.5169606512890095,0.0024075012671058715,0.0631675538391957,0.013079548850620293,False,False
H2_BREAKDOWN_INITIATION,RC4_DOWNTREND_WEAK_BREADTH,10,312,0.5352564102564102,0.023673558141679953,0.019320623184970076,737,0.5128900949796472,0.0019438355597832802,0.022366315276763027,0.017376787625186796,False,False
H2_BREAKDOWN_INITIATION,RC5_CORRECTION_OR_BEAR_HIGH_VOL,5,347,0.5561959654178674,0.021434609342424728,0.012996389891696714,737,0.5169606512890095,0.0024075012671058715,0.039235314128857945,0.010588888624590842,False,False
H2_BREAKDOWN_INITIATION,RC5_CORRECTION_OR_BEAR_HIGH_VOL,10,347,0.5273775216138329,0.016427120933725482,0.009080902586681483,737,0.5128900949796472,0.0019438355597832802,0.014487426634185674,0.007137067026898203,False,False
H4_ROOM_PCT_GE_10PCT,RC1_DOWNTREND_HIGH_VOL,5,717,0.5341701534170153,0.006801241863818682,0.012148823082763882,852,0.5176056338028169,0.006206365121806279,0.01656451961419847,0.005942457960957603,True,True
H4_ROOM_PCT_GE_10PCT,RC1_DOWNTREND_HIGH_VOL,10,717,0.5076708507670851,-0.004376792014221631,0.003694581280788145,852,0.4988262910798122,-0.0,0.00884455968727288,0.003694581280788145,True,True
H4_ROOM_PCT_GE_10PCT,RC1_DOWNTREND_HIGH_VOL,20,717,0.5355648535564853,0.001151016413169834,0.017951425554382228,852,0.5328638497652582,0.013475657380890349,0.0027010037912270635,0.004475768173491879,True,True
H4_ROOM_PCT_GE_10PCT,RC2_BEAR_MARKET_WEAK_BREADTH,5,668,0.5389221556886228,0.0073676943465542126,0.013013541823473307,852,0.5176056338028169,0.006206365121806279,0.021316521885805906,0.006807176701667028,True,True
H4_ROOM_PCT_GE_10PCT,RC2_BEAR_MARKET_WEAK_BREADTH,10,668,0.5014970059880239,-0.00669993435565152,0.0017418777168864419,852,0.4988262910798122,-0.0,0.0026707149082117465,0.0017418777168864419,True,True
H4_ROOM_PCT_GE_10PCT,RC2_BEAR_MARKET_WEAK_BREADTH,20,668,0.5329341317365269,-0.00010409326673847717,0.014221598877980357,852,0.5328638497652582,0.013475657380890349,7.028197126868196e-05,0.000745941497090008,True,True
H4_ROOM_PCT_GE_10PCT,RC3_DOWN_DRIFT_HIGH_VOL,5,680,0.5323529411764706,0.003775992277996608,0.011387547070559334,852,0.5176056338028169,0.006206365121806279,0.014747307373653706,0.005181181948753055,True,True
H4_ROOM_PCT_GE_10PCT,RC3_DOWN_DRIFT_HIGH_VOL,10,680,0.49558823529411766,-0.014970719556965908,-0.00030750307503069063,852,0.4988262910798122,-0.0,-0.003238055785694527,-0.00030750307503069063,True,False
H4_ROOM_PCT_GE_10PCT,RC3_DOWN_DRIFT_HIGH_VOL,20,680,0.5279411764705882,-0.009002229214517495,0.010805125681586425,852,0.5328638497652582,0.013475657380890349,-0.004922673294669999,-0.002670531699303924,True,True
H4_ROOM_PCT_GE_10PCT,RC4_DOWNTREND_WEAK_BREADTH,5,732,0.5382513661202186,0.006641711460344976,0.012746026384688525,852,0.5176056338028169,0.006206365121806279,0.020645732317401744,0.006539661262882246,True,True
H4_ROOM_PCT_GE_10PCT,RC4_DOWNTREND_WEAK_BREADTH,10,732,0.5136612021857924,-0.004190377215538958,0.00549366409808405,852,0.4988262910798122,-0.0,0.014834911105980175,0.00549366409808405,True,True
H4_ROOM_PCT_GE_10PCT,RC4_DOWNTREND_WEAK_BREADTH,20,732,0.5396174863387978,0.0018391405687883577,0.019254966911856908,852,0.5328638497652582,0.013475657380890349,0.0067536365735395565,0.005779309530966559,True,True
H4_ROOM_PCT_GE_10PCT,RC5_CORRECTION_OR_BEAR_HIGH_VOL,5,754,0.5225464190981433,0.0017271819232350422,0.008669640655818489,852,0.5176056338028169,0.006206365121806279,0.0049407852953263776,0.0024632755340122103,True,True
H4_ROOM_PCT_GE_10PCT,RC5_CORRECTION_OR_BEAR_HIGH_VOL,10,754,0.493368700265252,-0.012443511485191537,-0.0008374447814429864,852,0.4988262910798122,-0.0,-0.005457590814560209,-0.0008374447814429864,True,False
H4_ROOM_PCT_GE_10PCT,RC5_CORRECTION_OR_BEAR_HIGH_VOL,20,754,0.5212201591511937,-0.007441503944966134,0.009469830493105846,852,0.5328638497652582,0.013475657380890349,-0.011643690614064561,-0.004005826887784503,True,True
H4_ROOM_PCT_5_10PCT,RC1_DOWNTREND_HIGH_VOL,5,1575,0.526984126984127,0.0006366605818796396,0.006116623623759532,2544,0.5043238993710691,0.0012151745849114381,0.02266022761305786,0.004901449038848094,True,True
H4_ROOM_PCT_5_10PCT,RC1_DOWNTREND_HIGH_VOL,10,1575,0.48,-0.004057503563256962,-0.004956383822363186,2544,0.4736635220125786,-0.005594449367299137,0.006336477987421374,0.0006380655449359507,True,False
H4_ROOM_PCT_5_10PCT,RC1_DOWNTREND_HIGH_VOL,20,1575,0.5066666666666667,-0.004625948450922679,0.0025316455696202667,2544,0.482311320754717,-0.0061480967568333655,0.02435534591194971,0.008679742326453632,True,True
H4_ROOM_PCT_5_10PCT,RC2_BEAR_MARKET_WEAK_BREADTH,5,1250,0.5584,0.0031027601494173504,0.012024096385542082,2544,0.5043238993710691,0.0012151745849114381,0.05407610062893087,0.010808921800630644,True,True
