symbol,asset_type,cadence,horizon_sessions,replayed_profile_count,native_not_eligible_count,matured_count,not_matured_count,directional_evaluable_count,directional_hit_count,directional_accuracy,mean_forward_return,median_forward_return,bullish_count,bullish_accuracy,bearish_count,bearish_accuracy,neutral_count,source_data_sha256,replay_result_sha256,outcome_sha256
ABT,EQUITY,WEEKLY,20,1136,0,1132,4,931,468,0.5026852846401718,0.00546619322990583,0.00947139130874819,608,0.5460526315789473,323,0.42105263157894735,201,5fff59f165586936500c5232f7c8fd7c731f083863cdab65c10ec88b6cefd9d4,9c21d58a39190b506b5122a838001a620e5926379a961a1466eedecbb6fc123a,fba6ed677eaeccc97eb67504bbea3836f1c42a0db716b32ed1f706d19f52b3b9
ACGL,EQUITY,WEEKLY,5,1136,0,1135,1,939,495,0.5271565495207667,0.0033096638411489075,0.003581141118500719,769,0.552665799739922,170,0.4117647058823529,196,cd6a7c0911ba708d98904b25b66a5a046f6f3dd428deb875aed8c00e297948a1,3bc28d45b64e73d6f1a47cb354eace773f369a8a2deed1c3dcc851f0937e499d,f046cedd3e84ea7b14e686b93a72743d802a9ba7b5b0f5187b70812c12e24ed0
ACGL,EQUITY,WEEKLY,10,1136,0,1134,2,938,493,0.5255863539445629,0.006281295591975732,0.006722140226305129,768,0.55859375,170,0.3764705882352941,196,cd6a7c0911ba708d98904b25b66a5a046f6f3dd428deb875aed8c00e297948a1,3bc28d45b64e73d6f1a47cb354eace773f369a8a2deed1c3dcc851f0937e499d,f046cedd3e84ea7b14e686b93a72743d802a9ba7b5b0f5187b70812c12e24ed0
ACGL,EQUITY,WEEKLY,20,1136,0,1132,4,936,507,0.5416666666666666,0.012743418353964763,0.011903877875002578,766,0.5939947780678851,170,0.3058823529411765,196,cd6a7c0911ba708d98904b25b66a5a046f6f3dd428deb875aed8c00e297948a1,3bc28d45b64e73d6f1a47cb354eace773f369a8a2deed1c3dcc851f0937e499d,f046cedd3e84ea7b14e686b93a72743d802a9ba7b5b0f5187b70812c12e24ed0
ACN,EQUITY,WEEKLY,5,1136,0,1135,1,922,475,0.5151843817787418,0.0022228197063482065,0.003993055555555403,676,0.5473372781065089,246,0.4268292682926829,213,a426689dfa5cc131cb4c913071cb7f98f9138e2412f7d45fb059f6174c580cf4,a53460df9439c2c29fe9e47aaa054318ab93bf8d5592b0024a202f4673e876f3,e1d7e7731fbd5d24225c8a114502d10a40c3a206645000d53eeab633d7dc7520
ACN,EQUITY,WEEKLY,10,1136,0,1134,2,922,492,0.5336225596529284,0.0045262171229280045,0.007942514071606732,676,0.5724852071005917,246,0.4268292682926829,212,a426689dfa5cc131cb4c913071cb7f98f9138e2412f7d45fb059f6174c580cf4,a53460df9439c2c29fe9e47aaa054318ab93bf8d5592b0024a202f4673e876f3,e1d7e7731fbd5d24225c8a114502d10a40c3a206645000d53eeab633d7dc7520
ACN,EQUITY,WEEKLY,20,1136,0,1132,4,922,498,0.5401301518438177,0.00903979011944501,0.015375797688303883,676,0.6005917159763313,246,0.37398373983739835,210,a426689dfa5cc131cb4c913071cb7f98f9138e2412f7d45fb059f6174c580cf4,a53460df9439c2c29fe9e47aaa054318ab93bf8d5592b0024a202f4673e876f3,e1d7e7731fbd5d24225c8a114502d10a40c3a206645000d53eeab633d7dc7520
ADBE,EQUITY,WEEKLY,5,1136,0,1135,1,910,473,0.5197802197802198,0.0028420756420849333,0.002861545234426721,641,0.5335413416536662,269,0.48698884758364314,225,ee6d23cbe58cd60511d126685dd3d282cede60e48411a25ae679fdea9365895e,558e1e81be9f9cf4444eb09160258933a473e79abdc535a19bd0e4fe79ef613c,ec1279d41523fb05d5ded30d58c2003f324f01ddc35906d8a9d1ede709a12b34
ADBE,EQUITY,WEEKLY,10,1136,0,1134,2,910,480,0.5274725274725275,0.005739557877684606,0.01006632651540651,641,0.5694227769110765,269,0.4275092936802974,224,ee6d23cbe58cd60511d126685dd3d282cede60e48411a25ae679fdea9365895e,558e1e81be9f9cf4444eb09160258933a473e79abdc535a19bd0e4fe79ef613c,ec1279d41523fb05d5ded30d58c2003f324f01ddc35906d8a9d1ede709a12b34
ADBE,EQUITY,WEEKLY,20,1136,0,1132,4,910,498,0.5472527472527473,0.010785655516211563,0.015159432247726423,641,0.5881435257410297,269,0.44981412639405205,222,ee6d23cbe58cd60511d126685dd3d282cede60e48411a25ae679fdea9365895e,558e1e81be9f9cf4444eb09160258933a473e79abdc535a19bd0e4fe79ef613c,ec1279d41523fb05d5ded30d58c2003f324f01ddc35906d8a9d1ede709a12b34
