family,runtime,certified,development_scoring_authorized
MF2_MONOTONIC_GAM_DIRECTION,SCIPY_LBFGSB_LINEAR_SPLINE_GAM,True,True
MF3_QUANTILE_LINEAR_RETURN_DISTRIBUTION,SCIPY_POWELL_EXACT_PINBALL_ELASTIC_NET_REFERENCE_SOLVER,True,False
