symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask,gamma,theta,vega,rho,option_symbol
AAPL,1,CALL,280.0,2026-08-21,74.35250079394456,77.03109235262647,0.7830293553390976,67.354,75.4856725562503,100.0,100.0,35.0,-1.0,0.6951432744374971,0.31325551246010347,9622,0,0.0,0.0,0.010347494033516752,-0.13647185786842128,0.3635265781175507,0.0,O:AAPL260821C00280000
AAPL,2,CALL,285.0,2026-09-18,74.09739871674486,76.08617948499067,0.7050051140120028,70.0,81.54389969804221,100.0,100.0,35.0,-1.0,0.634561003019578,0.29135256196315285,36446,0,0.0,0.0,0.009510592979278462,-0.11029585894915024,0.5223557733431733,0.0,O:AAPL260918C00285000
AAPL,3,CALL,290.0,2026-09-18,73.84107755421493,75.6201410076635,0.6630793742240322,70.0,86.38786415480891,100.0,100.0,35.0,-1.0,0.586121358451911,0.2830485397069544,11482,0,0.0,0.0,0.010177089246988742,-0.11027549053774591,0.5303835918569053,0.0,O:AAPL260918C00290000
AAPL,4,CALL,300.0,2026-08-21,73.7965164471886,75.53912081307018,0.5812148435769303,70.0,99.16210827997185,100.0,100.0,35.0,-1.0,0.4583789172002815,0.27712130872696356,17443,0,0.0,0.0,0.013125848925809019,-0.13048195640379326,0.44113591257122353,0.0,O:AAPL260821C00300000
AAPL,5,CALL,295.0,2026-09-18,73.50040959950007,75.00074472636375,0.6157074828656321,70.0,91.48978164695383,100.0,100.0,35.0,-1.0,0.5351021835304617,0.2783973330489516,12294,0,0.0,0.0,0.010642467756290882,-0.11032451019255456,0.5387900703196605,0.0,O:AAPL260918C00295000
AAPL,6,CALL,300.0,2026-09-18,73.13931760252578,74.34421382277415,0.5661459983726467,70.0,96.79349555147314,100.0,100.0,35.0,-1.0,0.48206504448526855,0.2720716384119169,30871,0,0.0,0.0,0.010792437078144434,-0.10608003566726468,0.5475034745453979,0.0,O:AAPL260918C00300000
AAPL,7,CALL,200.0,2026-12-18,72.82208730284248,77.40379509607722,0.9213876702588889,70.0,52.193153142886636,100.0,90.0,35.0,-1.0,0.9280684685711337,0.44421584988450763,10211,0,0.0,0.0,0.0015186315692681334,-0.050258360471718624,0.26765946892928705,0.0,O:AAPL261218C00200000
AAPL,8,CALL,300.0,2026-10-16,72.68342099612624,73.51531090204773,0.55626324963386,70.0,95.05912366677327,100.0,100.0,35.0,-1.0,0.49940876333226736,0.27426473958684566,11919,0,0.0,0.0,0.009215087714627162,-0.09375320604443149,0.6351852170834285,0.0,O:AAPL261016C00300000
AAPL,9,CALL,305.0,2026-09-18,72.1364268841031,72.52077615291472,0.5137396637226948,70.0,97.88475841602771,100.0,100.0,35.0,-1.0,0.42884758416027713,0.27088789960078496,25021,0,0.0,0.0,0.010740890301932088,-0.10360715831828556,0.556245160136114,0.0,O:AAPL260918C00305000
AAPL,10,CALL,250.0,2026-12-18,71.98303257496414,75.87824104538933,0.8087199648301893,70.0,64.11776980872699,100.0,90.0,35.0,-1.0,0.8088223019127302,0.3429035816261228,15521,0,0.0,0.0,0.004004389769683949,-0.07177008579995421,0.600754813263827,0.0,O:AAPL261218C00250000
