symbol,relative_path,sha256,fieldnames,date_candidates,close_candidates
ALB,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ALB.daily.csv.gz,be4c36430b41fe9add73723643d236b80e531ddd80e1ab6fe8a6368eb7d8841f,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ALGN,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ALGN.daily.csv.gz,54b7ddfe7b6838d5a13a0c2ce071c473f04f8f91f9d100cb1210d3a408ff63be,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ALL,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ALL.daily.csv.gz,6598116e9d68d1cd07034a3388e87c1c165349dd9351bddce0f1937eab2b41e6,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ALLE,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ALLE.daily.csv.gz,926fdf5893fe8b80e7ac8a8e3a10f41b26621c123c8bf173ae321c100aab5b06,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ALNY,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ALNY.daily.csv.gz,1f6cd03081097cf13c8af2dd545bbcb12ef1a2e7523ff81a8c32729fd2c67b80,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AMAT,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AMAT.daily.csv.gz,2b0889ed4cdf423dd5f9d823c5655ca624a31d33a66506b029db294f9172df9e,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AMCR,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AMCR.daily.csv.gz,606d5f7645c4eaef3417deb394e458c1bbb952333321d944e0b1e27132a4de06,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AMD,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AMD.daily.csv.gz,b2b1afae6e2a6c045888d7804ee1326de2321d7ef04a98953946e76be4794fbc,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AME,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AME.daily.csv.gz,590ffe7332dd3adc3a430a16afa878fb5c94b4eab938b0d9b6e66a8cb2e5e887,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AMGN,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AMGN.daily.csv.gz,29f7122795aed2be08a5a34fddfb56b196c4ffd64c4187874f664642cebc4115,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AMP,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AMP.daily.csv.gz,ecfae070f257f648b8d406465904a55eaa7dfbc7b7950707fafcca3220650f3a,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AMT,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AMT.daily.csv.gz,2cb0e6387bf09ed6d0f88366342ac0b9f034d6e1ea1b188def95ee427002c76a,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AMZN,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AMZN.daily.csv.gz,86ed5b2318fae28eb4ff56c9be6f333f80080bf27f29bc4264adc2baccddb386,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
ANET,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/ANET.daily.csv.gz,af0fcdcb4735fa1e22a2f6b9cd68bfe8d74902f3a76af1d0129888a2d48e5292,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AON,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AON.daily.csv.gz,408a94f7bce40fb2789baabdf40c08a7c7bafc2d5894107e538e49ec9fd3d5dc,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
AOS,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/AOS.daily.csv.gz,6cd440179807a50e9a58eca3ae49190d1ab0390388165ab4d61fc06ba29f6eab,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
APA,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/APA.daily.csv.gz,d0f1e18b1755932f40e75af6e509ac153794cc5fe8ec634eb64a8ed93391dbe3,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
APD,research_data/m77_19_7_2/symbol_specific_polygon_replay_materialization/daily_bars/APD.daily.csv.gz,83d20f7f828c1d8585ea0a86c27fd0988a920b9e9bd5b9a25e8fb7aead6aac39,session_date|open|high|low|close|volume|vwap|transactions,session_date,close
