symbol,rank,signal,strike,expiry,total_score,option_score,atm_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask,gamma,theta,vega,rho,option_symbol,option_score_contribution,atm_score_contribution,dte_score_contribution,liquidity_contribution,spread_contribution,option_weight,atm_weight,dte_weight,liquidity_weight,spread_weight
AAPL,1,CALL,305.0,2026-09-18,77.53815717053536,71.3453929263384,100.0,0.5142661526243623,70.0,93.09898728545566,100.0,100.0,35.0,-1.0,0.5190101271454434,0.26088681643532363,25059,0,0.0,0.0,0.011053781872442743,-0.10707812379789473,0.5548479696192562,0.0,O:AAPL260918C00305000,28.538157170535364,20.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,2,CALL,310.0,2026-09-18,77.20773070796186,70.51932676990465,100.0,0.46058305547439315,70.0,98.38401820371571,100.0,100.0,35.0,-1.0,0.46615981796284284,0.26344020842198884,15871,0,0.0,0.0,0.010846993863791558,-0.1058820306512853,0.5636881639861585,0.0,O:AAPL260918C00310000,28.20773070796186,20.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,3,CALL,310.0,2026-08-21,77.06669897872104,70.16674744680259,100.0,0.45045267464066663,70.0,98.59456184470372,100.0,100.0,35.0,-1.0,0.43594561844703716,0.2624698803961361,26425,0,0.0,0.0,0.013486224119024205,-0.1274383162902488,0.4532890329127051,0.0,O:AAPL260821C00310000,28.066698978721035,20.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,4,CALL,300.0,2026-08-21,76.24531079357726,73.11327698394317,90.0,0.5912669292130313,70.0,87.85039926168766,100.0,100.0,35.0,-1.0,0.5714960073831236,0.24614051655944064,16482,0,0.0,0.0,0.014374515300914518,-0.12347751324259607,0.43871249509297705,0.0,O:AAPL260821C00300000,29.245310793577268,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,5,CALL,295.0,2026-09-18,76.24314027076501,73.10785067691252,90.0,0.6269693361709198,70.0,82.1163089203029,100.0,100.0,35.0,-1.0,0.628836910796971,0.2529413284960649,12314,0,0.0,0.0,0.010741516558255981,-0.10144411557955389,0.5364812099427437,0.0,O:AAPL260918C00295000,29.24314027076501,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,6,CALL,300.0,2026-09-18,75.83712631168737,72.09281577921844,90.0,0.5658231281558088,70.0,87.83956261194434,100.0,100.0,35.0,-1.0,0.5716043738805565,0.2734185624109362,30666,0,0.0,0.0,0.010397081457532339,-0.11133255781036197,0.5460459579952633,0.0,O:AAPL260918C00300000,28.837126311687378,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,7,CALL,300.0,2026-10-16,75.65347160113036,71.63367900282591,90.0,0.5568944828331239,70.0,87.43159875800382,100.0,100.0,35.0,-1.0,0.5756840124199618,0.2712013189030339,11760,0,0.0,0.0,0.008987930700106363,-0.09661376681946791,0.6342882968947475,0.0,O:AAPL261016C00300000,28.653471601130367,18.0,15.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,8,CALL,280.0,2026-08-21,74.01275008038364,76.43100020095912,75.0,0.87762958443088,66.269,59.03426729489565,100.0,100.0,35.0,-1.0,0.8596573270510435,0.210718355102528,9467,0,0.0,0.0,0.009461805383956499,-0.07367044040433811,0.26890041298577744,0.0,O:AAPL260821C00280000,30.572400080383648,15.0,15.0,9.94035,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,9,CALL,310.0,2027-01-15,73.87454609155384,69.6863652288846,100.0,0.47483209887453215,70.0,92.77232509561327,100.0,80.0,35.0,-1.0,0.5222767490438674,0.25885432041419565,27004,0,0.0,0.0,0.006973052975004327,-0.07068424542042326,0.8842614075309618,0.0,O:AAPL270115C00310000,27.87454609155384,20.0,12.0,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AAPL,10,CALL,300.0,2026-12-18,73.86804455153961,70.92011137884904,90.0,0.5455086973132427,70.0,86.39905394527733,100.0,90.0,35.0,-1.0,0.5860094605472267,0.2683753222685857,26006,0,0.0,0.0,0.007159007775548127,-0.07821971016051035,0.7953227551398433,0.0,O:AAPL261218C00300000,28.36804455153962,18.0,13.5,10.5,3.5,0.4,0.2,0.15,0.15,0.1
AMD,1,CALL,500.0,2026-09-18,66.85976015015689,58.64590037539218,100.0,0.523209993353603,32.676,78.19400256499223,100.0,100.0,35.0,-1.0,0.6680599743500777,0.7501837124230545,4668,0,0.0,0.0,0.0019383549545577818,-0.4681594424138378,0.9317430976490222,0.0,O:AMD260918C00500000,23.458360150156874,20.0,15.0,4.9014,3.5,0.4,0.2,0.15,0.15,0.1
AMD,2,CALL,520.0,2026-08-21,63.33739812356526,54.564995308913126,100.0,0.4720655208507247,20.076,82.65349789953656,100.0,100.0,35.0,-1.0,0.6234650210046345,0.7463300497493752,2868,0,0.0,0.0,0.0025394074769009524,-0.5993538427950058,0.7694245328306084,0.0,O:AMD260821C00520000,21.825998123565252,20.0,15.0,3.0114,3.5,0.4,0.2,0.15,0.15,0.1
AMD,3,CALL,500.0,2026-08-21,62.90265418670933,54.66988546677331,100.0,0.5321674081575787,16.898,76.63475656188066,100.0,100.0,35.0,-1.0,0.6836524343811935,0.6781842645670365,2414,0,0.0,0.0,0.0026473361845487592,-0.5222633737034085,0.7530728103375605,0.0,O:AMD260821C00500000,21.867954186709326,20.0,15.0,2.5347,3.5,0.4,0.2,0.15,0.15,0.1
AMD,4,CALL,500.0,2027-01-15,62.85971814735403,57.308670368385066,100.0,0.515003045899585,29.574999999999996,77.25919412960668,100.0,80.0,35.0,-1.0,0.6774080587039331,0.7276513628133583,4225,0,0.0,0.0,0.0012400019067845486,-0.2900453380609373,1.4380189060143516,0.0,O:AMD270115C00500000,22.92346814735403,20.0,12.0,4.436249999999999,3.5,0.4,0.2,0.15,0.15,0.1
AMD,5,CALL,500.0,2026-12-18,62.64090166509491,55.66550416273728,100.0,0.5160170951361003,22.497999999999998,77.60128142917307,100.0,90.0,35.0,-1.0,0.6739871857082693,0.7361699861940705,3214,0,0.0,0.0,0.0013291170503518515,-0.31630096441397754,1.3403252348591916,0.0,O:AMD261218C00500000,22.26620166509491,20.0,13.5,3.3746999999999994,3.5,0.4,0.2,0.15,0.15,0.1
AMD,6,CALL,530.0,2026-09-18,61.59331148254403,54.713903706360085,90.0,0.4558690065907836,21.384999999999998,84.53157377091496,100.0,100.0,35.0,-1.0,0.6046842622908504,0.7505366055193594,3055,0,0.0,0.0,0.0020665399802166926,-0.4958802918545308,0.9630608087152116,0.0,O:AMD260918C00530000,21.885561482544034,18.0,15.0,3.2077499999999994,3.5,0.4,0.2,0.15,0.15,0.1
AMD,7,CALL,520.0,2026-09-18,61.494183938636404,52.77620984659101,100.0,0.47551849969417215,12.558,82.46387943529649,100.0,100.0,35.0,-1.0,0.625361205647035,0.6794674531122212,1794,0,0.0,0.0,0.002235193614100158,-0.4434976779237905,0.9546407975448399,0.0,O:AMD260918C00520000,21.110483938636406,20.0,15.0,1.8837,3.5,0.4,0.2,0.15,0.15,0.1
