symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask
AAPL,1,CALL,300.0,2027-01-15,74.07122942189139,86.49314440343886,0.85,70.0,99.97257761375545,100.0,60.0,50.0,0.0,0.4502742238624455,0.2762702516101445,66318,0,0.0,0.0
AAPL,2,CALL,330.0,2028-01-21,74.05300766839585,86.4600139425379,0.85,70.0,99.84005577015161,100.0,60.0,50.0,0.0,0.44840055770151616,0.28699028020361095,1926,0,0.0,0.0
AAPL,3,CALL,310.0,2027-06-17,73.98566431106696,86.33757147466719,0.85,70.0,99.35028589866872,100.0,60.0,50.0,0.0,0.45649714101331273,0.27796013715763973,6397,0,0.0,0.0
AAPL,4,CALL,295.0,2026-11-20,73.9798167776479,86.32693959572343,0.85,70.0,99.30775838289372,100.0,60.0,50.0,0.0,0.4569224161710628,0.27746210289517215,1219,0,0.0,0.0
AAPL,5,CALL,282.5,2026-07-01,73.97953806768248,86.3264328503318,0.85,70.0,99.3057314013272,100.0,60.0,50.0,0.0,0.45694268598672805,0.2994673648470826,3507,0,0.0,0.0
AAPL,6,CALL,290.0,2026-09-18,73.9755985940752,86.31927017104582,0.85,70.0,99.27708068418328,100.0,60.0,50.0,0.0,0.4572291931581673,0.27352460992524097,9717,0,0.0,0.0
AAPL,7,CALL,285.0,2026-07-17,73.95391050992242,86.27983729076804,0.85,70.0,99.11934916307219,100.0,60.0,50.0,0.0,0.44119349163072197,0.2587800198232992,10086,0,0.0,0.0
AAPL,8,CALL,300.0,2026-12-18,73.85283070252427,86.0960558227714,0.85,70.0,98.3842232910856,100.0,60.0,50.0,0.0,0.433842232910856,0.2739086279539601,25951,0,0.0,0.0
AAPL,9,CALL,350.0,2028-12-15,73.84729451844507,86.08599003353649,0.85,70.0,98.34396013414593,100.0,60.0,50.0,0.0,0.4665603986585407,0.2914707063876529,3063,0,0.0,0.0
AAPL,10,CALL,282.5,2026-07-02,73.81079871408389,86.01963402560706,0.85,70.0,98.07853610242825,100.0,60.0,50.0,0.0,0.46921463897571747,0.3117329201276931,5624,0,0.0,0.0
AMD,1,CALL,650.0,2026-11-20,74.05111513067482,86.45657296486331,0.85,70.0,99.82629185945326,100.0,60.0,50.0,0.0,0.4482629185945326,0.752737621703942,1663,0,0.0,0.0
AMD,2,CALL,560.0,2026-07-17,73.9814931810725,86.32998760194998,0.85,70.0,99.31995040779992,100.0,60.0,50.0,0.0,0.44319950407799935,0.7020478906602912,1522,0,0.0,0.0
AMD,3,CALL,547.5,2026-07-02,73.97099323149111,86.31089678452928,0.85,70.0,99.24358713811712,100.0,60.0,50.0,0.0,0.4424358713811712,0.8297160809552712,1202,0,0.0,0.0
AMD,4,CALL,800.0,2027-06-17,73.96238016091652,86.29523665621186,0.85,70.0,99.18094662484742,100.0,60.0,50.0,0.0,0.4418094662484743,0.722307587710194,1818,0,0.0,0.0
AMD,5,CALL,600.0,2026-09-18,73.94324812126143,86.26045112956625,0.85,70.0,99.04180451826501,100.0,60.0,50.0,0.0,0.45958195481734987,0.7481056821840043,2592,0,0.0,0.0
