iteration,exact_objective,step_size,delta,elapsed_seconds
1,0.01676796745457048,3.7315925116025443,0.07879652337708806,0.04569779196754098
100,0.01676796745457048,0.019039470981322984,0.007653116131183431,4.0659301249543205
200,0.01676796745457048,0.01456840562066385,0.0048045006817011805,8.00943770899903
300,0.01676796745457048,0.012792857567864286,0.0035845800546314387,11.928345374995843
400,0.01676796745457048,0.011825166897868899,0.002856252163694932,15.856026874971576
500,0.01676796745457048,0.01120393688968635,0.002421848118873922,19.927788458997384
600,0.01676796745457048,0.01076677957072053,0.0020998348359518434,23.896088416920975
700,0.01652230540623429,0.010435141979083065,0.0018747739697515193,27.899869541986845
800,0.016294490108074867,0.010177156122422742,0.0016901463925172004,31.818992874934338
900,0.016134817928178207,0.009965637785383504,0.0015606133296413348,35.77214579191059
1000,0.015941076446435276,0.00979312688253929,0.0013847574183364984,39.719268083921634
1100,0.0158194263630274,0.009655697843579683,0.0012665471132533778,43.63294512499124
1200,0.015713809052495385,0.009539021443101047,0.0011599466843440784,47.56465924996883
1300,0.015593265655324103,0.009447677144867408,0.0010156287530848967,51.649630624917336
1400,0.015504590420900312,0.00937984080868553,0.0009236021773872929,55.73388099996373
1500,0.015480176379569832,0.00931826984575875,0.0008649851543916883,59.769208375015296
1600,0.01541866924100878,0.009264976435742438,0.0007710257381031325,63.74608679197263
1700,0.015373033657093575,0.00922674174920198,0.0007194101219804806,67.806144833914
1800,0.015353850479975537,0.00918448723736164,0.0006557945438171814,71.80567908391822
1900,0.01532750647435857,0.009152981007362707,0.0006051631565979347,75.83966645901091
2000,0.015289551396467729,0.009128984630423808,0.0006693281128268641,79.81008654192556
2100,0.015289551396467729,0.00909626523060551,0.0005759842735381462,83.8410244169645
2200,0.015254863989433876,0.009079419739350834,0.00044246598466097625,87.81634029198904
2300,0.015254863989433876,0.009053694709257676,0.0006338558908832557,91.84659199998714
2400,0.015235752800986189,0.00903193838116173,0.00037476876992979054,95.89914616697934
2500,0.015179379052672203,0.009027933741207276,7.857948090093253e-05,99.96838195901364
2600,0.015175965913847272,0.009027730093314527,1.6328077849447643e-05,103.97385349997785
2700,0.015175560429650311,0.009027617967281583,1.6304572383126714e-05,107.97400316700805
2800,0.015175295384826535,0.009027505914907027,1.634293291484174e-05,112.00440845894627
2900,0.01517511781215709,0.009027394406743059,1.6366105757587738e-05,115.9808769999072
3000,0.015174990212509676,0.009027283557446593,1.6352452310563355e-05,120.01018716697581
