family,horizon,mean_balanced_accuracy,std_balanced_accuracy,min_fold_balanced_accuracy,positive_fold_count,fold_count,mean_gate_ge_0_505,positive_fold_gate_ge_3,minimum_fold_gate_ge_0_495,std_gate_le_0_015,development_advancement_pass,selected_config,fold_balanced_accuracies
MF1_REGULARIZED_LOGISTIC_DIRECTION,5,0.5123160133372373,0.007569184824167237,0.5004931225038496,5,5,True,True,True,True,True,"{""C"": 10.0}","[0.5185513851895548, 0.5096585367546761, 0.5222156222919546, 0.5004931225038496, 0.5106613999461513]"
MF1_REGULARIZED_LOGISTIC_DIRECTION,10,0.5196900822209616,0.01158407483577286,0.4995920470236379,4,5,True,True,True,True,True,"{""C"": 1.0}","[0.5336453546460993, 0.5164957712582106, 0.5273982906380127, 0.4995920470236379, 0.5213189475388472]"
MF1_REGULARIZED_LOGISTIC_DIRECTION,20,0.5192962748935479,0.00965982885826329,0.5013188940807678,5,5,True,True,True,True,True,"{""C"": 0.1}","[0.5269715436600679, 0.5171661607304233, 0.5243617391117303, 0.5013188940807678, 0.5266630368847499]"
MF2_MONOTONIC_GAM_DIRECTION,5,0.5078725419589023,0.008015387423064782,0.49983178419996654,4,5,True,True,True,True,True,"{""l2_penalty"": 0.1, ""spline_knots"": 4}","[0.522341505045458, 0.5102614637698095, 0.5023129600005525, 0.49983178419996654, 0.5046149967787256]"
MF2_MONOTONIC_GAM_DIRECTION,10,0.5108001948443583,0.013734897879598702,0.5002548382275782,5,5,True,True,True,True,True,"{""l2_penalty"": 0.1, ""spline_knots"": 4}","[0.5378909888669525, 0.5065923912274665, 0.5060988957235922, 0.5002548382275782, 0.503163860176202]"
MF2_MONOTONIC_GAM_DIRECTION,20,0.5081019227623719,0.00965556802022401,0.49910609801402883,4,5,True,True,True,True,True,"{""l2_penalty"": 0.1, ""spline_knots"": 4}","[0.5265879830981144, 0.5071477857179124, 0.5055871294133568, 0.49910609801402883, 0.5020806175684468]"
