balanced_accuracy,elapsed_seconds,family,fold_id,horizon,l2_penalty,spline_knots,status,test_count,train_count
0.5352840913125929,11.054230708978139,MF2_MONOTONIC_GAM_DIRECTION,WF1,10,0.1,6,EVALUATED,44758,81262
0.5335184059664168,6.883883790927939,MF2_MONOTONIC_GAM_DIRECTION,WF1,10,1.0,6,EVALUATED,44758,81262
0.5144327105307576,5.843322040978819,MF2_MONOTONIC_GAM_DIRECTION,WF1,10,10.0,6,EVALUATED,44758,81262
0.5350594337289101,13.525090874987654,MF2_MONOTONIC_GAM_DIRECTION,WF1,10,0.1,8,EVALUATED,44758,81262
0.5330819084329832,7.44858824997209,MF2_MONOTONIC_GAM_DIRECTION,WF1,10,1.0,8,EVALUATED,44758,81262
0.5169334583757849,6.241820040973835,MF2_MONOTONIC_GAM_DIRECTION,WF1,10,10.0,8,EVALUATED,44758,81262
0.5065923912274665,25.03805158403702,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,0.1,4,EVALUATED,46806,125561
0.5039895344511554,18.752104665967636,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,1.0,4,EVALUATED,46806,125561
0.5020554839130437,17.430038165999576,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,10.0,4,EVALUATED,46806,125561
0.5065331199891498,27.802540083997883,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,0.1,6,EVALUATED,46806,125561
0.5040649637953414,17.777827583951876,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,1.0,6,EVALUATED,46806,125561
0.5021726844827301,15.878397249965928,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,10.0,6,EVALUATED,46806,125561
0.5067183850611924,28.87115875002928,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,0.1,8,EVALUATED,46806,125561
0.5045642148446772,19.17130124999676,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,1.0,8,EVALUATED,46806,125561
0.502121053278409,16.65727320802398,MF2_MONOTONIC_GAM_DIRECTION,WF2,10,10.0,8,EVALUATED,46806,125561
0.5060988957235922,295.67082191596273,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,0.1,4,EVALUATED,49696,172735
0.5022104070348069,159.84420016699005,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,1.0,4,EVALUATED,49696,172735
0.5007750583269988,134.58568870800082,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,10.0,4,EVALUATED,49696,172735
0.505541542362357,456.5853723329492,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,0.1,6,EVALUATED,49696,172735
0.5023740902919342,184.18454791698605,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,1.0,6,EVALUATED,49696,172735
0.5008976383984979,136.69791800004896,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,10.0,6,EVALUATED,49696,172735
0.5052032998841737,542.9346768750111,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,0.1,8,EVALUATED,49696,172735
0.5022392018124767,228.20135270804167,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,1.0,8,EVALUATED,49696,172735
0.5011075577656929,166.61250079202,MF2_MONOTONIC_GAM_DIRECTION,WF3,10,10.0,8,EVALUATED,49696,172735
0.5002548382275782,597.9062901249854,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,0.1,4,EVALUATED,52691,222375
0.5008294586036917,293.4818578340346,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,1.0,4,EVALUATED,52691,222375
0.5000820243612353,216.53227099997457,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,10.0,4,EVALUATED,52691,222375
0.500567338787171,785.8450254580239,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,0.1,6,EVALUATED,52691,222375
0.5006504164144551,358.34177549998276,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,1.0,6,EVALUATED,52691,222375
0.5001315662583071,214.20459649991244,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,10.0,6,EVALUATED,52691,222375
0.5004947032713678,914.5413358329097,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,0.1,8,EVALUATED,52691,222375
0.5006634257713809,418.5327789169969,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,1.0,8,EVALUATED,52691,222375
0.5002369399486694,243.44299995794427,MF2_MONOTONIC_GAM_DIRECTION,WF4,10,10.0,8,EVALUATED,52691,222375
0.503163860176202,848.0629414999858,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,0.1,4,EVALUATED,25276,274512
0.5003345309335668,461.1243022090057,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,1.0,4,EVALUATED,25276,274512
0.5,409.3752515409142,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,10.0,4,EVALUATED,25276,274512
0.5039205245088973,1941.0562196669634,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,0.1,6,EVALUATED,25276,274512
0.5002880330319418,476.03493520908523,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,1.0,6,EVALUATED,25276,274512
0.5,639.925182459061,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,10.0,6,EVALUATED,25276,274512
0.5045841930383426,1328.4773006660398,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,0.1,8,EVALUATED,25276,274512
0.5005396741251116,587.3409379170043,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,1.0,8,EVALUATED,25276,274512
0.49996726034573075,391.2453077499522,MF2_MONOTONIC_GAM_DIRECTION,WF5,10,10.0,8,EVALUATED,25276,274512
0.5265879830981144,9.423229167005047,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,0.1,4,EVALUATED,44788,80497
0.5292320162310458,6.390870500006713,MF2_MONOTONIC_GAM_DIRECTION,WF1,20,1.0,4,EVALUATED,44788,80497
