family,bin,horizon_sessions,count,accuracy,mean,median,p25,p75,baseline_accuracy,baseline_median,accuracy_delta_vs_all_dev_bearish,median_delta_vs_all_dev_bearish,eligible_for_interpretation
ROOM_PCT,0_2PCT,5,63500,0.4590393700787402,-0.030400447743163684,-0.0031345376770239852,-0.027969328941951366,0.02170824572370289,0.46234231344879195,-0.003041979439649012,-0.0033029433700517696,-9.255823737497337e-05,True
ROOM_PCT,0_2PCT,10,63500,0.4439685039370079,-0.03268733380364578,-0.0064366979260416235,-0.04159519725557459,0.02818104184457726,0.4457184092366902,-0.006643692200314022,-0.0017499052996823306,0.00020699427427239847,True
ROOM_PCT,0_2PCT,20,63500,0.4288818897637795,-0.06493304069837035,-0.011957074200127371,-0.06244886828470131,0.0380156376381775,0.43223487278169764,-0.012117228277804815,-0.003352983017918143,0.0001601540776774435,True
ROOM_PCT,2_5PCT,5,7904,0.46963562753036436,-0.008367244188988288,-0.0033206107296771536,-0.03898658028690427,0.02917321055915323,0.46234231344879195,-0.003041979439649012,0.007293314081572411,-0.0002786312900281418,True
ROOM_PCT,2_5PCT,10,7904,0.4450910931174089,-0.012077313320005683,-0.009257725253660198,-0.05652759084791392,0.038707386363636354,0.4457184092366902,-0.006643692200314022,-0.0006273161192812959,-0.0026140330533461764,True
ROOM_PCT,2_5PCT,20,7904,0.4324392712550607,-0.021818871610822636,-0.017092155251361763,-0.0832188959077178,0.053367217280813284,0.43223487278169764,-0.012117228277804815,0.0002043984733630655,-0.004974926973556948,True
ROOM_PCT,5_10PCT,5,2544,0.5043238993710691,-0.4978706704437673,0.0012151745849114381,-0.04878568385172555,0.04990942434852741,0.46234231344879195,-0.003041979439649012,0.04198158592227719,0.00425715402456045,True
ROOM_PCT,5_10PCT,10,2544,0.4736635220125786,-0.49061610033907666,-0.005594449367299137,-0.07085604360371911,0.06078536847767613,0.4457184092366902,-0.006643692200314022,0.027945112775888403,0.001049242833014885,True
ROOM_PCT,5_10PCT,20,2544,0.482311320754717,-0.4729484044914535,-0.0061480967568333655,-0.09714632665452339,0.08820798514391825,0.43223487278169764,-0.012117228277804815,0.050076447973019356,0.005969131520971449,True
ROOM_PCT,GE_10PCT,5,852,0.5176056338028169,0.0017688010554340898,0.006206365121806279,-0.07024884386698971,0.08831168831168823,0.46234231344879195,-0.003041979439649012,0.055263320354024925,0.00924834456145529,True
ROOM_PCT,GE_10PCT,10,852,0.4988262910798122,-0.008408198069545835,-0.0,-0.10092724679029974,0.12091142962146262,0.4457184092366902,-0.006643692200314022,0.053107881843121985,0.006643692200314022,True
ROOM_PCT,GE_10PCT,20,852,0.5328638497652582,-0.027358685875754112,0.013475657380890349,-0.1237612860603392,0.1582373560340511,0.43223487278169764,-0.012117228277804815,0.1006289769835606,0.025592885658695164,True
ROOM_ATR,0_1ATR,5,69039,0.46091339677573545,-0.04684674839974947,-0.003206062372486107,-0.02969898915991842,0.02309582309582303,0.46234231344879195,-0.003041979439649012,-0.0014289166730565017,-0.00016408293283709519,True
ROOM_ATR,0_1ATR,10,69039,0.4450817653789887,-0.04911617617206607,-0.00678952473326877,-0.04385040821701347,0.030210734277247298,0.4457184092366902,-0.006643692200314022,-0.0006366438577015132,-0.0001458325329547483,True
ROOM_ATR,0_1ATR,20,69039,0.4314807572531468,-0.07885720186192555,-0.012325722368155212,-0.06545392723563426,0.04101096804959459,0.43223487278169764,-0.012117228277804815,-0.0007541155285508694,-0.00020849409035039734,True
ROOM_ATR,1_2ATR,5,4908,0.4834963325183374,-0.0053466000275814276,-0.0011700676332233595,-0.027951979931911675,0.025031820110309688,0.46234231344879195,-0.003041979439649012,0.02115401906954545,0.0018719118064256524,True
ROOM_ATR,1_2ATR,10,4908,0.4545639771801141,-0.007324749217225204,-0.005109078993392302,-0.04378818737270862,0.03251778804144312,0.4457184092366902,-0.006643692200314022,0.008845567943423893,0.00153461320692172,True
ROOM_ATR,1_2ATR,20,4908,0.4400977995110024,-0.015026202138154629,-0.009691533918012807,-0.06501182033096908,0.0426323319027182,0.43223487278169764,-0.012117228277804815,0.007862926729304776,0.0024256943597920078,True
ROOM_ATR,2_3ATR,5,720,0.44305555555555554,-0.0029270242704947436,-0.0031169194828468694,-0.026023890784983017,0.022437137330754475,0.46234231344879195,-0.003041979439649012,-0.019286757893236417,-7.494004319785752e-05,True
ROOM_ATR,2_3ATR,10,720,0.42916666666666664,-0.00046683722081845304,-0.006371299041969536,-0.041615365673479454,0.02589688762176301,0.4457184092366902,-0.006643692200314022,-0.016551742570023564,0.0002723931583444861,True
ROOM_ATR,2_3ATR,20,720,0.4305555555555556,-0.00659662688110157,-0.010831872934539022,-0.06112702960840499,0.038728591266779855,0.43223487278169764,-0.012117228277804815,-0.001679317226142063,0.0012853553432657927,True
ROOM_ATR,GE_3ATR,5,133,0.5413533834586466,0.00723410759442074,0.004086765168186068,-0.017325017325017233,0.03010093727469354,0.46234231344879195,-0.003041979439649012,0.07901107000985463,0.00712874460783508,False
ROOM_ATR,GE_3ATR,10,133,0.5413533834586466,0.0061785990203326365,0.0018847920838731547,-0.029106555302454984,0.040888888888888975,0.4457184092366902,-0.006643692200314022,0.09563497422195638,0.008528484284187177,False
ROOM_ATR,GE_3ATR,20,133,0.556390977443609,0.0039529612261179755,0.008461770927772783,-0.037575757575757596,0.04370860927152309,0.43223487278169764,-0.012117228277804815,0.12415610466191135,0.020578999205577597,False
