symbol,signal,strategy,rank_score,score,confidence,affordability_status,recommended_position_value,option_price_estimate,estimated_contract_cost,recommended_contracts,win_probability,reward_risk,kelly_fraction,expected_return,regime,price,strike,expiry,delta,iv,open_interest
AAPL,CALL,LONG_CALL,106.84153550410215,75.0,A+,OK,5000.0,44.590619720276806,4459.061972027681,1,0.78,2.198400557701516,0.25,1.4947524350071826,BULL_TREND,306.31,330.0,2028-01-21,0.44840055770151616,0.28699028020361095,1926
AMD,CALL,LONG_CALL,98.61171722439656,75.0,A+,OK,5000.0,35.067192834731514,3506.7192834731513,1,0.78,1.892435871381171,0.25,1.2560999796773136,BULL_TREND,510.13,547.5,2026-07-02,0.4424358713811712,0.8297160809552712,1202
