function_name,signature,source_sha256,feature_ids,calls,lineno,end_lineno
main,() -> 'int',3a9a0989fa6570087d9082fcd45281db2eaef6aacf23e13314f541deb792fa7f,"[""F020"", ""F021"", ""F030"", ""F031"", ""F070"", ""F080"", ""F081""]","[""atomic_json"", ""daily_file_map"", ""get_path"", ""iter_jsonl_gz"", ""load_daily_csv"", ""load_json"", ""nearest_distance"", ""prefix_close_on_or_before"", ""relative_strength"", ""resolve"", ""sha256_file"", ""to_float"", ""trailing_52w_location"", ""unique_native_atr_1d"", ""write_jsonl_gz""]",215,458
trailing_52w_location,"(hist: 'list[tuple[str, float]]', as_of: 'str')",6dda86f9c737c33bc313f8d85794a55217eafae54f8e7a87c8880387a554e671,"[""F080"", ""F081""]","[""prefix_close_on_or_before""]",192,202
