symbol,signal,strategy,strike,expiry,confidence,rank_score,win_probability,reward_risk,kelly_fraction,option_price_estimate,contract_cost,iv,requested_allocation,final_allocation,recommended_contracts,status,reason
AAPL,CALL,LONG_CALL,330.0,2028-01-21,A+,106.84153550410215,0.78,2.198400557701516,0.25,44.590619720276806,4459.061972027681,0.28699028020361095,11145.06528604363,4459.061972027681,1,ACCEPTED,OK
AMD,CALL,LONG_CALL,547.5,2026-07-02,A+,98.61171722439656,0.78,1.892435871381171,0.25,35.067192834731514,3506.7192834731513,0.8297160809552712,8854.93471395637,3506.7192834731513,1,ACCEPTED,OK
