step,equity
0,0.0
1,392.7090972764091
2,392.7090972764091
3,484.16311281877427
4,157.27534307791018
5,143.47175587914194
6,143.47175587914194
7,118.90142754158433
8,497.4681670459404
9,703.071458145763
10,703.071458145763
11,539.0936562486644
12,513.5729324919481
13,260.3474069079766
14,260.3474069079766
15,260.3474069079766
16,260.3474069079766
17,260.3474069079766
18,260.3474069079766
19,260.3474069079766
20,260.3474069079766
21,260.3474069079766
22,260.3474069079766
23,260.3474069079766
24,260.3474069079766
25,260.3474069079766
26,260.3474069079766
27,260.3474069079766
28,260.3474069079766
29,260.3474069079766
30,260.3474069079766
31,260.3474069079766
32,260.3474069079766
33,260.3474069079766
34,260.3474069079766
35,260.3474069079766
36,260.3474069079766
37,260.3474069079766
38,241.78452871586984
39,307.79567854440654
40,307.79567854440654
41,276.43419542900955
42,378.02373499916405
43,259.59536820898916
44,259.59536820898916
45,444.2291840304207
46,444.2291840304207
47,784.7151949724754
48,784.7151949724754
49,997.4096183827505
50,997.4096183827505
51,963.9975009915809
52,608.2119942936081
53,608.2119942936081
54,608.2119942936081
55,803.2517093002716
56,803.2517093002716
57,744.4799790594309
58,1397.647030419454
59,1397.647030419454
60,1625.8812366792417
61,1625.8812366792417
62,1491.967607458013
63,1491.967607458013
64,1526.4627246725288
65,1359.9550959936485
66,1359.9550959936485
67,1382.968594518578
68,1305.5046860022676
69,1352.6502092443698
70,1440.4222927959884
71,1005.1522631310027
72,1005.1522631310027
73,1005.1522631310027
74,1005.1522631310027
75,1005.1522631310027
76,1005.1522631310027
77,1005.1522631310027
78,1005.1522631310027
79,1005.1522631310027
80,1005.1522631310027
81,1005.1522631310027
82,1005.1522631310027
83,1005.1522631310027
84,1005.1522631310027
85,1005.1522631310027
86,1005.1522631310027
87,1005.1522631310027
88,1005.1522631310027
89,1005.1522631310027
90,1005.1522631310027
91,1005.1522631310027
92,1005.1522631310027
93,1005.1522631310027
94,1005.1522631310027
95,1005.1522631310027
96,1005.1522631310027
97,1005.1522631310027
98,1005.1522631310027
99,1005.1522631310027
100,1005.1522631310027
101,1005.1522631310027
102,1005.1522631310027
103,1005.1522631310027
104,1005.1522631310027
105,1005.1522631310027
