symbol,row_count,development_row_count,validation_row_count,final_holdout_row_count,nearest_destination_available_count,atr_available_count,materialization_file,materialization_sha256
CNP,265,155,68,42,265,265,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CNP.jsonl.gz,a2058f604df831e66034d1a4b9f6fd972450ca298b0d77e9b5f74d67208df4c9
COF,336,202,94,40,336,336,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/COF.jsonl.gz,977a035e3a0425558e85c8329d6f7457226de6c2ba98145881c884ef9f38a6d5
COHR,211,124,74,13,211,211,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/COHR.jsonl.gz,3de35db7fbbbc5e71796f343cfc393ba4759da140441e2b7c5514ba224d80d20
COIN,88,0,21,67,88,88,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/COIN.jsonl.gz,d61483a9152444055253c265ed03f68777a9c38118589e1c229793bc0a680c52
COO,300,165,67,68,300,300,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/COO.jsonl.gz,3bab0b36949a8d198d941ff516d4a94b4e6474bb49905d5132ec1726d8de2b29
COP,359,210,70,79,359,359,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/COP.jsonl.gz,2913b4a0b5739f737608d97882365cbaa361d05be040a133a73efb7def216c6d
COR,14,0,0,14,14,14,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/COR.jsonl.gz,0ed2d1678919dc1a88651bdba61fc7b05aae8826d5dd0db3d208df90adfdebec
COST,181,123,29,29,181,181,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/COST.jsonl.gz,76af85e807d5d9fb51f53914e0358f1e7909fd1205881c897400e880b0a50862
CPAY,25,0,0,25,25,25,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CPAY.jsonl.gz,f68f6dd33e6f189c313ddca383e6acdd6dd462e21d5634c5e86dfce5384ca069
CPRT,248,128,54,66,248,248,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CPRT.jsonl.gz,bdda9de053d1baca583d9bbf7c00c050b10535e86b741d4f7ce387bda9f9ea86
CPT,297,152,67,78,297,297,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CPT.jsonl.gz,02d52f8ee4dd9eb7b9ea4ee401062d44222065528f1ff8aad377026c190d08d3
CRH,28,0,0,28,28,28,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CRH.jsonl.gz,a23e822205fcf530ce9ce3e8c42e25c2d17f4c43e05cff070ccc886ae37e8283
CRL,304,146,70,88,304,304,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CRL.jsonl.gz,0444ceaf8d8c781d916ed9506f7f9b2a66f322d6f9c175553fb6b2e9ed8c9a33
CRM,242,104,69,69,242,242,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CRM.jsonl.gz,b10fa2ccfe4550869d2e26046409d252c64e177dd3030609d11cdaee427af90c
CRWD,66,0,37,29,66,66,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CRWD.jsonl.gz,f91889ce57ae34662b37670b7f2783cc872fa0e33e22f0cd6fbd359d163d1634
CRWV,6,0,0,6,6,6,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CRWV.jsonl.gz,aa4b7ebbfc25eedfcd93926f2c32dd992c8d0636f98820eadcb96ffd212c2c3e
CSCO,315,207,74,34,315,315,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CSCO.jsonl.gz,ac2fbc1f6d4749a33a83260e23ef4ded41a8fd0283babf9648c852b35d5c2ffd
CSGP,295,152,57,86,295,295,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CSGP.jsonl.gz,de6ce7bcb57e553fa24b3554844e1095bee89e4b3a1eb999e4d64099ee7b385b
CSX,223,125,45,53,223,223,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CSX.jsonl.gz,6388d7702097124abf8dc60830976ed5a7b7ff4e1d95f00915287ee987e19204
CTAS,244,177,35,32,244,244,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CTAS.jsonl.gz,4fe8858f9f71cfacf7126ecb6a3473208858dc0fadfca8df5d83e3467d81bc0d
CTSH,336,172,100,64,336,336,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CTSH.jsonl.gz,01e9a7c2a7f324fe90b9dd9e6b87a13aec38c4d066c466e4d7729156e3058a9d
CTVA,66,0,14,52,66,66,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CTVA.jsonl.gz,23f684bfe36a3a6afc6208abd961068a02e20e38919221336084e625a028cc48
CVNA,116,0,79,37,116,116,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CVNA.jsonl.gz,e90d499ef98b62cd1efcea9c9e0d209117ea97a2d87e29da3ac5e39757f17273
CVS,331,164,86,81,330,331,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CVS.jsonl.gz,4b238d68d54a980dbc973e3392018acf3c702b3a0868556724cb64f7f07ffc79
CVX,312,172,78,62,312,312,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/CVX.jsonl.gz,66ee0cb8f83dc5ebca58bc4a78ad19bd98bd4dbf42d3adb8b38526c3cd85a380
D,271,118,90,63,271,271,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/D.jsonl.gz,1cca0a607fe53d9c0b1769cfaa30ff4ce34ba82d3aea2d38517e079cf0cc983e
DAL,297,174,87,36,296,297,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DAL.jsonl.gz,06454e67ea90a9e8979daecbd846f07c863381d8e5f4e5dec09ade3dd5b4ab75
DASH,79,0,33,46,79,79,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DASH.jsonl.gz,08da9103751e0ca085e3d2cb4083bb5938e1625982020d70621a9330b65c9593
DBA,439,308,101,30,438,439,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DBA.jsonl.gz,2ae9b4aa44b03ec06b04a855920b8a034796f27ce78855103784306aa9751e72
DD,250,180,38,32,250,250,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DD.jsonl.gz,9fd2f9dc2fd3fdd782b66e4c49aa49016493d5a7cc259c0de44662ff5ae20582
DDOG,103,0,47,56,103,103,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DDOG.jsonl.gz,c0188e845af4db42d22a9656419edfb70905901a2c56296ba4a9ec9122312ada
DE,252,157,49,46,252,252,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DE.jsonl.gz,c4cfb1695c72a947065b31137fb94bfe9285c0a73fd61d5b9a2a1ea253600d6f
DECK,293,200,40,53,293,293,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DECK.jsonl.gz,7ed510b177db39c5c4f195b04cc35f308b46dccb6283edd3bcd0439b709fe884
DELL,72,0,35,37,72,72,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DELL.jsonl.gz,44b60771b370714e821ec4f36aa556147c1091710178148a2d246592f8bee991
DG,200,79,22,99,200,200,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DG.jsonl.gz,4a187cc15f9e2da1aaf7b1cf3989391c2e9aedd49bd77b87255031b5c0c99ca1
DGX,269,171,59,39,269,269,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DGX.jsonl.gz,1dbe739c09a06e4f3f827b48fb22281912d51de4a88c228cd78422f59bf69f8c
DHI,342,214,68,60,342,342,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DHI.jsonl.gz,13db929fd7e1931d27738f9b25755b9715ffdb99032e833661d430b984b138c2
DHR,207,91,29,87,207,207,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DHR.jsonl.gz,e0be3eac37fd713c4058dc9df693038598bc9b22ac7a9f130859ee9055d2cff5
DIA,169,110,44,15,169,169,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DIA.jsonl.gz,97692626d347405f0ef6c5c5826d16a5b09fb2dc70a6044e65190fe6c6802d5a
DIS,325,157,84,84,325,325,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DIS.jsonl.gz,62d4954f507b652b0e18bf16ddc7a49381622073c09cd0223c52253a9266597e
DLR,248,124,84,40,248,248,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DLR.jsonl.gz,11bbe44c523dc8c0f88186d65069460c6569554c7975b3a8084190f8156839e7
DLTR,303,138,89,76,303,303,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DLTR.jsonl.gz,56f92f67bfbebe12ab34355ef647d44aa521a81ba1a2e705eeea128f5edb5654
DOC,30,0,0,30,30,30,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DOC.jsonl.gz,8677fdec5cfdfb1720069762801880f4cb0c5d2ccc89668aae3c15e800a756bb
DOV,274,174,67,33,274,274,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DOV.jsonl.gz,2c8a918c8868b38d6b77be6a0a4e95f86ccb473ee2f3714149ead4668470bddd
DOW,127,0,35,92,126,127,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DOW.jsonl.gz,f1f340371e61160077f96896809e5477dd002348bf38b249bdecb3d74dfcdd15
DPZ,274,128,65,81,274,274,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DPZ.jsonl.gz,76124ec229661bce0db6d8d6186323336f290112a17a087741c3b43cfb9ebd3e
DRI,276,174,60,42,276,276,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DRI.jsonl.gz,9bc84071388c1defe365aec0ccf8f47938d21f7a0f0f8847b41362bb8fd7db97
DTE,258,139,71,48,258,258,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DTE.jsonl.gz,87b60acca049f5194975345c3da11b09fdfed95f5df2365acdb768d358d7a2b7
DUK,284,165,69,50,281,284,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DUK.jsonl.gz,52b8f76c5ae85141b7690f8bf2351f9aad1fd531ece69b8d900d4a37f0d0b518
DVA,288,162,80,46,288,288,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DVA.jsonl.gz,de42394858762f4b7e763295a39841421624a45b810aa9801046de3ad009b652
DVN,410,222,86,102,408,410,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DVN.jsonl.gz,d80818554eb0089bde6574ed47f786731a444ed12ceff0b0ac129ad7e4d5621f
DXCM,285,166,50,69,285,285,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/DXCM.jsonl.gz,50cccc2388b9aa8c8537b5ee6258acd3c3ffb193a845f56311bfd3b2d1f433cb
EA,139,20,85,34,139,139,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EA.jsonl.gz,a0e282215836d4ff3267f6e19671403a5f9881e7ccc63b8d68991affffc6109e
EBAY,325,190,97,38,325,325,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EBAY.jsonl.gz,db44a34251f314339db40fdf166250a166aa343a2a4cdd9f52f8d1aa2b0e477f
ECL,203,115,57,31,203,203,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ECL.jsonl.gz,20921a23f58418db07d1c22d188d1202f0c5e3b45cb8cd05946e647c8db0265f
ED,313,173,89,51,313,313,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ED.jsonl.gz,330af041521c3a3d46b19731855592324383bad3bd16f66b70b879c2483677b3
EEM,351,202,112,37,351,351,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EEM.jsonl.gz,e8fa686ff99688142a4f054d7159d6e69a8741f1489f7f7b5a1bf26b492ea15e
EFA,294,193,81,20,294,294,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EFA.jsonl.gz,c67f74f2b0a6c04222bcafbd7eb39308567fb3a6ecd8dbe3d95c71af50c7afed
EFX,296,142,71,83,296,296,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EFX.jsonl.gz,def1e76958cfb4cbe1a1257efec4ca4f37a237316aab6e3f0acc86fd229f5dfc
EG,55,0,0,55,55,55,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EG.jsonl.gz,4c16128e925cd2200e76c9ec4841aedef065681db7290735016d6e14c42ebac2
EIX,300,157,107,36,300,300,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EIX.jsonl.gz,ceb6f858a4f7336d6ea7d53fbc3ff6b75ddf87dcebfc693d28fcf724027a29ee
EL,303,143,55,105,303,303,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EL.jsonl.gz,236bb9dd29c6c0aceed1fe440a7a5921c10d01488160664bb4e6fade9a4679a8
ELV,58,0,0,58,58,58,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ELV.jsonl.gz,fae156c0daa192fcfffc3591a3881f0909205ff7ed9ef921e55fe001237d5bd9
EME,212,132,66,14,212,212,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EME.jsonl.gz,c9412a4e6876237e662c2bee8d20977116d2e3aad131f87848931200ebf31f11
EMR,276,178,60,38,276,276,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EMR.jsonl.gz,54a29babb263d268a9b915a61e605221134d6b601d7663eb15920eb5b89ef98c
EOG,348,192,88,68,347,348,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EOG.jsonl.gz,f15aff31755027370a1ec6ce9996d74c433cb28bc603f2c2dcdc02ba27cbfedb
EQIX,241,117,77,47,241,241,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EQIX.jsonl.gz,f4e959e2dc1fffc845c92a7db009ca80d66f6e90245f4a77ae39853a1fd9a685
EQR,347,196,82,69,347,347,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EQR.jsonl.gz,4464b231c24e3cd2a00eeaf374f1f42157ed98aa90af802f5efa9f35048a0156
EQT,335,181,101,53,335,335,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EQT.jsonl.gz,274af700ed3d205281532c09f9ee97c0f2eb3bc98a1aee878b3258b9ad9b555d
ERIE,358,166,96,96,358,358,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ERIE.jsonl.gz,ae1f4be8601db18f84ed91da273ea8c49dcaf26902379de680fd21bd20dca04c
ES,247,114,62,71,247,247,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ES.jsonl.gz,1d7d4fce94b574e3b81b95ae2cde1850193d663a8130eac301e8a4fd7a074ffd
ESS,284,135,83,66,284,284,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ESS.jsonl.gz,4b4b956a761fd686cd3c168776f1367aa1a0300882ee9298f59af6eb7214a22b
ETHA,33,0,0,33,33,33,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ETHA.jsonl.gz,898906b565a7860a6581e4dce443eab249c6176f2ffe00258d43141eb5d31129
ETN,250,166,59,25,250,250,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ETN.jsonl.gz,d0436d4d2e0dc83ac8c47bef79f8447785e6dfe7fd5bc5042c562634a910b804
ETR,349,247,61,41,349,349,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ETR.jsonl.gz,9dc662d8d196e6e7990c17888c233946d8c6651d14f757e8cde96636d80cc8cb
EVRG,94,0,50,44,94,94,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EVRG.jsonl.gz,d75e8c16b35a1af20e5c31a69b4fc2e7f8f5735a4bc16bec6fa43244f9885e7e
EW,230,119,48,63,230,230,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EW.jsonl.gz,a3e23b0e55018d732c8531dae8373939e8c4661301b6ce38ee039983d5be1afb
EWJ,318,206,93,19,318,318,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EWJ.jsonl.gz,5a01009d37d7a86b7eb7cca706bc78f132c37a11935ace83298a24cbe2bb33bb
EWZ,384,222,98,64,383,384,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EWZ.jsonl.gz,c5bfb9c72edf81fdbe661791b7ea9c6ef5082cd9af47429c12fc16f501fd41b5
EXC,389,251,73,65,389,389,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EXC.jsonl.gz,a1692cdc56d9e0af33d62ef9c0bf7dcafbf8e681ccc362d24a10c8921226b437
EXE,21,0,0,21,21,21,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EXE.jsonl.gz,1785bc8e970c867b853d222258a0b2d40d3af6100f5bff5e844133c979f6bca3
EXPD,278,191,55,32,278,278,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EXPD.jsonl.gz,20a155f114360cd24d55aa4fa8b43223d7936f05f291c32538c221bf939f4e07
EXPE,179,47,85,47,179,179,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EXPE.jsonl.gz,3c533cb77df3cb904006d66a5161a4358eebe80cc115992e17fc2828c1d0e83e
EXR,254,120,55,79,254,254,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/EXR.jsonl.gz,dcc3acf00396041c8661f158059e78e8916fd407ab6087795c786dfdb09f98e8
F,489,299,111,79,488,489,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/F.jsonl.gz,463c25de8dfa1136e514631a4c2f995161eb7e984bed9f92b093d9552865bc85
FANG,185,42,90,53,185,185,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FANG.jsonl.gz,30e26c3c96ec287cbb5287a071fcafc4bc1e6835762b37d4acb51d5926334570
FAST,282,200,56,26,282,282,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FAST.jsonl.gz,65493ec2da09e7f6cdd7a8858e814880985db1492be67b1f2cef07f2ec1c26cb
FBTC,37,0,0,37,37,37,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FBTC.jsonl.gz,ffe90e4d225d90c0af25a759f7aca1cb72c01a87548002580600aa5068a244ba
FCX,380,248,82,50,380,380,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FCX.jsonl.gz,de58f9a9f0d1252487b287c951f2c8a0141669ea1ca290d55ffe8f19dbb47df6
FDS,285,168,42,75,285,285,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FDS.jsonl.gz,bba6f7860d8bc046f60a8ba494727395649d1b52d4e0f4796f5bbce0617ec163
FDX,324,167,111,46,324,324,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FDX.jsonl.gz,f24f1b37d79e8f0668ffb50b41f5b219d31e2f85779d1af35677a0544ead3fd4
FE,369,268,50,51,369,369,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FE.jsonl.gz,873510d62511938eb0eef9152fe2e1615e56b60673cb440fe8148ef6d2ab84e5
FER,6,0,0,6,6,6,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FER.jsonl.gz,0805ecb183ba725dc88219057523ee11cbb6568a3631a1746103a13e82ef2ddd
FFIV,339,204,100,35,339,339,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FFIV.jsonl.gz,0bf71782d788ff7f7b504b81ed73622e782cd3822072ddb949ccf0dd48393af5
FICO,148,53,52,43,148,148,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FICO.jsonl.gz,5db5a6a906b02e263b3c06c3abce1a6e7ece7640ae2fb6ac579c60779b93056d
FIS,274,113,71,90,274,274,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FIS.jsonl.gz,7d6ae8df2185e75484caedff2fa8bb567d34bd39dacf1c36864b475de6c04cd6
FISV,153,87,66,0,153,153,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FISV.jsonl.gz,8afcb90cd52faba3008365cad44f37fa32140f2d5de73e1e944192879d15035a
FITB,357,237,85,35,355,357,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FITB.jsonl.gz,d82d9bace7e5cdb1c6e519571141c5718f04cc69752a3f30938529ca7d7f37d3
FIX,229,173,47,9,229,229,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FIX.jsonl.gz,98c334c5946c0797a4c7d8c2608aface4e88bf425a5603f2b009ef688e511241
FLEX,332,229,88,15,332,332,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FLEX.jsonl.gz,940ddf33c7f7eff68d4136bec097bc706e5fb54f48caf92335a62fb58c0221f9
FOX,109,0,55,54,109,109,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FOX.jsonl.gz,4c018ad0e0b98c09ee6e8b1a9952e42f571ee9298fbe965f892063ea2f1a30cb
FOXA,98,0,51,47,98,98,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FOXA.jsonl.gz,a0b963c44ed795c9733f496529f94ab6868255d71dc345d2c86023e597035472
FRT,316,148,102,66,316,316,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FRT.jsonl.gz,3b28dda50b2ec83bc7b41ffc03acec114f62f665c0f6cbd416196f81f72973a4
FSLR,353,208,85,60,353,353,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FSLR.jsonl.gz,b71ab74ae62accfd58d85ab0fb09904de9d0e33c3115bbb114ee2364e4dc82e2
FTNT,195,86,53,56,195,195,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FTNT.jsonl.gz,09736321ddd43bf8c6c80fe54be918f939fa9867510e94ead83cf12d29a2030e
FTV,141,0,90,51,141,141,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FTV.jsonl.gz,f4258a157179b3016e9cc1a5d391cb28f4a32aced7006fc5553fe073621fe8bb
FXI,368,181,123,64,368,368,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/FXI.jsonl.gz,eaa963008fad48243c85258f82562b329052092b712d02e821665b457106dc88
GD,228,114,81,33,228,228,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/GD.jsonl.gz,1c021efc16de0ad91e63584a8fdf7133c2904b08241e24e57b0f9718bd4a90df
GDDY,147,4,69,74,147,147,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/GDDY.jsonl.gz,9ee6ca71c2476f3eeea14414c4d0522f89f131458a2b723726648741d5240c95
GDX,372,227,100,45,372,372,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/GDX.jsonl.gz,1e73a523fc68d0377c5f015f3ea2f0fc440bd1819ccce9216ea90db8db633e67
GDXJ,354,201,104,49,354,354,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/GDXJ.jsonl.gz,926e283a907a3afe55d88c73d17e6e669aa02b0144024778ff9fe4f9d11cf33a
GE,360,224,124,12,360,360,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/GE.jsonl.gz,9045b0fc2d51fc32b5cdd186bc796b7750924d3bfc7bf5b1bceac855b167a9ca
GEHC,56,0,0,56,56,56,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/GEHC.jsonl.gz,5cf5fc61cb8d449d5c247f3724e96605817fba6e3d5e0a4d68a3a3c0ec4502d0
