symbol,row_count,development_row_count,validation_row_count,final_holdout_row_count,nearest_destination_available_count,atr_available_count,materialization_file,materialization_sha256
ALLE,158,20,81,57,158,158,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ALLE.jsonl.gz,ded24616d6fd68d3498aea09681884f35bedc5fcb75ff21edeac37922681be8c
ALNY,372,211,75,86,372,372,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ALNY.jsonl.gz,9dc5f5b2dc3f7acb8b1a47e2f6a6e0d73eca66efc2fd313598d591f12963a9ae
AMAT,320,210,76,34,320,320,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AMAT.jsonl.gz,871430e2cfe15eee8256a517eb1e7e620098534a9b04dd128fe03e1ce000ed23
AMCR,124,0,19,105,123,124,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AMCR.jsonl.gz,f40d7ed455d132e480d68bddc9da83a58a2c4ec2d081115005972e8ed90d3c27
AMD,385,285,59,41,385,385,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AMD.jsonl.gz,5c596801068b3c3c000c051479c50e5808a843317462deae551fa0d979146009
AME,166,101,47,18,166,166,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AME.jsonl.gz,7d11e141845d172ac7de8185998439f98c79456839f02b6f41f5acc465f8c65f
AMGN,303,185,66,52,303,303,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AMGN.jsonl.gz,766d403e5de3bdad7595c4ac955503af2145599efd8801610cfff7f65c15beaf
AMP,242,138,60,44,242,242,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AMP.jsonl.gz,62f380676e464619adb127493d9fc296009941e6e3c8872e3ff3651aa31b2b59
AMT,271,104,64,103,271,271,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AMT.jsonl.gz,2b46108a891de7cbb799b882185db3112ec6e220cb5d8675ae7132fca59764a3
AMZN,212,115,71,26,211,212,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AMZN.jsonl.gz,8be44bb27cd0cbec2683ea945fb47b3a8dff519f0e5d274f6ca1e2f7f716571f
ANET,104,22,64,18,104,104,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/ANET.jsonl.gz,95c8b161705289c900c66a25d1da0137c6e82c8f58911bcb2fd65031068ac255
AON,131,43,32,56,131,131,/Users/vinay.hatti/TradingPlatform/research_data/m77_19_7_4_10/h4_point_in_time_structural_downside_room/AON.jsonl.gz,7c405dc8a8f33d260b8f1b4125c42f1769ab66739f17363445df797f86f74f35
