symbol,asset_type,cadence,status,replay_start,replay_end,observation_count,replayed_profile_count,native_not_eligible_count,source_data_sha256,result_sha256,resumed,blockers
AXON,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AXON 2022-04-01: native profile missing direction/score/confidence
AXP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AXP 2004-11-19: native profile missing direction/score/confidence
AZO,,WEEKLY,REPLAY_FAILED,,,,,,,,False,AZO 2004-11-19: native profile missing direction/score/confidence
BA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BA 2004-11-19: native profile missing direction/score/confidence
BAC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BAC 2004-11-19: native profile missing direction/score/confidence
BALL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BALL 2023-07-21: native profile missing direction/score/confidence
BAX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BAX 2004-11-19: native profile missing direction/score/confidence
BBY,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BBY 2004-11-19: native profile missing direction/score/confidence
BDX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BDX 2004-11-19: native profile missing direction/score/confidence
BEN,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BEN 2004-11-19: native profile missing direction/score/confidence
BF.B,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BF.B 2004-11-19: native profile missing direction/score/confidence
BG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BG 2004-11-19: native profile missing direction/score/confidence
BIIB,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BIIB 2005-01-28: native profile missing direction/score/confidence
BITO,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BITO 2022-12-30: native profile missing direction/score/confidence
BKNG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BKNG 2019-05-10: native profile missing direction/score/confidence
BKR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BKR 2020-12-24: native profile missing direction/score/confidence
BLDR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BLDR 2006-09-01: native profile missing direction/score/confidence
BLK,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BLK 2004-11-19: native profile missing direction/score/confidence
BMY,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BMY 2004-11-19: native profile missing direction/score/confidence
BND,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BND 2008-06-20: native profile missing direction/score/confidence
BR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BR 2008-06-13: native profile missing direction/score/confidence
BRK.B,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BRK.B 2004-11-19: native profile missing direction/score/confidence
BRO,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BRO 2004-11-19: native profile missing direction/score/confidence
BSX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BSX 2004-11-19: native profile missing direction/score/confidence
BX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BX 2008-08-29: native profile missing direction/score/confidence
BXP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,BXP 2004-11-19: native profile missing direction/score/confidence
C,,WEEKLY,REPLAY_FAILED,,,,,,,,False,C 2004-11-19: native profile missing direction/score/confidence
CAH,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CAH 2004-11-19: native profile missing direction/score/confidence
CARR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CARR 2021-06-11: native profile missing direction/score/confidence
CASY,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CASY 2004-11-19: native profile missing direction/score/confidence
CAT,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CAT 2004-11-19: native profile missing direction/score/confidence
CB,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CB 2004-11-19: native profile missing direction/score/confidence
CBOE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CBOE 2011-08-19: native profile missing direction/score/confidence
CBRE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CBRE 2019-05-31: native profile missing direction/score/confidence
CCEP,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CCEP 2020-01-17: native profile missing direction/score/confidence
CCI,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CCI 2004-11-19: native profile missing direction/score/confidence
CCL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CCL 2004-11-19: native profile missing direction/score/confidence
CDNS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CDNS 2007-01-19: native profile missing direction/score/confidence
CDW,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CDW 2014-09-05: native profile missing direction/score/confidence
CEG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CEG 2023-04-14: native profile missing direction/score/confidence
CF,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CF 2006-10-20: native profile missing direction/score/confidence
CFG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CFG 2015-12-04: native profile missing direction/score/confidence
CHD,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CHD 2004-11-19: native profile missing direction/score/confidence
CHRW,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CHRW 2007-01-26: native profile missing direction/score/confidence
CHTR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CHTR 2004-11-19: native profile missing direction/score/confidence
CI,,WEEKLY,REPLAY_FAILED,,,,,,,,False,CI 2004-11-19: native profile missing direction/score/confidence
