candidate_id,era,year,horizon_sessions,count,accuracy,median,mean,baseline_accuracy,baseline_median,accuracy_delta_vs_year_bearish,median_delta_vs_year_bearish,symbol_count
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2004,5,4,0.75,0.013516452935049661,0.012701184901146328,0.417910447761194,-0.006358087487283726,0.332089552238806,0.019874540422333387,4
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2004,10,4,0.75,0.0059811500168324705,0.005957403510901932,0.38308457711442784,-0.012086179716237488,0.36691542288557216,0.01806732973306996,4
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2005,5,34,0.35294117647058826,-0.013827153313781038,-0.013118225956680264,0.4493806065783853,-0.002971794244721493,-0.09643943010779704,-0.010855359069059545,31
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2005,10,34,0.35294117647058826,-0.015343930124964489,-0.016813236749627262,0.43827424177701835,-0.005919048858092024,-0.08533306530643009,-0.009424881266872465,31
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2006,5,31,0.3548387096774194,-0.007172413793103294,-0.0061506712138819876,0.4711804681600805,-0.0015491866769945517,-0.11634175848266115,-0.005623227116108742,29
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2006,10,31,0.3548387096774194,-0.033554817275747384,-0.01736624842600212,0.43443241882708283,-0.006559031281533789,-0.07959370914966346,-0.026995785994213595,29
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2007,5,36,0.3888888888888889,-0.005033004398218521,-0.0008988229156562974,0.49382011789313557,-0.0004444444444444695,-0.10493122900424667,-0.004588559953774052,35
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2007,10,36,0.5277777777777778,0.011319489138906291,0.004765604654950743,0.5000950751093364,7.299270072991249e-05,0.027682702668441417,0.011246496438176379,35
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2008,5,174,0.5862068965517241,0.020723635066183688,0.038455365639639784,0.5315209157478327,0.004704652378463181,0.05468598080389142,0.016018982687720507,141
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2008,10,174,0.6609195402298851,0.045423023578363475,0.051222381123231436,0.5263866677889066,0.0054044630404463945,0.13453287244097845,0.04001856053791708,141
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2009,5,143,0.5314685314685315,0.005171299288946329,0.006516795267936917,0.4631386253952405,-0.005059324612108229,0.06832990607329098,0.010230623901054559,118
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2009,10,143,0.4195804195804196,-0.017445241325838357,-0.013073234627481004,0.3979031452820769,-0.021205748335085817,0.021677274298342708,0.00376050700924746,118
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2010,5,35,0.5428571428571428,0.005145797598627766,0.004474122349346477,0.4202037351443124,-0.007949036350016647,0.1226534077128304,0.013094833948644413,31
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2010,10,35,0.4857142857142857,-0.002058319039451195,0.0004051925069448911,0.36969439728353143,-0.016687624493405884,0.11601988843075428,0.014629305453954689,31
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2011,5,58,0.4827586206896552,-0.005740018350888443,-0.007812279101733934,0.4440830235439901,-0.0059445282070612615,0.0386755971456651,0.0002045098561728187,53
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2011,10,58,0.39655172413793105,-0.016281135620121123,-0.015259732042338173,0.43215613382899626,-0.011492126683371184,-0.03560440969106521,-0.004789008936749939,53
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2012,5,35,0.4857142857142857,-0.00023419203747065964,0.007911911902767027,0.42285017279934944,-0.005934718100890191,0.06286411291493627,0.005700526063419531,32
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2012,10,35,0.5714285714285714,0.010602847621932754,0.012346718512051697,0.4340313071762553,-0.007326695472477995,0.13739726425231608,0.01792954309441075,32
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2013,5,22,0.6818181818181818,0.007844583126443705,0.01885792991979535,0.42500769941484445,-0.004594998931395589,0.2568104824033373,0.012439582057839293,16
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2013,10,22,0.8181818181818182,0.028301558283276684,0.04161002521131307,0.4102248229134586,-0.00803374171520388,0.40795699526835966,0.036335299998480564,16
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2014,5,33,0.5757575757575758,0.003731624575951775,-0.0013779325316595843,0.400287631831256,-0.0058961248440366765,0.17546994392631982,0.009627749419988452,24
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2014,10,33,0.6666666666666666,0.012487611496531215,0.000635921889899959,0.40004793863854266,-0.011168508952920764,0.266618728028124,0.02365612044945198,24
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2015,5,64,0.390625,-0.010169057946389781,-0.0016414838870649484,0.4906311637080868,-0.0006409541166114696,-0.10000616370808679,-0.009528103829778312,50
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2015,10,64,0.375,-0.013263635665364482,-0.01413662142898409,0.5129437869822485,0.0011422979238995823,-0.13794378698224852,-0.014405933589264064,50
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2016,5,51,0.5882352941176471,0.0033270950301518276,0.00011705139904086336,0.42950108459869846,-0.00567408079891063,0.15873420951894862,0.009001175829062458,42
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2016,10,51,0.47058823529411764,-0.0046403712296985145,-0.002517944007693399,0.3686189443239335,-0.01616745223252747,0.10196929097018415,0.011527081002828954,42
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2017,5,17,0.5882352941176471,0.003917179630665957,0.013144092003632124,0.4462040055891942,-0.0030076249172167335,0.14203128852845287,0.00692480454788269,15
H2_BREAKDOWN_INITIATION,DEVELOPMENT,2017,10,17,0.5882352941176471,0.01343684681994639,0.023818150286910728,0.42990218910107125,-0.005178273572434722,0.15833310501657583,0.018615120392381113,15
H2_BREAKDOWN_INITIATION,VALIDATION,2018,5,72,0.4305555555555556,-0.0035043381638777404,0.005754956995261851,0.4560814591026071,-0.0030593514174994674,-0.02552590354705153,-0.00044498674637827307,64
H2_BREAKDOWN_INITIATION,VALIDATION,2018,10,72,0.4444444444444444,-0.005541966033253742,-0.0006122229064272097,0.449367796799821,-0.00473273942093555,-0.0049233523553765535,-0.0008092266123181924,64
H2_BREAKDOWN_INITIATION,VALIDATION,2019,5,30,0.5666666666666667,0.003681448544046395,0.002146223239624234,0.3813590790939473,-0.010700697557979533,0.18530758757271937,0.014382146102025928,28
H2_BREAKDOWN_INITIATION,VALIDATION,2019,10,30,0.5,0.0007335365946116168,0.0036855590657505766,0.3405124396583736,-0.020339620478916687,0.15948756034162642,0.021073157073528304,28
H2_BREAKDOWN_INITIATION,VALIDATION,2020,5,124,0.3225806451612903,-0.0341575908269125,-0.03000261977117538,0.4456918706884891,-0.008579088471849738,-0.12311122552719878,-0.02557850235506276,110
H2_BREAKDOWN_INITIATION,VALIDATION,2020,10,124,0.41935483870967744,-0.012792902043834764,-0.026299601579792165,0.41363451913972676,-0.018667748855005994,0.0057203195699506715,0.00587484681117123,110
H2_BREAKDOWN_INITIATION,VALIDATION,2021,5,42,0.38095238095238093,-0.015741357129310907,-0.01832839305170491,0.41910287882169156,-0.0056609594323617785,-0.03815049786931063,-0.010080397696949128,38
H2_BREAKDOWN_INITIATION,VALIDATION,2021,10,42,0.40476190476190477,-0.02345199277708232,-0.010510861011768,0.3923231421557688,-0.011265874641540385,0.012438762606135967,-0.012186118135541935,38
H2_BREAKDOWN_INITIATION,VALIDATION,2022,5,94,0.4574468085106383,-0.0030357602553913177,-0.005727285769797553,0.5158234984589942,0.0017110730872645918,-0.05837668994835593,-0.0047468333426559095,81
H2_BREAKDOWN_INITIATION,VALIDATION,2022,10,94,0.5212765957446809,0.0008102198465594346,0.0016865912325739125,0.47440426971359845,-0.003937385959857931,0.046872326031082434,0.004747605806417365,81
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2004,5,4,0.25,-0.02161827382559789,-0.020724215206796404,0.417910447761194,-0.006358087487283726,-0.16791044776119401,-0.015260186338314163,3
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2004,10,4,0.5,-0.0048975003228797775,-0.0039216735448298345,0.38308457711442784,-0.012086179716237488,0.11691542288557216,0.007188679393357711,3
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2004,20,4,0.25,-0.011658302870269477,-0.0356735233457616,0.43781094527363185,-0.0063856960408683605,-0.18781094527363185,-0.005272606829401116,3
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2005,5,64,0.546875,0.013994549949264745,-0.3672228045183513,0.4493806065783853,-0.002971794244721493,0.0974943934216147,0.016966344193986238,30
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2005,10,64,0.53125,0.004595155709342547,-0.3388091262315036,0.43827424177701835,-0.005919048858092024,0.09297575822298165,0.01051420456743457,30
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2005,20,64,0.5,0.0004906536190838473,-0.335531886600035,0.39918838103374626,-0.014609163157831007,0.10081161896625374,0.015099816776914854,30
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2006,5,67,0.47761194029850745,-0.0006297229219143219,-0.005956432643137512,0.4711804681600805,-0.0015491866769945517,0.00643147213842693,0.0009194637550802298,38
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2006,10,67,0.5223880597014925,0.000998253057149956,0.011151024340307812,0.43443241882708283,-0.006559031281533789,0.08795564087440966,0.007557284338683745,38
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2006,20,67,0.4925373134328358,-0.0006297229219143219,-0.0028467283790858952,0.42033727661716586,-0.012269938650306678,0.07220003681566994,0.011640215728392356,38
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2007,5,90,0.5333333333333333,0.003932713149792377,-0.003196100480066799,0.49382011789313557,-0.0004444444444444695,0.03951321544019776,0.004377157594236847,44
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2007,10,90,0.5444444444444444,0.007326795472287262,0.008715915786709817,0.5000950751093364,7.299270072991249e-05,0.044349369335108024,0.007253802771557349,44
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2007,20,90,0.5111111111111111,0.013913950782921736,-0.10807122991588894,0.5000950751093364,0.0002071251035624666,0.011016036001774698,0.013706825679359269,44
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2008,5,1058,0.5359168241965974,0.008367321431201002,0.0024269175574412327,0.5315209157478327,0.004704652378463181,0.004395908448764696,0.0036626690527378214,326
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2008,10,1058,0.499054820415879,-0.00026652452025588413,0.0006046595767750938,0.5263866677889066,0.0054044630404463945,-0.02733184737302763,-0.005670987560702279,326
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2008,20,1058,0.5368620037807184,0.008080017998337685,0.007268821695277969,0.5469236596246108,0.01245674740484426,-0.010061655843892403,-0.004376729406506574,326
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2009,5,492,0.5101626016260162,0.001983064506410448,-2.5239708738651565,0.4631386253952405,-0.005059324612108229,0.047023976230775755,0.007042389118518677,236
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2009,10,492,0.45528455284552843,-0.010935995606452753,-2.478737133455493,0.3979031452820769,-0.021205748335085817,0.05738140756345156,0.010269752728633064,236
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2009,20,492,0.4532520325203252,-0.0194068726602582,-2.3664162526288175,0.3780995173905808,-0.036972564214151626,0.07515251512974441,0.017565691553893426,236
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2010,5,73,0.4931506849315068,-0.0014005602240896309,0.0017240484626023416,0.4202037351443124,-0.007949036350016647,0.0729469497871944,0.006548476125927016,43
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2010,10,73,0.410958904109589,-0.013377926421404451,-0.005192052874784685,0.36969439728353143,-0.016687624493405884,0.04126450682605759,0.0033096980720014324,43
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2010,20,73,0.410958904109589,-0.025847214244687056,-0.015149175068334943,0.35335314091680814,-0.027799650043744517,0.05760576319278088,0.0019524357990574615,43
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2011,5,167,0.5389221556886228,0.006116623623759532,0.0051671246108682565,0.4440830235439901,-0.0059445282070612615,0.09483913214463269,0.012061151830820793,95
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2011,10,167,0.5089820359281437,0.0010869565217391797,-0.0045289198735861775,0.43215613382899626,-0.011492126683371184,0.07682590209914747,0.012579083205110364,95
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2011,20,167,0.5808383233532934,0.016328828828829023,0.003869842751046243,0.4197645600991326,-0.017611599597129768,0.16107376325416084,0.03394042842595879,95
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2012,5,72,0.4027777777777778,-0.0126216038096858,-0.014432615574366068,0.42285017279934944,-0.005934718100890191,-0.020072395021571654,-0.006686885708795609,43
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2012,10,72,0.375,-0.016957232148177348,-0.024341498787553668,0.4340313071762553,-0.007326695472477995,-0.05903130717625532,-0.009630536675699353,43
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2012,20,72,0.4027777777777778,-0.02434494306845547,-0.02659551067958778,0.38585078267940637,-0.01835879542823604,0.016926995098371422,-0.00598614764021943,43
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2013,5,29,0.4482758620689655,-0.00789494884395392,-0.00014154591778302544,0.42500769941484445,-0.004594998931395589,0.023268162654121072,-0.003299949912558331,24
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2013,10,29,0.5517241379310345,0.01044083526682138,-0.0028988312708894816,0.4102248229134586,-0.00803374171520388,0.1414993150175759,0.01847457698202526,24
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2013,20,29,0.3103448275862069,-0.02161224167849829,-0.020274756671324046,0.3778872805666769,-0.013559322033898313,-0.06754245298047001,-0.008052919644599976,24
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2014,5,61,0.4098360655737705,-0.007920658023897298,0.0014684605160727412,0.400287631831256,-0.0058961248440366765,0.009548433742514517,-0.0020245331798606214,38
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2014,10,61,0.4098360655737705,-0.011196911196911241,-0.007425552715574856,0.40004793863854266,-0.011168508952920764,0.009788126935227848,-2.8402243990477416e-05,38
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2014,20,61,0.4262295081967213,-0.01586447969884386,-0.012951636508591999,0.3547459252157239,-0.02232915791037282,0.07148358298099738,0.0064646782115289625,38
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2015,5,145,0.5172413793103449,0.002970297029702862,0.005693761845345745,0.4906311637080868,-0.0006409541166114696,0.02661021560225807,0.0036112511463143315,73
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2015,10,145,0.5103448275862069,0.003249918752031178,0.00876940035477146,0.5129437869822485,0.0011422979238995823,-0.0025989593960416,0.0021076208281315956,73
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2015,20,145,0.5241379310344828,0.014917695473251169,0.02468436563625669,0.5239151873767258,0.0044893561447042485,0.00022274365775698524,0.01042833932854692,73
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2016,5,187,0.32620320855614976,-0.021670744494931782,-0.022044329679048714,0.42950108459869846,-0.00567408079891063,-0.1032978760425487,-0.01599666369602115,93
H4_ROOM_PCT_5_10PCT,DEVELOPMENT,2016,10,187,0.31016042780748665,-0.03328568511333474,-0.03724773557926666,0.3686189443239335,-0.01616745223252747,-0.058458516516446846,-0.01711823288080727,93
