symbol,rank,signal,strike,expiry,total_score,option_score,probability_of_profit,liquidity_score,delta_score,iv_score,dte_score,spread_score,spread_pct,delta,iv,open_interest,volume,bid,ask,gamma,theta,vega,rho,option_symbol
AAPL,1,CALL,300.0,2026-08-21,79.70978988849613,86.29052706999296,0.85,70.0,99.16210827997185,100.0,100.0,35.0,-1.0,0.4583789172002815,0.27712130872696356,17443,0,0.0,0.0,0.013125848925809019,-0.13048195640379326,0.44113591257122353,0.0,O:AAPL260821C00300000
AAPL,2,CALL,305.0,2026-09-18,79.53415428220382,85.97118960400692,0.85,70.0,97.88475841602771,100.0,100.0,35.0,-1.0,0.42884758416027713,0.27088789960078496,25021,0,0.0,0.0,0.010740890301932088,-0.10360715831828556,0.556245160136114,0.0,O:AAPL260918C00305000
AAPL,3,CALL,300.0,2026-09-18,79.38410563832755,85.69837388786829,0.85,70.0,96.79349555147314,100.0,100.0,35.0,-1.0,0.48206504448526855,0.2720716384119169,30871,0,0.0,0.0,0.010792437078144434,-0.10608003566726468,0.5475034745453979,0.0,O:AAPL260918C00300000
AAPL,4,CALL,300.0,2026-10-16,79.14562950418133,85.26478091669333,0.85,70.0,95.05912366677327,100.0,100.0,35.0,-1.0,0.49940876333226736,0.27426473958684566,11919,0,0.0,0.0,0.009215087714627162,-0.09375320604443149,0.6351852170834285,0.0,O:AAPL261016C00300000
AAPL,5,CALL,310.0,2026-09-18,78.80854153694196,84.65189370353085,0.85,70.0,92.60757481412337,100.0,100.0,35.0,-1.0,0.3760757481412336,0.26581701240053646,15693,0,0.0,0.0,0.010592679822986978,-0.09770369450395543,0.4947835908463773,0.0,O:AAPL260918C00310000
AAPL,6,CALL,295.0,2026-09-18,78.65484497645616,84.37244541173845,0.85,70.0,91.48978164695383,100.0,100.0,35.0,-1.0,0.5351021835304617,0.2783973330489516,12294,0,0.0,0.0,0.010642467756290882,-0.11032451019255456,0.5387900703196605,0.0,O:AAPL260918C00295000
AAPL,7,CALL,310.0,2026-08-21,78.18423384534975,83.51678880972683,0.85,70.0,88.06715523890732,100.0,100.0,35.0,-1.0,0.3306715523890732,0.26781736875534246,25715,0,0.0,0.0,0.012399987905292665,-0.11343121622740024,0.3986427675555857,0.0,O:AAPL260821C00310000
AAPL,8,CALL,290.0,2026-09-18,77.95333132128623,83.09696603870222,0.85,70.0,86.38786415480891,100.0,100.0,35.0,-1.0,0.586121358451911,0.2830485397069544,11482,0,0.0,0.0,0.010177089246988742,-0.11027549053774591,0.5303835918569053,0.0,O:AAPL260918C00290000
AAPL,9,CALL,285.0,2026-09-18,77.28728620848081,81.88597492451055,0.85,70.0,81.54389969804221,100.0,100.0,35.0,-1.0,0.634561003019578,0.29135256196315285,36446,0,0.0,0.0,0.009510592979278462,-0.11029585894915024,0.5223557733431733,0.0,O:AAPL260918C00285000
AAPL,10,CALL,320.0,2026-09-18,77.01685017656037,81.39427304829157,0.8291426622814088,70.0,82.91426622814087,100.0,100.0,35.0,-1.0,0.27914266228140877,0.26312320947793943,37507,0,0.0,0.0,0.009498165472621216,-0.08466515955966837,0.5106867822721083,0.0,O:AAPL260918C00320000
AMD,1,CALL,650.0,2026-09-18,68.87192205566105,74.138949192111,0.85,28.455,92.10079676844404,100.0,100.0,35.0,-1.0,0.3710079676844405,0.7435470823102802,4065,0,0.0,0.0,0.0020117162498134262,-0.4616351622877611,0.9571542027137437,0.0,O:AMD260918C00650000
AMD,2,CALL,600.0,2026-08-21,68.75464207171323,74.54298558493315,0.85,25.06,97.11194233973256,100.0,100.0,35.0,-1.0,0.4211194233973258,0.7717371683645482,3580,0,0.0,0.0,0.002523218623877704,-0.6203806121230703,0.8500126041840791,0.0,O:AMD260821C00600000
AMD,3,CALL,380.0,2026-08-21,67.93366599025171,64.87939270954857,0.5942983493776703,70.0,54.429834937767026,100.0,100.0,35.0,-1.0,0.9057016506223298,0.8196259824621783,20981,0,0.0,0.0,0.0010157515736498868,-0.304965716776928,0.2937715675203749,0.0,O:AMD260821C00380000
AMD,4,CALL,500.0,2026-09-18,67.74053360890935,71.33097019801698,0.8374572338156459,32.584999999999994,78.74572338156457,100.0,100.0,35.0,-1.0,0.6625427661843541,0.7503617879287936,4655,0,0.0,0.0,0.0019302679345540865,-0.46148570338283923,0.9428905846634976,0.0,O:AMD260918C00500000
