relative_path,parse_mode,top_level_type,size_bytes,date_keys,close_keys,error
daily_bars/C.daily.csv.gz,UNKNOWN_TEXT,,137587,,,
daily_bars/CAH.daily.csv.gz,UNKNOWN_TEXT,,131975,,,
daily_bars/CARR.daily.csv.gz,UNKNOWN_TEXT,,38419,,,
daily_bars/CASY.daily.csv.gz,UNKNOWN_TEXT,,127610,,,
daily_bars/CAT.daily.csv.gz,UNKNOWN_TEXT,,141068,,,
daily_bars/CB.daily.csv.gz,UNKNOWN_TEXT,,133210,,,
daily_bars/CBOE.daily.csv.gz,UNKNOWN_TEXT,,92102,,,
daily_bars/CBRE.daily.csv.gz,UNKNOWN_TEXT,,50713,,,
daily_bars/CCEP.daily.csv.gz,UNKNOWN_TEXT,,45164,,,
daily_bars/CCI.daily.csv.gz,UNKNOWN_TEXT,,131837,,,
daily_bars/CCL.daily.csv.gz,UNKNOWN_TEXT,,131965,,,
daily_bars/CDNS.daily.csv.gz,UNKNOWN_TEXT,,119343,,,
daily_bars/CDW.daily.csv.gz,UNKNOWN_TEXT,,77178,,,
daily_bars/CEG.daily.csv.gz,UNKNOWN_TEXT,,29962,,,
daily_bars/CF.daily.csv.gz,UNKNOWN_TEXT,,124498,,,
daily_bars/CFG.daily.csv.gz,UNKNOWN_TEXT,,69582,,,
daily_bars/CHD.daily.csv.gz,UNKNOWN_TEXT,,126889,,,
daily_bars/CHRW.daily.csv.gz,UNKNOWN_TEXT,,119718,,,
daily_bars/CHTR.daily.csv.gz,UNKNOWN_TEXT,,127286,,,
daily_bars/CI.daily.csv.gz,UNKNOWN_TEXT,,137720,,,
daily_bars/CIBR.daily.csv.gz,UNKNOWN_TEXT,,59618,,,
daily_bars/CIEN.daily.csv.gz,UNKNOWN_TEXT,,114706,,,
daily_bars/CINF.daily.csv.gz,UNKNOWN_TEXT,,125980,,,
daily_bars/CL.daily.csv.gz,UNKNOWN_TEXT,,129918,,,
daily_bars/CLX.daily.csv.gz,UNKNOWN_TEXT,,130867,,,
daily_bars/CMCSA.daily.csv.gz,UNKNOWN_TEXT,,128739,,,
daily_bars/CME.daily.csv.gz,UNKNOWN_TEXT,,137891,,,
daily_bars/CMG.daily.csv.gz,UNKNOWN_TEXT,,124144,,,
daily_bars/CMI.daily.csv.gz,UNKNOWN_TEXT,,137139,,,
daily_bars/CMS.daily.csv.gz,UNKNOWN_TEXT,,124135,,,
daily_bars/CNC.daily.csv.gz,UNKNOWN_TEXT,,129361,,,
daily_bars/CNP.daily.csv.gz,UNKNOWN_TEXT,,123200,,,
daily_bars/COF.daily.csv.gz,UNKNOWN_TEXT,,136835,,,
daily_bars/COHR.daily.csv.gz,UNKNOWN_TEXT,,126949,,,
daily_bars/COIN.daily.csv.gz,UNKNOWN_TEXT,,37262,,,
daily_bars/COO.daily.csv.gz,UNKNOWN_TEXT,,133090,,,
daily_bars/COP.daily.csv.gz,UNKNOWN_TEXT,,137287,,,
daily_bars/COR.daily.csv.gz,UNKNOWN_TEXT,,19518,,,
daily_bars/COST.daily.csv.gz,UNKNOWN_TEXT,,140961,,,
daily_bars/CPAY.daily.csv.gz,UNKNOWN_TEXT,,15746,,,
daily_bars/CPRT.daily.csv.gz,UNKNOWN_TEXT,,129552,,,
daily_bars/CPT.daily.csv.gz,UNKNOWN_TEXT,,126073,,,
daily_bars/CRH.daily.csv.gz,UNKNOWN_TEXT,,18632,,,
daily_bars/CRL.daily.csv.gz,UNKNOWN_TEXT,,129125,,,
daily_bars/CRM.daily.csv.gz,UNKNOWN_TEXT,,135933,,,
daily_bars/CRWD.daily.csv.gz,UNKNOWN_TEXT,,48291,,,
daily_bars/CRWV.daily.csv.gz,UNKNOWN_TEXT,,10178,,,
daily_bars/CSCO.daily.csv.gz,UNKNOWN_TEXT,,135472,,,
daily_bars/CSGP.daily.csv.gz,UNKNOWN_TEXT,,129908,,,
daily_bars/CSX.daily.csv.gz,UNKNOWN_TEXT,,134430,,,
daily_bars/CTAS.daily.csv.gz,UNKNOWN_TEXT,,134084,,,
daily_bars/CTSH.daily.csv.gz,UNKNOWN_TEXT,,134714,,,
daily_bars/CTVA.daily.csv.gz,UNKNOWN_TEXT,,42763,,,
daily_bars/CVNA.daily.csv.gz,UNKNOWN_TEXT,,58746,,,
daily_bars/CVS.daily.csv.gz,UNKNOWN_TEXT,,133903,,,
daily_bars/CVX.daily.csv.gz,UNKNOWN_TEXT,,139838,,,
daily_bars/D.daily.csv.gz,UNKNOWN_TEXT,,129237,,,
daily_bars/DAL.daily.csv.gz,UNKNOWN_TEXT,,123784,,,
daily_bars/DASH.daily.csv.gz,UNKNOWN_TEXT,,37749,,,
daily_bars/DBA.daily.csv.gz,UNKNOWN_TEXT,,99579,,,
daily_bars/DD.daily.csv.gz,UNKNOWN_TEXT,,149591,,,
daily_bars/DDOG.daily.csv.gz,UNKNOWN_TEXT,,45066,,,
daily_bars/DE.daily.csv.gz,UNKNOWN_TEXT,,138290,,,
daily_bars/DECK.daily.csv.gz,UNKNOWN_TEXT,,140564,,,
daily_bars/DELL.daily.csv.gz,UNKNOWN_TEXT,,51379,,,
daily_bars/DG.daily.csv.gz,UNKNOWN_TEXT,,101043,,,
daily_bars/DGX.daily.csv.gz,UNKNOWN_TEXT,,129589,,,
daily_bars/DHI.daily.csv.gz,UNKNOWN_TEXT,,133318,,,
daily_bars/DHR.daily.csv.gz,UNKNOWN_TEXT,,149047,,,
daily_bars/DIA.daily.csv.gz,UNKNOWN_TEXT,,141743,,,
daily_bars/DIS.daily.csv.gz,UNKNOWN_TEXT,,136373,,,
daily_bars/DLR.daily.csv.gz,UNKNOWN_TEXT,,125454,,,
daily_bars/DLTR.daily.csv.gz,UNKNOWN_TEXT,,136125,,,
daily_bars/DOC.daily.csv.gz,UNKNOWN_TEXT,,14387,,,
daily_bars/DOV.daily.csv.gz,UNKNOWN_TEXT,,130822,,,
daily_bars/DOW.daily.csv.gz,UNKNOWN_TEXT,,44552,,,
daily_bars/DPZ.daily.csv.gz,UNKNOWN_TEXT,,126180,,,
daily_bars/DRI.daily.csv.gz,UNKNOWN_TEXT,,131882,,,
daily_bars/DTE.daily.csv.gz,UNKNOWN_TEXT,,127626,,,
daily_bars/DUK.daily.csv.gz,UNKNOWN_TEXT,,131628,,,
daily_bars/DVA.daily.csv.gz,UNKNOWN_TEXT,,129915,,,
daily_bars/DVN.daily.csv.gz,UNKNOWN_TEXT,,135329,,,
daily_bars/DXCM.daily.csv.gz,UNKNOWN_TEXT,,123221,,,
daily_bars/EA.daily.csv.gz,UNKNOWN_TEXT,,88561,,,
daily_bars/EBAY.daily.csv.gz,UNKNOWN_TEXT,,147992,,,
daily_bars/ECL.daily.csv.gz,UNKNOWN_TEXT,,131091,,,
daily_bars/ED.daily.csv.gz,UNKNOWN_TEXT,,127925,,,
daily_bars/EEM.daily.csv.gz,UNKNOWN_TEXT,,135831,,,
daily_bars/EFA.daily.csv.gz,UNKNOWN_TEXT,,134891,,,
