date,equity,pnl,symbol,exit_reason
2026-01-22,99849.1,-150.89999999999947,MSFT,STOP_LOSS
2026-01-26,99645.1,-203.99999999999946,AAPL,STOP_LOSS
2026-01-26,99434.90000000001,-210.19999999999922,AAPL,STOP_LOSS
2026-01-28,99577.1,142.20000000000016,AMZN,TIME_STOP
2026-01-29,99574.3,-2.7999999999994207,AMZN,TIME_STOP
2026-02-01,99351.1,-223.2000000000001,AAPL,STOP_LOSS
2026-02-01,99436.3,85.20000000000084,AMZN,TIME_STOP
2026-02-01,99256.0,-180.30000000000044,AAPL,STOP_LOSS
2026-02-01,99048.25,-207.7499999999999,AAPL,STOP_LOSS
2026-02-03,98843.25,-204.99999999999997,AMZN,STOP_LOSS
2026-02-04,99238.75,395.4999999999997,MSFT,TAKE_PROFIT
2026-02-04,99602.15,363.3999999999999,MSFT,TAKE_PROFIT
2026-02-04,99277.95,-324.20000000000005,AMZN,STOP_LOSS
2026-02-08,99372.84999999999,94.89999999999968,MSFT,TIME_STOP
2026-02-08,99170.74999999999,-202.10000000000022,MSFT,STOP_LOSS
2026-02-08,99043.34999999999,-127.40000000000022,MSFT,STOP_LOSS
2026-02-09,99019.95,-23.399999999999597,MSFT,TIME_STOP
2026-02-10,99115.34999999999,95.39999999999993,MSFT,TIME_STOP
2026-02-11,98931.9,-183.45000000000005,AAPL,STOP_LOSS
2026-02-11,98721.15,-210.74999999999983,AAPL,STOP_LOSS
2026-02-16,98885.75,164.59999999999994,MSFT,TIME_STOP
2026-02-17,99019.65,133.899999999999,MSFT,TIME_STOP
2026-02-17,98862.65,-156.99999999999946,AMZN,STOP_LOSS
2026-02-18,98918.95,56.30000000000011,MSFT,TIME_STOP
2026-02-19,98962.25,43.299999999999145,MSFT,TIME_STOP
2026-02-19,98777.45,-184.80000000000015,AMZN,STOP_LOSS
2026-02-22,98943.15,165.70000000000022,MSFT,TIME_STOP
2026-02-23,99018.95,75.80000000000014,MSFT,TIME_STOP
2026-02-24,99006.15,-12.799999999999432,MSFT,TIME_STOP
2026-02-24,98883.54999999999,-122.60000000000016,AMZN,TIME_STOP
2026-02-24,98719.44999999998,-164.09999999999997,MSFT,STOP_LOSS
2026-02-25,98684.04999999999,-35.40000000000005,MSFT,TIME_STOP
2026-02-25,98617.24999999999,-66.79999999999947,AMZN,TIME_STOP
2026-02-25,98487.24999999999,-129.99999999999986,MSFT,STOP_LOSS
2026-02-26,98529.34999999999,42.10000000000052,MSFT,TIME_STOP
2026-03-02,98520.34999999999,-8.999999999999893,AMZN,TIME_STOP
2026-03-03,98471.54999999999,-48.80000000000008,MSFT,TIME_STOP
2026-03-03,98342.34999999999,-129.20000000000041,AMZN,TIME_STOP
2026-03-03,98158.74999999999,-183.6000000000001,AMZN,STOP_LOSS
2026-03-03,98031.34999999999,-127.40000000000022,MSFT,STOP_LOSS
2026-03-04,97907.24999999999,-124.1000000000001,MSFT,STOP_LOSS
2026-03-09,97886.14999999998,-21.099999999999984,MSFT,TIME_STOP
2026-03-15,97987.84999999998,101.69999999999992,AAPL,TIME_STOP
2026-03-18,98085.64999999998,97.79999999999995,AAPL,TIME_STOP
2026-03-19,98113.39999999998,27.749999999999613,AAPL,TIME_STOP
2026-03-22,98129.14999999998,15.749999999999869,AAPL,TIME_STOP
2026-03-23,98163.79999999997,34.65000000000005,AAPL,TIME_STOP
2026-03-24,98104.59999999998,-59.20000000000014,AAPL,TIME_STOP
2026-03-24,98309.29999999997,204.69999999999956,MSFT,TIME_STOP
2026-03-25,98225.09999999998,-84.20000000000013,AAPL,TIME_STOP
2026-03-26,98203.29999999997,-21.799999999999905,AAPL,TIME_STOP
2026-03-26,98451.49999999997,248.2000000000005,MSFT,TIME_STOP
2026-03-29,98520.19999999997,68.70000000000009,AAPL,TIME_STOP
2026-03-29,98757.79999999997,237.60000000000034,MSFT,TIME_STOP
2026-03-30,98721.34999999998,-36.44999999999998,AAPL,TIME_STOP
2026-03-30,98744.24999999997,22.89999999999979,MSFT,TIME_STOP
2026-03-30,98718.04999999997,-26.199999999999598,AMZN,TIME_STOP
2026-03-30,98581.24999999997,-136.80000000000035,MSFT,STOP_LOSS
2026-03-30,98350.99999999997,-230.25000000000017,AMZN,STOP_LOSS
2026-03-30,98236.09999999998,-114.90000000000022,MSFT,STOP_LOSS
2026-03-30,98084.09999999998,-152.00000000000057,AMZN,STOP_LOSS
2026-03-31,98034.74999999997,-49.35000000000029,AAPL,TIME_STOP
2026-03-31,98048.64999999997,13.900000000000158,MSFT,TIME_STOP
2026-03-31,98065.84999999996,17.200000000000152,AMZN,TIME_STOP
2026-03-31,97880.24999999996,-185.60000000000042,AAPL,STOP_LOSS
2026-04-01,97830.59999999996,-49.649999999999594,AAPL,TIME_STOP
2026-04-01,97752.89999999997,-77.69999999999952,MSFT,TIME_STOP
2026-04-01,97702.69999999997,-50.20000000000051,AMZN,TIME_STOP
2026-04-05,97495.89999999997,-206.80000000000004,AAPL,STOP_LOSS
2026-04-07,97415.04999999996,-80.8499999999999,AAPL,TIME_STOP
2026-04-07,97370.64999999997,-44.39999999999968,MSFT,TIME_STOP
2026-04-08,97330.84999999996,-39.79999999999974,MSFT,TIME_STOP
2026-04-09,97353.94999999997,23.099999999999323,MSFT,TIME_STOP
2026-04-12,97236.24999999997,-117.70000000000009,MSFT,STOP_LOSS
2026-04-12,97112.64999999997,-123.59999999999984,MSFT,STOP_LOSS
2026-04-12,96996.84999999996,-115.80000000000025,MSFT,STOP_LOSS
2026-04-12,96859.04999999996,-137.80000000000015,MSFT,STOP_LOSS
2026-04-13,96668.44999999995,-190.60000000000073,MSFT,STOP_LOSS
2026-04-19,96830.64999999995,162.20000000000044,AMZN,TIME_STOP
2026-04-21,96962.24999999996,131.6,AMZN,TIME_STOP
2026-04-22,97064.24999999996,102.00000000000077,AMZN,TIME_STOP
2026-04-23,97261.49999999996,197.25,AMZN,TIME_STOP
2026-04-26,97175.69999999995,-85.80000000000008,AAPL,TIME_STOP
2026-04-26,97426.89999999995,251.1999999999998,AMZN,TIME_STOP
2026-04-27,97617.09999999995,190.19999999999985,AMZN,TIME_STOP
2026-04-28,97728.09999999995,111.0000000000001,AMZN,TIME_STOP
