symbol,sector,signal,strategy,ai_score,base_ai_score,dealer_score_adjustment,dealer_context_status,dealer_snapshot_date,institutional_positioning_score,positioning_label,gamma_regime,gamma_flip,primary_call_wall,primary_put_wall,range_probability,breakout_probability,market_structure_confidence,technical_score,greeks_score,regime_score,volatility_score,risk_score,ranking_reason,adjusted_score,final_score,portfolio_penalty,portfolio_notes,score,call_score,put_score,market_regime,close,strike,expiry,spread_pct,option_volume,open_interest,quote_timestamp,option_data_source,price_source,last_price,ask,bid,contract_ticker,option_price,delta,gamma,theta,vega,rho,volatility,dte
SO,Unknown,CALL,LONG_CALL,94.4699244311791,89.16713809314413,5.302786338034967,FRESH,2026-07-24,40.17350919601039,NEUTRAL,NEGATIVE_GAMMA,,100.0,95.0,35.0,75.0,90.0,80.0,88.66855237257653,100.0,100.0,100.0,"Technical=80.0 | Greeks=88.7 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=97.50; spot=96.60; target |delta|=0.45; estimated delta=0.4552; moneyness=1.45%. | expiration_mode=automatic; selected_dte=119. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+5.30, confidence=90.00.",84.47825027626567,84.47825027626567,0.0,,80.0,80.0,0.0,BULL_TREND,96.5999984741211,97.5,2026-11-20,0.06741573033707862,20,268,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,3.7,4.6,4.3,O:SO261120C00097500,4.449999999999999,0.5093837343242921,0.034748829414673416,-0.01922520011434737,0.21751403049095772,0.0,0.21047294601688712,119
UPS,Unknown,CALL,LONG_CALL,93.71248200616057,89.01296157913171,4.699520427028855,FRESH,2026-07-24,40.67334278568575,NEUTRAL,NEGATIVE_GAMMA,,120.0,100.0,35.0,75.0,90.0,80.0,88.05184631652682,100.0,100.0,100.0,"Technical=80.0 | Greeks=88.1 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=115.00; spot=114.10; target |delta|=0.45; estimated delta=0.6436; moneyness=0.79%. | expiration_mode=automatic; selected_dte=119. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.70, confidence=90.00.",84.01967923201525,84.01967923201525,0.0,,80.0,80.0,0.0,BULL_TREND,114.0999984741211,115.0,2026-11-20,0.07536231884057955,27,279,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,8.49,8.95,8.3,O:UPS261120C00115000,8.625,0.5186092260903099,0.01762142428491115,-0.03580131641439329,0.25481860567192716,0.0,0.35516156322269765,119
CVS,Unknown,CALL,LONG_CALL,93.36805337923076,88.47884344903379,4.889209930196976,FRESH,2026-07-24,42.813353753015775,NEUTRAL,NEGATIVE_GAMMA,,110.0,70.0,35.0,75.0,90.0,80.0,85.91537379613514,100.0,100.0,100.0,"Technical=80.0 | Greeks=85.9 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=110.00; spot=106.89; target |delta|=0.45; estimated delta=0.7089; moneyness=0.57%. | expiration_mode=automatic; selected_dte=119. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.89, confidence=90.00.",83.22720480801468,83.22720480801468,0.0,,80.0,80.0,0.0,BULL_TREND,106.88999938964844,110.0,2026-11-20,0.03797468354430389,22,782,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,7.92,8.05,7.75,O:CVS261120C00110000,7.9,0.5036642117270458,0.018257962598600238,-0.037062365180414496,0.24289576189914347,0.0,0.35615528380130057,119
BAC,Unknown,CALL,LONG_CALL,91.74450522697175,87.36404867743921,4.3804565495325445,FRESH,2026-07-24,42.78261119148654,NEUTRAL,NEGATIVE_GAMMA,,65.0,50.0,35.0,75.0,90.0,80.0,81.45619470975686,100.0,100.0,100.0,"Technical=80.0 | Greeks=81.5 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=62.50; spot=61.28; target |delta|=0.45; estimated delta=0.3881; moneyness=1.17%. | expiration_mode=automatic; selected_dte=84. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.38, confidence=90.00.",81.58913527295306,81.58913527295306,0.0,,80.0,80.0,0.0,BULL_TREND,61.279998779296875,62.5,2026-10-16,0.03208556149732632,660,6112,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,2.78,2.85,2.76,O:BAC261016C00062500,2.8049999999999997,0.5110902960386958,0.05545372866648048,-0.018789113075620898,0.11748115796557698,0.0,0.24440119873942975,84
BMY,Unknown,CALL,LONG_CALL,91.59290889685857,86.89326548050643,4.69964341635214,FRESH,2026-07-24,40.477260816519674,NEUTRAL,NEGATIVE_GAMMA,,60.0,55.0,35.0,75.0,90.0,80.0,79.5730619220257,100.0,100.0,100.0,"Technical=80.0 | Greeks=79.6 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=62.50; spot=61.51; target |delta|=0.45; estimated delta=0.5379; moneyness=0.80%. | expiration_mode=automatic; selected_dte=84. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.70, confidence=90.00.",80.85466047285787,80.85466047285787,0.0,,80.0,80.0,0.0,BULL_TREND,61.5099983215332,62.5,2026-10-16,0.04255319148936167,53,534,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,3.45,3.6,3.45,O:BMY261016C00062500,3.5250000000000004,0.501084776400776,0.04194238264230871,-0.021914041394853045,0.11675578521040457,0.0,0.3258191068362816,84
SCHW,Unknown,CALL,LONG_CALL,90.39829016912138,86.25608892784491,4.14220124127647,FRESH,2026-07-24,41.20119940381187,NEUTRAL,NEGATIVE_GAMMA,,105.0,95.0,35.0,75.0,90.0,80.0,77.02435571137966,100.0,100.0,100.0,"Technical=80.0 | Greeks=77.0 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=105.00; spot=101.61; target |delta|=0.45; estimated delta=0.5114; moneyness=0.88%. | expiration_mode=automatic; selected_dte=84. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.14, confidence=90.00.",79.9952314597967,79.9952314597967,0.0,,80.0,80.0,0.0,BULL_TREND,101.61000061035156,105.0,2026-10-16,0.03680981595092033,27,2567,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,3.89,4.15,4.0,O:SCHW261016C00105000,4.075,0.4471564304980457,0.030820225819511653,-0.03287286722649342,0.19654203208414042,0.0,0.2638492236342356,84
MMM,Unknown,CALL,LONG_CALL,89.57816609703154,85.83018013391651,3.747985963115026,FRESH,2026-07-24,40.069364781160004,NEUTRAL,NEGATIVE_GAMMA,,170.0,160.0,45.0,65.0,90.0,80.0,75.32072053566608,100.0,100.0,100.0,"Technical=80.0 | Greeks=75.3 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=175.00; spot=169.59; target |delta|=0.45; estimated delta=0.2774; moneyness=1.72%. | expiration_mode=automatic; selected_dte=84. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+3.75, confidence=90.00.",78.85943946152341,78.85943946152341,0.0,,80.0,80.0,0.0,BULL_TREND,169.58999633789062,175.0,2026-10-16,0.06984126984126993,50,524,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,8.0,8.15,7.6,O:MMM261016C00175000,7.875,0.49331758130697845,0.01862006829734887,-0.05522608462081261,0.32835517762248206,0.0,0.260523222976081,84
KMI,Unknown,CALL,LONG_CALL,89.03493301245634,84.47610958648568,4.558823425970664,FRESH,2026-07-24,41.74763748087517,NEUTRAL,NEGATIVE_GAMMA,,35.0,28.0,35.0,75.0,90.0,80.0,69.90443834594271,100.0,100.0,100.0,"Technical=80.0 | Greeks=69.9 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=33.00; spot=32.77; target |delta|=0.45; estimated delta=0.0203; moneyness=0.70%. | expiration_mode=automatic; selected_dte=14. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.56, confidence=90.00.",77.22347903255194,77.22347903255194,0.0,,80.0,80.0,0.0,BULL_TREND,32.77000045776367,33.0,2026-08-07,0.2439024390243903,21,284,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,0.43,0.46,0.36,O:KMI260807C00033000,0.41000000000000003,0.4648978109454424,0.3439603812511863,-0.016380725109794103,0.025521303523788272,0.0,0.18142775013030177,14
EIX,Unknown,CALL,LONG_CALL,88.99294064960104,87.60682771995324,1.3861129296477985,FRESH,2026-07-24,40.29714678011996,NEUTRAL,NEGATIVE_GAMMA,,80.0,65.0,35.0,75.0,89.8019801980198,80.0,82.42731087981299,100.0,100.0,100.0,"Technical=80.0 | Greeks=82.4 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Greeks are in preferred range. | Target-delta strike=77.50; spot=79.64; target |delta|=0.45; estimated delta=0.2223; moneyness=1.71%. | expiration_mode=automatic; selected_dte=84. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+1.39, confidence=89.80.",81.82599939208691,81.82599939208691,0.0,,80.0,80.0,0.0,BULL_TREND,79.63999938964844,77.5,2026-10-16,0.19354838709677424,32,418,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,5.99,6.8,5.6,O:EIX261016C00077500,6.199999999999999,0.5794393009219492,0.02916880473559302,-0.029212146444803088,0.1474928691148396,0.0,0.3565449184795494,84
PM,Unknown,CALL,LONG_CALL,88.53340646320834,84.30353545077386,4.229871012434472,FRESH,2026-07-24,41.01770621290536,NEUTRAL,NEGATIVE_GAMMA,,200.0,175.0,35.0,75.0,90.0,80.0,69.21414180309549,100.0,100.0,100.0,"Technical=80.0 | Greeks=69.2 | Regime=100.0 | Volatility=100.0 | Risk=100.0 | Signal aligned with market regime. | Target-delta strike=195.00; spot=191.12; target |delta|=0.45; estimated delta=0.3441; moneyness=2.03%. | expiration_mode=automatic; selected_dte=119. | Dealer positioning NEUTRAL (NEGATIVE_GAMMA), adjustment=+4.23, confidence=90.00.",76.25943624581058,76.25943624581058,0.0,,80.0,80.0,0.0,BULL_TREND,191.1199951171875,195.0,2026-11-20,0.17490494296577952,38,785,2026-07-24,POLYGON_PERSISTED,POLYGON_PERSISTED_QUOTE,14.23,14.3,12.0,O:PM261120C00195000,13.15,0.5168260553889836,0.011563719311273602,-0.05920901984827144,0.43309013283072134,0.0,0.31524139389932204,119
