date,equity,pnl,symbol,exit_reason
2026-01-26,99006.6,-993.3999999999987,AAPL,STOP_LOSS
2026-01-26,97982.20000000001,-1024.399999999999,AAPL,STOP_LOSS
2026-02-01,96520.80000000002,-1461.3999999999996,AAPL,STOP_LOSS
2026-02-01,95345.40000000002,-1175.400000000001,AAPL,STOP_LOSS
2026-02-01,93987.00000000003,-1358.3999999999994,AAPL,STOP_LOSS
2026-02-03,92988.60000000003,-998.3999999999999,AMZN,STOP_LOSS
2026-02-04,91822.20000000004,-1166.4000000000005,AMZN,STOP_LOSS
2026-02-04,90173.80000000005,-1648.4,AMZN,STOP_LOSS
2026-02-04,88599.40000000005,-1574.3999999999992,AMZN,STOP_LOSS
2026-02-04,87005.00000000006,-1594.4000000000008,AMZN,STOP_LOSS
2026-02-11,85808.60000000006,-1196.399999999999,AAPL,STOP_LOSS
2026-02-11,84430.20000000007,-1378.3999999999983,AAPL,STOP_LOSS
2026-02-17,83828.80000000008,-601.4,AMZN,STOP_LOSS
2026-02-19,82931.40000000008,-897.4000000000008,AMZN,STOP_LOSS
2026-03-03,81727.00000000009,-1204.4,AMZN,STOP_LOSS
2026-03-03,80529.6000000001,-1197.399999999998,AMZN,STOP_LOSS
2026-03-03,79702.2000000001,-827.3999999999991,AMZN,STOP_LOSS
2026-03-03,78810.8000000001,-891.4000000000005,AMZN,STOP_LOSS
2026-03-04,77979.40000000011,-831.4000000000011,AMZN,STOP_LOSS
2026-03-22,78817.00000000012,837.5999999999987,AAPL,TIME_STOP
2026-03-25,79102.60000000012,285.6000000000005,AAPL,TIME_STOP
2026-03-26,79233.20000000013,130.5999999999993,AAPL,TIME_STOP
2026-03-26,80468.80000000013,1235.6000000000004,AMZN,TAKE_PROFIT
2026-03-29,81086.40000000014,617.5999999999998,AAPL,TIME_STOP
2026-03-30,81129.00000000015,42.599999999999774,AAPL,TIME_STOP
2026-03-30,80234.60000000015,-894.4000000000007,AMZN,STOP_LOSS
2026-03-30,79501.20000000014,-733.4000000000021,AMZN,STOP_LOSS
2026-03-31,78930.80000000015,-570.3999999999997,AAPL,TIME_STOP
2026-03-31,78165.40000000015,-765.3999999999986,AAPL,STOP_LOSS
2026-03-31,77264.00000000016,-901.4,AAPL,STOP_LOSS
2026-04-01,76566.60000000017,-697.3999999999979,AAPL,TIME_STOP
2026-04-05,75559.20000000017,-1007.4000000000002,AAPL,STOP_LOSS
2026-04-06,75356.80000000018,-202.3999999999991,AAPL,TIME_STOP
2026-04-06,74702.40000000018,-654.4000000000001,AMZN,STOP_LOSS
2026-04-06,74078.00000000017,-624.4000000000018,AMZN,STOP_LOSS
