symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,entry_delta,entry_gamma,entry_theta,entry_vega,entry_rho,entry_volatility,entry_dte,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-03-18,2026-03-19,LONG_PUT,PUT,248.96,BS_ENTRY_PROXY_EXIT,2.4527571563654504,2.880532664457789,-0.4486744762547674,0.05543092582740207,-0.03455384518840735,0.28238373179767856,-0.09382582583404303,0.1,30,20,-883.5510161846769,-0.18011383921389557,-855.5510161846769,28.000000000000004,-883.5510161846769,0.0,-855.5510161846769,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-19,2026-03-22,LONG_PUT,PUT,247.99,BS_ENTRY_PROXY_EXIT,2.443200703755906,1.166323355997477,-0.4486744762547674,0.05564774101371031,-0.034419216212536706,0.2812835059788974,-0.09346026087959645,0.1,30,20,2525.754695516858,0.5168946398128575,2553.754695516858,28.000000000000004,2525.754695516858,2553.754695516858,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-22,2026-03-23,LONG_PUT,PUT,251.49,BS_ENTRY_PROXY_EXIT,2.477682749254299,2.3755754907098776,-0.4486744762547674,0.05487328837723178,-0.034904990867740064,0.28525339295388086,-0.09477930968430064,0.1,30,20,176.2145170888432,0.035560347090820635,204.2145170888432,28.000000000000004,176.2145170888432,204.2145170888432,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-22,2026-03-23,LONG_PUT,PUT,383.0,BS_ENTRY_PROXY_EXIT,3.7733209788238185,10.212771241092355,-0.4486744762547674,0.03603154907047003,-0.05315762655510932,0.4344190604053297,-0.14434162634334224,0.1,30,13,-8389.485340949099,-1.710283937805933,-8371.285340949098,18.200000000000003,-8389.485340949099,0.0,-8371.285340949098,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-23,2026-03-24,LONG_PUT,PUT,251.64,BS_ENTRY_PROXY_EXIT,2.479160551204231,2.029853006168665,-0.4486744762547674,0.05484057897786528,-0.03492580978153449,0.2854235309670944,-0.09483584034735937,0.1,30,20,870.6150900711323,0.17558666977986528,898.6150900711323,28.000000000000004,870.6150900711323,898.6150900711323,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-23,2026-03-24,LONG_PUT,PUT,372.74,BS_ENTRY_PROXY_EXIT,3.6722393254485155,4.438884839715968,-0.4486744762547674,0.03702334950364871,-0.051733612851570354,0.4227816203015211,-0.14047492899012373,0.1,30,13,-1014.8391685476879,-0.2125802392174172,-996.6391685476879,18.200000000000003,-1014.8391685476879,0.0,-996.6391685476879,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-24,2026-03-25,LONG_PUT,PUT,252.62,BS_ENTRY_PROXY_EXIT,2.488815523943771,2.333999973460635,-0.4486744762547674,0.054627833481078386,-0.03506182668499142,0.28653509932008975,-0.09520517401267656,0.1,30,20,281.63110096627133,0.05657934432199285,309.63110096627133,28.000000000000004,281.63110096627133,309.63110096627133,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-24,2026-03-25,LONG_PUT,PUT,371.04,BS_ENTRY_PROXY_EXIT,3.655490903349289,6.371506823587822,-0.4486744762547674,0.037192979985958434,-0.05149766516190016,0.42085338948510054,-0.13983424814212456,0.1,30,13,-3549.0206963100927,-0.7468260740950542,-3530.820696310093,18.200000000000003,-3549.0206963100927,0.0,-3530.820696310093,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-03-25,2026-03-26,LONG_PUT,PUT,252.89,BS_ENTRY_PROXY_EXIT,2.491475567453648,4.759922941415596,-0.4486744762547674,0.05456950964447001,-0.035099300729821405,0.28684134774387415,-0.09530692920618229,0.1,30,20,-4564.894747923896,-0.916102651688721,-4536.894747923896,28.000000000000004,-4564.894747923896,0.0,-4536.894747923896,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-03-25,2026-03-26,LONG_PUT,PUT,365.97,BS_ENTRY_PROXY_EXIT,3.6055411974416245,9.281685011120942,-0.4486744762547674,0.037708236451047955,-0.050793985875648456,0.41510272463848175,-0.1379235117307388,0.1,30,13,-7397.186957783112,-1.5781663561955304,-7378.986957783112,18.200000000000003,-7397.186957783112,0.0,-7378.986957783112,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
