symbol,evaluated_rows,invalid_price_rows,invalid_ohlc_rows,negative_volume_rows,zero_volume_rows,non_finite_rows,extreme_return_rows,maximum_absolute_return,quality_score,status,warnings,rejection_reasons
CCI,252,0,0,0,0,0,0,0.08988501,100.0,READY,,
CCL,252,0,0,0,0,0,0,0.11230158,100.0,READY,,
CDNS,252,0,0,0,0,0,0,0.1046329,100.0,READY,,
CDW,252,0,0,0,0,0,0,0.20321639,100.0,READY,,
CEG,252,0,0,0,0,0,0,0.10895191,100.0,READY,,
CF,252,0,0,0,0,0,0,0.13210691,100.0,READY,,
CFG,252,0,0,0,0,0,0,0.07105829,100.0,READY,,
CHD,252,0,0,0,0,0,0,0.07200488,100.0,READY,,
CHRW,252,0,0,0,0,0,0,0.19709382,100.0,READY,,
CHTR,252,0,0,0,0,0,0,0.25498385,100.0,READY,,
CI,252,0,0,0,0,0,0,0.1739101,100.0,READY,,
CIBR,252,0,0,0,0,0,0,0.06405354,100.0,READY,,
CIEN,252,0,1,0,0,0,0,0.23307318,95.0,REVIEW,1 rows violate OHLC relationships.,
CINF,252,0,0,0,0,0,0,0.04221522,100.0,READY,,
CL,252,0,0,0,0,0,0,0.05924452,100.0,READY,,
CLX,252,0,0,0,0,0,0,0.09674411,100.0,READY,,
CMCSA,252,0,0,0,0,0,0,0.1289507,100.0,READY,,
CME,252,0,0,0,0,0,0,0.05768808,100.0,READY,,
CMG,252,0,0,0,0,0,0,0.18184104,100.0,READY,,
CMI,252,0,0,0,0,0,0,0.1072932,100.0,READY,,
CMS,252,0,0,0,0,0,0,0.039122,100.0,READY,,
CNC,252,0,0,0,0,0,0,0.15974142,100.0,READY,,
CNP,252,0,0,0,0,0,0,0.0284393,100.0,READY,,
COF,252,0,0,0,0,0,0,0.08837923,100.0,READY,,
COHR,252,0,0,0,0,0,0,0.19612315,100.0,READY,,
COIN,252,0,0,0,0,0,0,0.16695787,100.0,READY,,
COO,252,0,0,0,0,0,0,0.12859262,100.0,READY,,
COP,252,0,0,0,0,0,0,0.05088353,100.0,READY,,
COR,252,0,0,0,0,0,0,0.17378225,100.0,READY,,
COST,252,0,0,0,0,0,0,0.0421349,100.0,READY,,
CPAY,252,0,0,0,0,0,0,0.12506947,100.0,READY,,
