date,equity,peak_equity,drawdown_dollars,drawdown_pct
2026-01-22,99757.57334868298,99757.57334868298,0.0,0.0
2026-01-22,103926.25001241457,103926.25001241457,0.0,0.0
2026-01-22,109084.9755484278,109084.9755484278,0.0,0.0
2026-01-25,113067.29947363376,113067.29947363376,0.0,0.0
2026-01-25,112369.955878926,113067.29947363376,-697.3435947077523,-0.006167509067202639
2026-01-26,114440.99755229052,114440.99755229052,0.0,0.0
2026-01-26,121046.12280566714,121046.12280566714,0.0,0.0
2026-01-27,119351.09527004643,121046.12280566714,-1695.027535620713,-0.014003154304595002
2026-01-28,120791.57758265747,121046.12280566714,-254.54522300967074,-0.0021028779535411392
2026-01-29,119070.82956927971,121046.12280566714,-1975.293236387428,-0.016318517194959248
2026-02-01,114838.68420236414,121046.12280566714,-6207.438603303002,-0.051281597951457744
2026-02-02,106265.48759233131,121046.12280566714,-14780.63521333583,-0.12210746507812831
2026-02-02,103385.69604873232,121046.12280566714,-17660.426756934816,-0.14589832658488083
2026-02-03,104867.13146765096,121046.12280566714,-16178.991338016174,-0.13365972377314927
2026-02-03,101486.18871597013,121046.12280566714,-19559.93408969701,-0.16159075265136252
2026-02-04,83063.63577909482,121046.12280566714,-37982.487026572315,-0.3137852427338883
2026-02-05,86029.1328854789,121046.12280566714,-35016.989920188236,-0.28928634068194053
2026-02-08,89979.85123789764,121046.12280566714,-31066.271567769494,-0.2566482167929053
2026-02-10,83371.76179356534,121046.12280566714,-37674.3610121018,-0.3112397170505486
2026-02-10,84675.78208100647,121046.12280566714,-36370.340724660666,-0.3004667963058283
2026-02-10,78327.57350323591,121046.12280566714,-42718.54930243123,-0.35291133918443224
2026-02-11,73782.23384622946,121046.12280566714,-47263.88895943768,-0.3904618162393953
2026-02-11,72334.44073428946,121046.12280566714,-48711.68207137768,-0.4024224893975464
2026-02-12,72099.14490942431,121046.12280566714,-48946.977896242824,-0.4043663420333131
2026-02-16,69323.41526953744,121046.12280566714,-51722.7075361297,-0.4272975155029761
2026-02-16,71536.0416741982,121046.12280566714,-49510.081131468934,-0.4090183145391169
2026-02-17,72907.56500098629,121046.12280566714,-48138.55780468085,-0.39768773000655827
2026-02-17,75950.75120694618,121046.12280566714,-45095.37159872096,-0.3725470139272373
2026-02-18,75358.78974091704,121046.12280566714,-45687.3330647501,-0.3774373933322804
2026-02-19,79098.46832720602,121046.12280566714,-41947.65447846112,-0.34654273516720363
2026-02-19,78453.14822824183,121046.12280566714,-42592.97457742531,-0.35187392698075903
2026-02-19,82119.11571878489,121046.12280566714,-38927.00708688225,-0.321588219305276
2026-02-22,71991.6864054335,121046.12280566714,-49054.43640023364,-0.4052540904510244
2026-02-23,74220.84079214669,121046.12280566714,-46825.28201352045,-0.3868383466416009
