symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-22,LONG_PUT,PUT,248.35,STOCK_PROXY,19.868,248.04,2,-45637.200000000004,-11.485101671028792,-45634.4,2.8000000000000003,-45637.200000000004,0.0,-45634.4,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-21,2026-01-22,LONG_PUT,PUT,451.14,STOCK_PROXY,36.0912,465.95,1,-42987.28,-11.91073724342776,-42985.88,1.4000000000000001,-42987.28,0.0,-42985.88,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-21,2026-01-22,LONG_CALL,CALL,234.34,STOCK_PROXY,18.7472,239.16,2,44079.759999999995,11.756358282836903,44082.56,2.8000000000000003,44079.759999999995,44082.56,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-01-25,LONG_PUT,PUT,248.04,STOCK_PROXY,19.8432,255.41,2,-47116.16,-11.872117400419288,-47113.36,2.8000000000000003,-47116.16,0.0,-47113.36,3,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-01-25,LONG_CALL,CALL,239.16,STOCK_PROXY,19.1328,238.42,2,43854.63999999999,11.46059123599264,43857.439999999995,2.8000000000000003,43854.63999999999,43857.439999999995,0.0,3,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-01-26,LONG_PUT,PUT,255.41,STOCK_PROXY,20.4328,258.27,2,-47570.240000000005,-11.64065619983556,-47567.44,2.8000000000000003,-47570.240000000005,0.0,-47567.44,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-01-26,LONG_CALL,CALL,238.42,STOCK_PROXY,19.0736,244.68,2,45118.479999999996,11.827468333193524,45121.28,2.8000000000000003,45118.479999999996,45121.28,0.0,1,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-01-27,LONG_PUT,PUT,258.27,STOCK_PROXY,20.6616,256.44,2,-47158.48,-11.412107484415536,-47155.68,2.8000000000000003,-47158.48,0.0,-47155.68,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-01-28,LONG_PUT,PUT,256.44,STOCK_PROXY,20.5152,258.28,2,-47555.76,-11.590372016846047,-47552.96,2.8000000000000003,-47555.76,0.0,-47552.96,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-28,2026-01-29,LONG_PUT,PUT,433.5,STOCK_PROXY,34.68,430.29,1,-39562.4,-11.407843137254902,-39561.0,1.4000000000000001,-39562.4,0.0,-39561.0,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
