                   table_name                   |              column_name               |        data_type         
 scanner_candidate_lineage                      | accepted                               | boolean
 scanner_candidate_lineage                      | publication_name                       | character varying
 scanner_candidate_lineage                      | ingestion_run_id                       | character varying
 scanner_candidate_lineage                      | market_intelligence_snapshot_timestamp | timestamp with time zone
 scanner_candidate_lineage                      | option_snapshot_id                     | character varying
 scanner_candidate_lineage                      | market_state_hash                      | character varying
 scanner_candidate_lineage                      | scanner_version                        | character varying
 scanner_candidate_lineage                      | payload_json                           | text
 scanner_lineage_run                            | scanner_run_id                         | character varying
 scanner_lineage_run                            | publication_name                       | character varying
 scanner_lineage_run                            | ingestion_run_id                       | character varying
 scanner_lineage_run                            | publication_status                     | character varying
 scanner_lineage_run                            | published_at                           | timestamp with time zone
 scanner_lineage_run                            | market_as_of_date                      | date
 scanner_lineage_run                            | market_intelligence_snapshot_timestamp | timestamp with time zone
 scanner_lineage_run                            | option_snapshot_timestamp              | timestamp with time zone
 scanner_lineage_run                            | option_snapshot_id                     | character varying
 scanner_lineage_run                            | option_snapshot_completeness_pct       | double precision
 scanner_lineage_run                            | published_state_degraded               | boolean
 scanner_lineage_run                            | scanner_version                        | character varying
 scanner_lineage_run                            | market_state_hash                      | character varying
 scanner_lineage_run                            | started_at                             | timestamp with time zone
 scanner_lineage_run                            | completed_at                           | timestamp with time zone
 scanner_lineage_run                            | status                                 | character varying
 scanner_lineage_run                            | candidate_count                        | integer
 scanner_lineage_run                            | metadata_json                          | text
 stock_institutional_structure_zones            | id                                     | character varying
 stock_institutional_structure_zones            | symbol                                 | character varying
 stock_institutional_structure_zones            | scanner_run_id                         | character varying
 stock_institutional_structure_zones            | candidate_id                           | character varying
 stock_institutional_structure_zones            | snapshot_timestamp                     | character varying
 stock_institutional_structure_zones            | zone_type                              | character varying
 stock_institutional_structure_zones            | lower_bound                            | double precision
 stock_institutional_structure_zones            | upper_bound                            | double precision
 stock_institutional_structure_zones            | representative_price                   | double precision
 stock_institutional_structure_zones            | strength                               | double precision
 stock_institutional_structure_zones            | confluence_score                       | double precision
 stock_institutional_structure_zones            | primary_timeframe                      | character varying
 stock_institutional_structure_zones            | contributing_timeframes                | jsonb
 stock_institutional_structure_zones            | components                             | jsonb
 stock_institutional_structure_zones            | payload_json                           | jsonb
 stock_position_intelligence_snapshots          | id                                     | character varying
 stock_position_intelligence_snapshots          | symbol                                 | character varying
 stock_position_intelligence_snapshots          | scanner_run_id                         | character varying
 stock_position_intelligence_snapshots          | candidate_id                           | character varying
 stock_position_intelligence_snapshots          | snapshot_timestamp                     | character varying
 stock_position_intelligence_snapshots          | payload_json                           | json
 stock_position_intelligence_snapshots          | action                                 | character varying
 stock_position_intelligence_snapshots          | thesis_integrity                       | double precision
 stock_position_intelligence_snapshots          | management_quality                     | double precision
 stock_scanner_candidates                       | id                                     | character varying
 stock_scanner_candidates                       | symbol                                 | character varying
 stock_scanner_candidates                       | scanner_run_id                         | character varying
 stock_scanner_candidates                       | candidate_id                           | character varying
 stock_scanner_candidates                       | snapshot_timestamp                     | character varying
 stock_scanner_candidates                       | payload_json                           | json
 stock_scanner_candidates                       | category                               | character varying
 stock_scanner_candidates                       | score                                  | double precision
 stock_scanner_publications                     | id                                     | character varying
 stock_scanner_publications                     | symbol                                 | character varying
 stock_scanner_publications                     | scanner_run_id                         | character varying
 stock_scanner_publications                     | candidate_id                           | character varying
 stock_scanner_publications                     | snapshot_timestamp                     | character varying
 stock_scanner_publications                     | payload_json                           | json
 stock_scanner_publications                     | publication_name                       | character varying
 stock_scanner_publications                     | status                                 | character varying
 stock_scanner_runs                             | id                                     | character varying
 stock_scanner_runs                             | symbol                                 | character varying
 stock_scanner_runs                             | scanner_run_id                         | character varying
 stock_scanner_runs                             | candidate_id                           | character varying
 stock_scanner_runs                             | snapshot_timestamp                     | character varying
 stock_scanner_runs                             | payload_json                           | json
 stock_scanner_runs                             | status                                 | character varying
 stock_scanner_runs                             | provider                               | character varying
 stock_scanner_timeframe_states                 | id                                     | character varying
 stock_scanner_timeframe_states                 | symbol                                 | character varying
 stock_scanner_timeframe_states                 | scanner_run_id                         | character varying
 stock_scanner_timeframe_states                 | candidate_id                           | character varying
 stock_scanner_timeframe_states                 | snapshot_timestamp                     | character varying
 stock_scanner_timeframe_states                 | payload_json                           | json
 stock_scanner_timeframe_states                 | timeframe                              | character varying
 stock_scanner_timeframe_states                 | direction                              | character varying
 stock_scanner_timeframe_states                 | structure                              | character varying
(201 rows)

