symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,gross_pnl,fees,net_pnl,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-01-21,2026-01-26,LONG_PUT,PUT,248.35,OPTION_PROXY,19.868,20.6616,2,-161.5200000000003,-0.04064827863901759,-158.72000000000028,2.8000000000000003,-161.5200000000003,4.959999999999809,-158.72000000000028,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-21,2026-01-22,LONG_PUT,PUT,451.14,OPTION_PROXY,36.0912,37.276,1,-119.88000000000028,-0.03321585317196443,-118.48000000000027,1.4000000000000001,-119.88000000000028,0.0,-118.48000000000027,1,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-21,2026-02-04,LONG_CALL,CALL,234.34,OPTION_PROXY,18.7472,17.8152,2,-189.19999999999973,-0.05046086882307751,-186.39999999999972,2.8000000000000003,-189.19999999999973,165.44000000000025,-186.39999999999972,14,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-22,2026-01-26,LONG_PUT,PUT,248.04,OPTION_PROXY,19.8432,20.6616,2,-166.4800000000001,-0.041948879213030185,-163.6800000000001,2.8000000000000003,-166.4800000000001,0.0,-163.6800000000001,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-22,2026-02-04,LONG_CALL,CALL,239.16,OPTION_PROXY,19.1328,17.8152,2,-266.31999999999977,-0.06959775882254551,-263.51999999999975,2.8000000000000003,-266.31999999999977,88.32000000000022,-263.51999999999975,13,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-25,2026-02-01,LONG_PUT,PUT,255.41,OPTION_PROXY,20.4328,21.6008,2,-236.39999999999986,-0.05784816569437372,-233.59999999999985,2.8000000000000003,-236.39999999999986,0.0,-233.59999999999985,7,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AMZN,2026-01-25,2026-02-04,LONG_CALL,CALL,238.42,OPTION_PROXY,19.0736,17.8152,2,-254.47999999999965,-0.06671000754970212,-251.67999999999964,2.8000000000000003,-254.47999999999965,100.16000000000034,-251.67999999999964,10,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-26,2026-02-01,LONG_PUT,PUT,258.27,OPTION_PROXY,20.6616,21.6008,2,-190.63999999999993,-0.04613389088937932,-187.83999999999992,2.8000000000000003,-190.63999999999993,29.279999999999973,-187.83999999999992,6,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
AAPL,2026-01-27,2026-02-01,LONG_PUT,PUT,256.44,OPTION_PROXY,20.5152,21.6008,2,-219.9199999999999,-0.053599282483231925,-217.1199999999999,2.8000000000000003,-219.9199999999999,0.0,-217.1199999999999,5,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-28,2026-02-04,LONG_PUT,PUT,433.5,OPTION_PROXY,34.68,31.4936,1,317.2399999999999,0.09147635524798152,318.6399999999999,1.4000000000000001,317.2399999999999,318.6399999999999,0.0,7,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-01-29,2026-02-04,LONG_PUT,PUT,430.29,OPTION_PROXY,34.4232,31.4936,1,291.56000000000006,0.08469869158009716,292.96000000000004,1.4000000000000001,291.56000000000006,292.96000000000004,0.0,6,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-01,2026-02-16,LONG_PUT,PUT,423.37,OPTION_PROXY,33.8696,31.748800000000003,1,210.67999999999955,0.06220327373219629,212.07999999999956,1.4000000000000001,210.67999999999955,237.59999999999977,0.0,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-01,2026-02-03,LONG_CALL,CALL,242.96,OPTION_PROXY,19.4368,18.639200000000002,2,-162.31999999999985,-0.04175584458347049,-159.51999999999984,2.8000000000000003,-162.31999999999985,0.0,-159.51999999999984,2,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
MSFT,2026-02-02,2026-02-17,LONG_PUT,PUT,411.21,OPTION_PROXY,32.8968,31.968000000000004,1,91.47999999999954,0.027808175871209217,92.87999999999954,1.4000000000000001,91.47999999999954,140.31999999999982,-23.83999999999986,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AMZN,2026-02-02,2026-02-04,LONG_CALL,CALL,238.62,OPTION_PROXY,19.0896,17.8152,2,-257.68,-0.06749224708741933,-254.88,2.8000000000000003,-257.68,0.0,-254.88,2,STOP_LOSS,60.0,60.0,0.0,0.0,100.0
MSFT,2026-02-03,2026-02-18,LONG_PUT,PUT,414.19,OPTION_PROXY,33.1352,31.8768,1,124.43999999999981,0.03755522827687771,125.83999999999982,1.4000000000000001,124.43999999999981,164.15999999999968,0.0,15,TIME_STOP,65.0,65.0,0.0,0.0,100.0
MSFT,2026-02-04,2026-02-08,LONG_PUT,PUT,393.67,OPTION_PROXY,31.4936,33.088,1,-160.84000000000003,-0.05107069372824956,-159.44000000000003,1.4000000000000001,-160.84000000000003,0.0,-159.44000000000003,4,STOP_LOSS,65.0,65.0,0.0,0.0,100.0
